id,type,token,location,code
1,TRANSLATIONUNITDECLARATION,"/data/00000019/submissions/00559519_Sociologia_080316115/Sociologia.java",,""
2,RECORDDECLARATION,"Sociologia",Sociologia.java(3:1-55:2),"public class Sociologia {

	/**
	 * @param args
	 */
	public static void main(String[] args) {
		// TODO Auto-generated method stub
		
		int n_cenarios, n_alunos, control;
		
		
		Scanner stdin = new Scanner(System.in);
		
		n_cenarios = stdin.nextInt();
		stdin.nextLine();
		control=1;
		while(n_cenarios >= control){
			n_alunos = stdin.nextInt();
			stdin.nextLine();
			Grafo g = new Grafo(n_alunos);
			
			
			while(n_alunos>0){
				ArrayList<Integer> temp_Adj = new ArrayList<Integer>();
				ArrayList<Integer> temp_Pre = new ArrayList<Integer>();
				int aluno = stdin.nextInt();
				int amigos = stdin.nextInt();
				while(amigos>0){
					int amigo = stdin.nextInt();
					temp_Adj.add(amigo);
					
					if(!g.listaPre.containsKey(amigo)){
						temp_Pre.add(aluno);
						g.listaPre.put(amigo, temp_Pre);
					}
					else
						g.listaPre.get(amigo).add(aluno);
						
					amigos--;
				}
				
				g.listaAdj.put(aluno, temp_Adj);
				System.out.println(""Aluno: "" + aluno + "" tem "" + temp_Adj.size() + "" amigos"");
				n_alunos--;
			}
			
			System.out.println(""Caso: "" + control);
			control++;
		}
		
	}

}"
3,RECORDDECLARATION,"Grafo",Sociologia.java(57:1-86:2),"class Grafo{
	
	int vertices;
	HashMap<Integer, ArrayList<Integer>> listaAdj;
	HashMap<Integer, ArrayList<Integer>> listaPre;
	int[] color;
	
	Grafo(int v){
		vertices = v;
		listaAdj = new HashMap<Integer, ArrayList<Integer>>();
		listaPre = new HashMap<Integer, ArrayList<Integer>>();
		color = new int[v];
	}
	
	void DFS(){
		for(int u : listaAdj.keySet()){
			if(color[u-1]==0)
				DFS(u);
		}
	}
	
	void DFS(int u){
		color[u-1]=1;
		
		for(int v : listaAdj.get(u)){
			
		}
	}
	
}"
4,INCLUDEDECLARATION,"java.util",,""
5,FIELDDECLARATION,"this",,""
6,FIELDDECLARATION,"vertices",Sociologia.java(59:2-59:15),"vertices"
7,FIELDDECLARATION,"listaAdj",Sociologia.java(60:2-60:48),"listaAdj"
8,FIELDDECLARATION,"listaPre",Sociologia.java(61:2-61:48),"listaPre"
9,FIELDDECLARATION,"color",Sociologia.java(62:2-62:14),"color"
10,METHODDECLARATION,"DFS",Sociologia.java(71:2-76:3),"void DFS(){
		for(int u : listaAdj.keySet()){
			if(color[u-1]==0)
				DFS(u);
		}
	}"
11,METHODDECLARATION,"DFS",Sociologia.java(78:2-84:3),"void DFS(int u){
		color[u-1]=1;
		
		for(int v : listaAdj.get(u)){
			
		}
	}"
12,CONSTRUCTORDECLARATION,"Grafo",Sociologia.java(64:2-69:3),"Grafo(int v){
		vertices = v;
		listaAdj = new HashMap<Integer, ArrayList<Integer>>();
		listaPre = new HashMap<Integer, ArrayList<Integer>>();
		color = new int[v];
	}"
13,VARIABLEDECLARATION,"this",,""
14,COMPOUNDSTATEMENT,"",Sociologia.java(78:17-84:3),"{
		color[u-1]=1;
		
		for(int v : listaAdj.get(u)){
			
		}
	}"
15,PARAMVARIABLEDECLARATION,"u",Sociologia.java(78:11-78:16),"int u"
16,DECLAREDREFERENCEEXPRESSION,"this",Sociologia.java(79:3-79:8),"this"
17,RETURNSTATEMENT,"",,""
18,BINARYOPERATOR,"=",Sociologia.java(79:3-79:16),"color[u-1]=1;"
19,FOREACHSTATEMENT,"",Sociologia.java(81:3-83:4),"for(int v : listaAdj.get(u)){
			
		}"
20,ARRAYSUBSCRIPTIONEXPRESSION,"",Sociologia.java(79:3-79:13),"color[u-1]"
21,LITERAL,"",Sociologia.java(79:14-79:15),"1"
22,DECLAREDREFERENCEEXPRESSION,"this",Sociologia.java(81:15-81:23),"this"
23,MEMBEREXPRESSION,"color",Sociologia.java(79:3-79:8),"color"
24,BINARYOPERATOR,"-",Sociologia.java(79:9-79:12),"u-1"
25,DECLAREDREFERENCEEXPRESSION,"u",Sociologia.java(79:9-79:10),"u"
26,LITERAL,"",Sociologia.java(79:11-79:12),"1"
27,DECLARATIONSTATEMENT,"",Sociologia.java(81:7-81:12),"int v"
28,MEMBERCALLEXPRESSION,"get",Sociologia.java(81:15-81:30),"listaAdj.get(u)"
29,COMPOUNDSTATEMENT,"",Sociologia.java(81:31-83:4),"{
			
		}"
30,VARIABLEDECLARATION,"v",Sociologia.java(81:11-81:12),"v"
31,UNINITIALIZEDVALUE,"Uninitialized Value",,""
32,DECLAREDREFERENCEEXPRESSION,"get",Sociologia.java(81:24-81:27),"get"
33,DECLAREDREFERENCEEXPRESSION,"u",Sociologia.java(81:28-81:29),"u"
34,MEMBEREXPRESSION,"listaAdj",Sociologia.java(81:15-81:23),"listaAdj"
