source_id,target_id,type,index,branch,name
1,2,AST,,,
1,3,AST,,,
1,4,AST,,,
1,5,AST,,,
1,6,AST,,,
1,7,AST,,,
1,8,AST,,,
3,9,AST,,,
3,10,AST,,,
3,11,AST,,,
3,12,AST,,,
3,13,AST,,,
11,11,AST,,,
10,10,AST,,,
13,14,AST,,,
13,15,AST,,,
16,13,EOG,0,,
17,13,DFG,,,
14,18,AST,,,
14,19,AST,,,
14,20,AST,,,
14,17,AST,,,
19,21,AST,,,
19,22,AST,,,
23,19,EOG,0,,
22,19,DFG,,,
22,19,EOG,0,,
21,24,AST,,,
25,21,EOG,0,,
22,21,DFG,,,
24,21,EOG,0,,
21,24,EOG,0,,
18,24,EOG,0,,
22,25,AST,,,
19,22,EOG,0,,
25,22,EOG,0,,
22,25,EOG,0,,
21,25,EOG,0,,
20,26,AST,,,
20,27,AST,,,
17,20,EOG,0,,
27,20,DFG,,,
27,20,EOG,0,,
27,28,AST,,,
27,26,DFG,,,
20,27,EOG,0,,
28,27,EOG,0,,
27,28,EOG,0,,
26,28,EOG,0,,
26,23,AST,,,
28,26,EOG,0,,
23,26,EOG,0,,
26,23,EOG,0,,
19,23,EOG,0,,
18,29,AST,,,
18,30,AST,,,
24,18,EOG,0,,
30,18,DFG,,,
30,18,EOG,0,,
29,16,AST,,,
30,29,EOG,0,,
30,29,DFG,,,
16,29,EOG,0,,
29,16,EOG,0,,
13,16,EOG,0,,
18,30,EOG,0,,
29,30,EOG,0,,
20,17,EOG,0,,
12,12,AST,,,
9,9,AST,,,
2,31,AST,,,
2,32,AST,,,
2,33,AST,,,
2,34,AST,,,
2,35,AST,,,
2,36,AST,,,
2,37,AST,,,
2,38,AST,,,
2,39,AST,,,
2,40,AST,,,
2,41,AST,,,
2,42,AST,,,
2,43,AST,,,
2,44,AST,,,
35,35,AST,,,
37,37,AST,,,
41,45,AST,,,
41,46,AST,,,
41,47,DFG,,,
48,41,EOG,0,,
49,41,DFG,,,
46,50,AST,,,
46,51,AST,,,
46,52,AST,,,
46,53,AST,,,
46,49,AST,,,
46,54,AST,,,
46,55,AST,,,
49,56,AST,,,
56,49,DFG,,,
56,49,EOG,0,,
56,57,AST,,,
56,58,AST,,,
49,56,EOG,0,,
57,56,DFG,,,
58,56,EOG,0,,
57,59,AST,,,
58,57,EOG,0,,
59,57,EOG,0,,
57,59,EOG,0,,
53,59,EOG,0,,
56,58,EOG,0,,
57,58,EOG,0,,
54,48,AST,,,
50,54,EOG,0,,
48,54,DFG,,,
48,54,EOG,0,,
54,48,EOG,0,,
41,48,EOG,0,,
55,60,AST,,,
51,55,EOG,0,,
60,55,DFG,,,
60,55,EOG,0,,
55,60,EOG,0,,
50,60,EOG,0,,
52,61,AST,,,
52,62,AST,,,
52,63,AST,,,
52,64,AST,,,
52,65,AST,,,
66,52,EOG,0,,
67,52,EOG,1,,
63,52,DFG,,,
63,52,EOG,0,,
65,68,AST,,,
62,65,EOG,0,,
68,65,DFG,,,
68,65,EOG,0,,
65,68,EOG,0,,
51,68,EOG,0,,
69,62,EOG,0,,
65,62,EOG,0,,
64,70,AST,,,
64,70,DFG,,,
69,64,EOG,0,,
70,64,DFG,,,
70,64,EOG,0,,
64,70,EOG,0,,
61,70,EOG,0,,
61,71,AST,,,
70,61,EOG,0,,
72,61,EOG,0,,
71,61,EOG,1,,
71,73,AST,,,
71,72,AST,,,
74,71,EOG,0,true,
61,71,EOG,1,,
73,71,DFG,,,
73,71,EOG,0,,
72,75,AST,,,
72,76,AST,,,
61,72,EOG,0,,
76,72,EOG,0,,
75,74,AST,,,
75,77,AST,,,
78,75,EOG,0,,
77,75,DFG,,,
77,75,EOG,0,,
79,74,EOG,0,,
77,74,DFG,,,
71,74,EOG,0,true,
77,80,AST,,,
77,81,AST,,,
75,77,EOG,0,,
80,77,DFG,,,
81,77,EOG,0,,
80,79,AST,,,
81,80,EOG,0,,
79,80,EOG,0,,
80,79,EOG,0,,
74,79,EOG,0,,
77,81,EOG,0,,
80,81,EOG,0,,
76,78,AST,,,
76,82,AST,,,
72,76,EOG,0,,
82,76,DFG,,,
82,76,EOG,0,,
82,78,DFG,,,
76,82,EOG,0,,
78,82,EOG,0,,
82,78,EOG,0,,
75,78,EOG,0,,
73,83,AST,,,
73,84,AST,,,
71,73,EOG,0,,
84,73,DFG,,,
83,73,DFG,,,
84,73,EOG,0,,
73,84,EOG,0,,
83,84,EOG,0,,
83,85,AST,,,
83,86,AST,,,
84,83,EOG,0,,
85,83,DFG,,,
86,83,EOG,0,,
85,66,AST,,,
86,85,EOG,0,,
66,85,EOG,0,,
85,66,EOG,0,,
52,66,EOG,0,,
83,86,EOG,0,,
85,86,EOG,0,,
63,69,AST,,,
63,87,AST,,,
52,63,EOG,0,,
87,63,DFG,,,
69,63,DFG,,,
87,63,EOG,0,,
87,88,AST,,,
63,87,EOG,0,,
88,87,EOG,0,,
87,88,EOG,0,,
69,88,EOG,0,,
88,69,EOG,0,,
62,69,EOG,0,,
64,69,EOG,0,,
53,89,AST,,,
53,90,AST,,,
59,53,EOG,0,,
90,53,DFG,,,
90,53,EOG,0,,
89,91,AST,,,
89,92,AST,,,
90,89,EOG,0,,
91,89,DFG,,,
90,89,DFG,,,
92,89,EOG,0,,
91,67,AST,,,
92,91,EOG,0,,
67,91,EOG,0,,
91,67,EOG,0,,
52,67,EOG,1,,
89,92,EOG,0,,
91,92,EOG,0,,
53,90,EOG,0,,
89,90,EOG,0,,
68,51,EOG,0,,
55,51,EOG,0,,
60,50,EOG,0,,
54,50,EOG,0,,
39,93,AST,,,
39,94,AST,,,
39,95,AST,,,
96,39,EOG,0,,
97,39,DFG,,,
94,98,AST,,,
94,99,AST,,,
94,100,AST,,,
94,101,AST,,,
94,102,AST,,,
94,103,AST,,,
94,104,AST,,,
94,105,AST,,,
94,106,AST,,,
94,107,AST,,,
94,108,AST,,,
94,109,AST,,,
94,110,AST,,,
94,111,AST,,,
94,112,AST,,,
94,113,AST,,,
94,97,AST,,,
94,114,AST,,,
94,115,AST,,,
94,116,AST,,,
94,117,AST,,,
94,118,AST,,,
117,119,AST,,,
108,117,EOG,0,,
119,117,DFG,,,
119,117,EOG,0,,
117,119,EOG,0,,
107,119,EOG,1,,
120,108,EOG,0,,
117,108,EOG,0,,
116,121,AST,,,
100,116,EOG,0,,
121,116,DFG,,,
121,116,EOG,0,,
116,121,EOG,0,,
99,121,EOG,0,,
103,122,AST,,,
123,103,EOG,0,,
124,103,EOG,0,,
103,124,EOG,0,,
102,124,EOG,0,,
125,98,EOG,0,,
114,98,EOG,0,,
115,125,AST,,,
99,115,EOG,0,,
125,115,DFG,,,
125,115,EOG,0,,
115,125,EOG,0,,
98,125,EOG,0,,
121,99,EOG,0,,
115,99,EOG,0,,
113,97,EOG,0,,
118,126,AST,,,
111,118,EOG,0,,
126,118,DFG,,,
126,118,EOG,0,,
118,126,EOG,0,,
110,126,EOG,0,,
101,127,AST,,,
101,128,AST,,,
129,101,EOG,0,,
128,101,DFG,,,
128,101,EOG,0,,
127,130,AST,,,
131,127,EOG,0,,
128,127,DFG,,,
130,127,EOG,0,,
127,130,EOG,0,,
100,130,EOG,0,,
128,131,AST,,,
101,128,EOG,0,,
131,128,EOG,0,,
128,131,EOG,0,,
127,131,EOG,0,,
113,132,AST,,,
97,113,EOG,0,,
133,113,EOG,0,,
133,134,AST,,,
113,133,EOG,0,,
135,133,EOG,0,,
135,136,AST,,,
133,135,EOG,0,,
136,135,EOG,0,,
135,136,EOG,0,,
137,136,EOG,0,,
137,138,AST,,,
136,137,EOG,0,,
138,137,EOG,0,,
137,138,EOG,0,,
112,138,EOG,1,,
107,139,AST,,,
107,140,AST,,,
107,141,AST,,,
107,142,AST,,,
107,143,AST,,,
144,107,EOG,0,,
119,107,EOG,1,,
141,107,DFG,,,
141,107,EOG,0,,
143,145,AST,,,
140,143,EOG,0,,
145,143,DFG,,,
145,143,EOG,0,,
143,145,EOG,0,,
106,145,EOG,0,,
146,140,EOG,0,,
143,140,EOG,0,,
142,147,AST,,,
142,147,DFG,,,
146,142,EOG,0,,
147,142,DFG,,,
147,142,EOG,0,,
142,147,EOG,0,,
139,147,EOG,0,,
141,146,AST,,,
141,148,AST,,,
107,141,EOG,0,,
148,141,DFG,,,
146,141,DFG,,,
148,141,EOG,0,,
148,149,AST,,,
148,150,AST,,,
141,148,EOG,0,,
150,148,DFG,,,
149,148,DFG,,,
150,148,EOG,0,,
148,150,EOG,0,,
149,150,EOG,0,,
149,151,AST,,,
150,149,EOG,0,,
151,149,EOG,0,,
