source_id,target_id,type,index,branch,name
1,2,AST,,,
1,3,AST,,,
1,4,AST,,,
3,5,AST,,,
3,6,AST,,,
3,7,AST,,,
3,8,AST,,,
3,9,AST,,,
3,10,AST,,,
3,11,AST,,,
3,12,AST,,,
9,13,AST,,,
9,14,AST,,,
9,15,AST,,,
9,16,AST,,,
17,9,EOG,0,,
18,9,DFG,,,
14,19,AST,,,
14,18,AST,,,
19,20,AST,,,
19,21,AST,,,
22,19,EOG,0,true,
18,19,EOG,1,,
20,19,DFG,,,
20,19,EOG,0,,
20,23,AST,,,
19,20,EOG,0,,
23,20,DFG,,,
23,20,EOG,0,,
23,17,AST,,,
20,23,EOG,0,,
17,23,EOG,0,,
23,17,EOG,0,,
9,17,EOG,0,,
21,24,AST,,,
21,25,AST,,,
21,26,AST,,,
18,21,EOG,0,,
26,21,EOG,0,,
24,27,AST,,,
24,28,AST,,,
29,24,EOG,0,,
28,24,DFG,,,
28,24,EOG,0,,
28,27,DFG,,,
24,28,EOG,0,,
27,28,EOG,0,,
27,22,AST,,,
28,27,EOG,0,,
22,27,EOG,0,,
27,22,EOG,0,,
19,22,EOG,0,true,
26,30,AST,,,
21,26,EOG,0,,
31,26,EOG,0,,
26,31,EOG,0,,
32,31,EOG,0,,
31,32,EOG,0,,
25,32,EOG,1,,
25,33,AST,,,
25,34,AST,,,
25,35,AST,,,
25,36,AST,,,
37,25,EOG,0,,
32,25,EOG,1,,
33,25,DFG,,,
33,25,EOG,0,,
36,38,AST,,,
33,36,EOG,0,,
38,36,DFG,,,
38,36,EOG,0,,
36,38,EOG,0,,
34,38,EOG,0,,
25,33,EOG,0,,
36,33,EOG,0,,
39,35,AST,0,,
35,40,AST,,,
35,41,AST,,,
29,35,EOG,0,,
39,35,DFG,,,
41,35,EOG,0,,
41,42,DFG,,,
35,41,EOG,0,,
40,41,EOG,0,,
40,43,AST,,,
40,44,AST,,,
40,45,DFG,,,
41,40,EOG,0,,
43,40,DFG,,,
44,40,EOG,0,,
43,37,AST,,,
44,43,EOG,0,,
37,43,EOG,0,,
43,37,EOG,0,,
25,37,EOG,0,,
40,44,EOG,0,,
43,44,EOG,0,,
34,29,AST,,,
38,34,EOG,0,,
29,34,EOG,0,,
34,29,EOG,0,,
24,29,EOG,0,,
35,29,EOG,0,,
21,18,EOG,0,,
19,18,EOG,1,,
7,7,AST,,,
8,46,AST,,,
8,47,AST,,,
8,48,AST,,,
49,8,EOG,0,,
50,8,DFG,,,
47,51,AST,,,
47,52,AST,,,
47,53,AST,,,
47,50,AST,,,
47,54,AST,,,
47,55,AST,,,
54,56,AST,,,
51,54,EOG,0,,
56,54,DFG,,,
56,54,EOG,0,,
56,57,AST,,,
54,56,EOG,0,,
57,56,EOG,0,,
56,57,EOG,0,,
58,57,EOG,0,,
58,49,AST,,,
57,58,EOG,0,,
49,58,EOG,0,,
58,49,EOG,0,,
8,49,EOG,0,,
53,59,AST,,,
53,60,AST,,,
53,61,AST,,,
53,62,AST,,,
53,63,AST,,,
64,53,EOG,0,,
50,53,EOG,1,,
61,53,DFG,,,
61,53,EOG,0,,
61,65,AST,,,
61,66,AST,,,
53,61,EOG,0,,
65,61,DFG,,,
66,61,DFG,,,
66,61,EOG,0,,
66,65,EOG,0,,
60,65,EOG,0,,
62,65,EOG,0,,
61,66,EOG,0,,
65,66,EOG,0,,
62,67,AST,,,
62,67,DFG,,,
65,62,EOG,0,,
67,62,DFG,,,
67,62,EOG,0,,
62,67,EOG,0,,
59,67,EOG,0,,
65,60,EOG,0,,
63,60,EOG,0,,
63,68,AST,,,
60,63,EOG,0,,
68,63,DFG,,,
68,63,EOG,0,,
63,68,EOG,0,,
52,68,EOG,0,,
59,69,AST,,,
67,59,EOG,0,,
69,59,EOG,0,,
70,69,AST,0,,
69,64,AST,,,
69,71,AST,,,
59,69,EOG,0,,
70,69,DFG,,,
71,69,EOG,0,,
71,72,DFG,,,
69,71,EOG,0,,
64,71,EOG,0,,
64,73,DFG,,,
71,64,EOG,0,,
53,64,EOG,0,,
74,51,EOG,0,,
54,51,EOG,0,,
68,52,EOG,0,,
55,52,EOG,0,,
53,50,EOG,1,,
55,75,AST,,,
52,55,EOG,0,,
75,55,DFG,,,
75,55,EOG,0,,
75,76,AST,,,
55,75,EOG,0,,
74,75,EOG,0,,
75,74,EOG,0,,
51,74,EOG,0,,
11,77,AST,,,
11,78,AST,,,
11,79,AST,,,
11,80,AST,,,
81,11,EOG,0,,
82,11,DFG,,,
78,83,AST,,,
78,84,AST,,,
78,85,AST,,,
78,86,AST,,,
78,87,AST,,,
78,88,AST,,,
78,89,AST,,,
78,90,AST,,,
78,91,AST,,,
78,82,AST,,,
78,92,AST,,,
78,93,AST,,,
78,94,AST,,,
78,95,AST,,,
84,96,AST,,,
84,97,AST,,,
98,84,EOG,0,,
97,84,DFG,,,
97,84,EOG,0,,
97,99,AST,,,
97,96,DFG,,,
84,97,EOG,0,,
99,97,EOG,0,,
99,100,AST,,,
99,101,AST,,,
97,99,EOG,0,,
101,99,DFG,,,
100,99,DFG,,,
101,99,EOG,0,,
99,101,EOG,0,,
100,101,EOG,0,,
101,100,EOG,0,,
96,100,EOG,0,,
96,102,AST,,,
100,96,EOG,0,,
102,96,EOG,0,,
96,102,EOG,0,,
83,102,EOG,0,,
102,83,EOG,0,,
92,83,EOG,0,,
85,103,AST,,,
85,104,AST,,,
85,105,AST,,,
85,106,AST,,,
85,107,AST,,,
108,85,EOG,0,,
109,85,EOG,1,,
105,85,DFG,,,
105,85,EOG,0,,
103,110,AST,,,
103,111,AST,,,
112,103,EOG,0,,
111,103,DFG,,,
111,103,EOG,0,,
110,113,AST,,,
110,114,AST,,,
115,110,EOG,0,,
113,110,DFG,,,
111,110,DFG,,,
114,110,EOG,0,,
110,114,EOG,0,,
113,114,EOG,0,,
113,108,AST,,,
114,113,EOG,0,,
108,113,EOG,0,,
113,108,EOG,0,,
85,108,EOG,0,,
111,116,AST,,,
103,111,EOG,0,,
116,111,EOG,0,,
117,116,AST,0,,
111,116,EOG,0,,
117,116,DFG,,,
115,116,EOG,0,,
115,118,DFG,,,
116,115,EOG,0,,
110,115,EOG,0,,
119,104,EOG,0,,
107,104,EOG,0,,
106,112,AST,,,
106,112,DFG,,,
119,106,EOG,0,,
112,106,DFG,,,
112,106,EOG,0,,
106,112,EOG,0,,
103,112,EOG,0,,
107,98,AST,,,
104,107,EOG,0,,
98,107,DFG,,,
98,107,EOG,0,,
107,98,EOG,0,,
84,98,EOG,0,,
105,119,AST,,,
105,120,AST,,,
85,105,EOG,0,,
119,105,DFG,,,
120,105,DFG,,,
120,105,EOG,0,,
120,119,EOG,0,,
104,119,EOG,0,,
106,119,EOG,0,,
105,120,EOG,0,,
119,120,EOG,0,,
91,82,EOG,0,,
95,121,AST,,,
89,95,EOG,0,,
121,95,DFG,,,
121,95,EOG,0,,
95,121,EOG,0,,
94,121,EOG,0,,
88,122,AST,,,
88,123,AST,,,
88,124,AST,,,
88,125,AST,,,
88,126,AST,,,
127,88,EOG,0,,
128,88,EOG,1,,
124,88,DFG,,,
124,88,EOG,0,,
125,129,AST,,,
125,129,DFG,,,
130,125,EOG,0,,
129,125,DFG,,,
129,125,EOG,0,,
125,129,EOG,0,,
122,129,EOG,0,,
130,123,EOG,0,,
126,123,EOG,0,,
39,122,AST,0,,
122,131,AST,,,
122,132,AST,,,
129,122,EOG,0,,
39,122,DFG,,,
132,122,EOG,0,,
132,42,DFG,,,
122,132,EOG,0,,
131,132,EOG,0,,
131,133,AST,,,
131,134,AST,,,
131,45,DFG,,,
132,131,EOG,0,,
133,131,DFG,,,
134,131,EOG,0,,
133,127,AST,,,
134,133,EOG,0,,
127,133,EOG,0,,
133,127,EOG,0,,
88,127,EOG,0,,
131,134,EOG,0,,
133,134,EOG,0,,
124,130,AST,,,
124,135,AST,,,
88,124,EOG,0,,
135,124,DFG,,,
130,124,DFG,,,
135,124,EOG,0,,
124,135,EOG,0,,
130,135,EOG,0,,
135,130,EOG,0,,
123,130,EOG,0,,
125,130,EOG,0,,
126,136,AST,,,
123,126,EOG,0,,
136,126,DFG,,,
136,126,EOG,0,,
126,136,EOG,0,,
87,136,EOG,1,,
91,137,AST,,,
82,91,EOG,0,,
138,91,EOG,0,,
139,140,AST,,,
141,139,EOG,0,,
140,139,EOG,0,,
139,140,EOG,0,,
90,140,EOG,1,,
138,142,AST,,,
138,143,AST,,,
91,138,EOG,0,,
142,138,DFG,,,
143,138,DFG,,,
143,138,EOG,0,,
142,144,AST,,,
142,145,AST,,,
