id,type,token,location,code
1,TRANSLATIONUNITDECLARATION,"/data/00000019/submissions/01027414_Sociologia_070316077/SociologiaCC.java",,""
2,RECORDDECLARATION,"SociologiaCC",SociologiaCC.java(11:1-135:2),"public class SociologiaCC {


	public static int BRANCO = 0;
	public static int CINZA = 1;
	public static int PRETO = 2;
	public static int n_alunos, n_grupos_tot, n_grupos;
	public static int[] finalizacao;
	public static Alunos[] listaAlunosT;
	public static LinkedList<Integer> grupos;
	
	public static void main(String[] args) {
		
		
		Scanner in = new Scanner(System.in);
		int conta = 0;
		Alunos[] listaAlunos;
		grupos = new LinkedList<Integer>();
		
		n_alunos = in.nextInt();
		in.nextLine();
		
		listaAlunos = new Alunos[n_alunos + 1];
		listaAlunosT = new Alunos[n_alunos + 1];
		finalizacao=new int[n_alunos + 1];
		
		
		for (int i = 1; i < n_alunos + 1; i++){
			listaAlunos[i] = new Alunos(i);
			listaAlunosT[i] = new Alunos(i);
		}
		int amigos;
		
		for (int i = 1; i < n_alunos + 1; i++){
			amigos = in.nextInt();
			int aluno_temp;
			for (int j = 0; j < amigos; j++){
				aluno_temp=in.nextInt();
				listaAlunos[i].amigos.add(listaAlunos[aluno_temp]);
				listaAlunosT[aluno_temp].amigos.add(listaAlunosT[i]);
			}
			in.nextLine();
			
		}
		
		
		try {
			n_grupos = 0;
			for(int i = 1; i<finalizacao.length;i++){
				if(listaAlunos[i].cor != PRETO ){
					dfs(listaAlunos,listaAlunos[i]);
				}
			}
			
			for (int i = 1; i < n_alunos + 1; i++){
				listaAlunosT[i].cor = BRANCO;
				
			}
		} catch (InterruptedException e) {
			
			e.printStackTrace();
		}

		int count = 0;
		while(todos_visitados() == false){
				int maximo = get_max().aluno;
				if(listaAlunosT[maximo].cor != PRETO ){
					int aux = dfsT(listaAlunosT, maximo);
					n_grupos_tot += aux;
					grupos.addLast(n_grupos_tot);
					count++;
				}
		}
		
		System.out.print(grupos.size());

	}

	public static boolean todos_visitados(){
		for(int i = 1 ; i < n_alunos + 1;i++){
			if (listaAlunosT[i].cor != PRETO){
				return false;
			}
		}
		return true;
	}
	
	public static Alunos get_max(){
		int conta = 0;
		int gajo = 1;
		for (int i = 1; i < finalizacao.length; i++){
			if (finalizacao[i] > conta){
				conta = finalizacao[i];
				gajo = i;
			}
		}
		finalizacao[gajo] = 0;
		return listaAlunosT[gajo];
	}
	
	
	public static void dfs(Alunos[] listaAlunos, Alunos aluno) throws InterruptedException{
	
		aluno.cor = PRETO;
			for (Alunos aluno_temp : listaAlunos[aluno.aluno].amigos){
					if( aluno_temp.cor != PRETO ){
							dfs(listaAlunos , aluno_temp );
					}
			}
			n_grupos ++;
			finalizacao[aluno.aluno] = n_grupos;
	}
	public static int dfsT(Alunos[] listaAlunosT,int temp_aluno){
			
			int count = 1;
			listaAlunosT[temp_aluno].cor = PRETO;
			for (Alunos aluno2 : listaAlunosT[temp_aluno].amigos){
				if (aluno2.cor != PRETO){
					count += dfsT(listaAlunosT,aluno2.aluno);
					
				}
			}
			return count;
	}
}"
3,RECORDDECLARATION,"Alunos",SociologiaCC.java(137:1-149:2),"class Alunos{
	
	int aluno;
	int cor;
	ArrayList<Alunos> amigos;
	
	Alunos(int aluno){
		this.aluno = aluno;
		this.cor = SociologiaCC.BRANCO;
		amigos = new ArrayList<Alunos>();
	}
	
}"
4,INCLUDEDECLARATION,"java.util.ArrayList",,""
5,INCLUDEDECLARATION,"java.util.Collections",,""
6,INCLUDEDECLARATION,"java.util.Iterator",,""
7,INCLUDEDECLARATION,"java.util.LinkedList",,""
8,INCLUDEDECLARATION,"java.util.Scanner",,""
9,FIELDDECLARATION,"this",,""
10,FIELDDECLARATION,"aluno",SociologiaCC.java(139:2-139:12),"aluno"
11,FIELDDECLARATION,"cor",SociologiaCC.java(140:2-140:10),"cor"
12,FIELDDECLARATION,"amigos",SociologiaCC.java(141:2-141:27),"amigos"
13,CONSTRUCTORDECLARATION,"Alunos",SociologiaCC.java(143:2-147:3),"Alunos(int aluno){
		this.aluno = aluno;
		this.cor = SociologiaCC.BRANCO;
		amigos = new ArrayList<Alunos>();
	}"
14,COMPOUNDSTATEMENT,"",SociologiaCC.java(143:19-147:3),"{
		this.aluno = aluno;
		this.cor = SociologiaCC.BRANCO;
		amigos = new ArrayList<Alunos>();
	}"
15,PARAMVARIABLEDECLARATION,"aluno",SociologiaCC.java(143:9-143:18),"int aluno"
16,DECLAREDREFERENCEEXPRESSION,"this",SociologiaCC.java(144:3-144:7),"this"
17,RETURNSTATEMENT,"",,""
18,BINARYOPERATOR,"=",SociologiaCC.java(144:3-144:22),"this.aluno = aluno;"
19,BINARYOPERATOR,"=",SociologiaCC.java(145:3-145:34),"this.cor = SociologiaCC.BRANCO;"
20,BINARYOPERATOR,"=",SociologiaCC.java(146:3-146:36),"amigos = new ArrayList<Alunos>();"
21,MEMBEREXPRESSION,"cor",SociologiaCC.java(145:3-145:11),"this.cor"
22,MEMBEREXPRESSION,"BRANCO",SociologiaCC.java(145:14-145:33),"SociologiaCC.BRANCO"
23,DECLAREDREFERENCEEXPRESSION,"this",SociologiaCC.java(146:3-146:9),"this"
24,DECLAREDREFERENCEEXPRESSION,"this",SociologiaCC.java(145:3-145:7),"this"
25,DECLAREDREFERENCEEXPRESSION,"SociologiaCC",SociologiaCC.java(145:14-145:26),"SociologiaCC"
26,MEMBEREXPRESSION,"amigos",SociologiaCC.java(146:3-146:9),"amigos"
27,NEWEXPRESSION,"",SociologiaCC.java(146:12-146:35),"new ArrayList<Alunos>()"
28,CONSTRUCTEXPRESSION,"",SociologiaCC.java(146:12-146:35),"new ArrayList<Alunos>()"
29,MEMBEREXPRESSION,"aluno",SociologiaCC.java(144:3-144:13),"this.aluno"
30,DECLAREDREFERENCEEXPRESSION,"aluno",SociologiaCC.java(144:16-144:21),"aluno"
31,FIELDDECLARATION,"this",,""
32,FIELDDECLARATION,"BRANCO",SociologiaCC.java(14:2-14:31),"BRANCO = 0"
33,FIELDDECLARATION,"CINZA",SociologiaCC.java(15:2-15:30),"CINZA = 1"
34,FIELDDECLARATION,"PRETO",SociologiaCC.java(16:2-16:30),"PRETO = 2"
35,FIELDDECLARATION,"n_alunos",SociologiaCC.java(17:2-17:53),"n_alunos"
36,FIELDDECLARATION,"finalizacao",SociologiaCC.java(18:2-18:34),"finalizacao"
37,FIELDDECLARATION,"listaAlunosT",SociologiaCC.java(19:2-19:38),"listaAlunosT"
38,FIELDDECLARATION,"grupos",SociologiaCC.java(20:2-20:43),"grupos"
