source_id,target_id,type,index,branch,name
1,2,AST,,,
1,3,AST,,,
1,4,AST,,,
1,5,AST,,,
1,6,AST,,,
1,7,AST,,,
1,8,AST,,,
5,9,AST,,,
5,10,AST,,,
5,11,AST,,,
5,12,AST,,,
5,13,AST,,,
5,14,AST,,,
5,15,AST,,,
5,16,AST,,,
5,17,AST,,,
5,18,AST,,,
5,19,AST,,,
5,20,AST,,,
5,21,AST,,,
5,22,AST,,,
5,23,AST,,,
5,24,AST,,,
17,25,AST,,,
17,26,AST,,,
27,17,EOG,0,,
28,17,DFG,,,
26,29,AST,,,
26,30,AST,,,
26,31,AST,,,
26,32,AST,,,
26,28,AST,,,
26,33,AST,,,
26,34,AST,,,
26,35,AST,,,
26,36,AST,,,
26,37,AST,,,
35,38,AST,,,
29,35,EOG,0,,
38,35,DFG,,,
38,35,EOG,0,,
35,38,EOG,0,,
34,38,EOG,0,,
28,39,AST,,,
39,28,DFG,,,
39,28,EOG,0,,
28,39,EOG,0,,
32,39,EOG,1,,
36,40,AST,,,
30,36,EOG,0,,
40,36,DFG,,,
40,36,EOG,0,,
40,41,AST,,,
36,40,EOG,0,,
42,40,EOG,0,,
42,43,AST,,,
40,42,EOG,0,,
43,42,EOG,0,,
42,43,EOG,0,,
29,43,EOG,0,,
37,44,AST,,,
31,37,EOG,0,,
44,37,DFG,,,
44,37,EOG,0,,
44,45,AST,,,
37,44,EOG,0,,
45,44,EOG,0,,
46,45,AST,0,,
44,45,EOG,0,,
46,45,DFG,,,
47,45,EOG,0,,
47,48,DFG,,,
45,47,EOG,0,,
30,47,EOG,0,,
47,30,EOG,0,,
36,30,EOG,0,,
43,29,EOG,0,,
35,29,EOG,0,,
49,31,EOG,0,,
37,31,EOG,0,,
33,27,AST,,,
50,33,EOG,0,,
27,33,DFG,,,
27,33,EOG,0,,
33,27,EOG,0,,
17,27,EOG,0,,
34,50,AST,,,
38,34,EOG,0,,
50,34,DFG,,,
50,34,EOG,0,,
34,50,EOG,0,,
33,50,EOG,0,,
32,51,AST,,,
32,52,AST,,,
32,53,AST,,,
32,54,AST,,,
32,55,AST,,,
56,32,EOG,0,,
39,32,EOG,1,,
53,32,DFG,,,
53,32,EOG,0,,
51,57,AST,,,
51,58,AST,,,
51,59,AST,,,
60,51,EOG,0,,
59,51,EOG,1,,
58,61,AST,,,
58,62,AST,,,
63,58,EOG,0,,
62,58,DFG,,,
62,58,EOG,0,,
62,64,AST,,,
62,61,DFG,,,
58,62,EOG,0,,
65,62,EOG,0,,
65,66,AST,,,
62,65,EOG,0,,
66,65,EOG,0,,
65,66,EOG,0,,
61,66,EOG,0,,
66,61,EOG,0,,
57,61,EOG,0,,
57,56,AST,,,
57,67,AST,,,
61,57,EOG,0,,
67,57,DFG,,,
67,57,EOG,0,,
68,56,EOG,0,,
67,56,DFG,,,
32,56,EOG,0,,
67,69,AST,,,
57,67,EOG,0,,
70,67,EOG,0,,
70,68,AST,,,
67,70,EOG,0,,
68,70,EOG,0,,
70,68,EOG,0,,
56,68,EOG,0,,
59,71,AST,,,
59,72,AST,,,
59,73,AST,,,
59,74,AST,,,
59,75,AST,,,
76,59,EOG,0,,
51,59,EOG,1,,
73,59,DFG,,,
73,59,EOG,0,,
75,63,AST,,,
72,75,EOG,0,,
63,75,DFG,,,
63,75,EOG,0,,
75,63,EOG,0,,
58,63,EOG,0,,
77,72,EOG,0,,
75,72,EOG,0,,
73,77,AST,,,
73,78,AST,,,
59,73,EOG,0,,
77,73,DFG,,,
78,73,DFG,,,
78,73,EOG,0,,
78,77,EOG,0,,
72,77,EOG,0,,
74,77,EOG,0,,
73,78,EOG,0,,
77,78,EOG,0,,
74,79,AST,,,
74,79,DFG,,,
77,74,EOG,0,,
79,74,DFG,,,
79,74,EOG,0,,
74,79,EOG,0,,
71,79,EOG,0,,
71,80,AST,,,
71,81,AST,,,
79,71,EOG,0,,
81,71,EOG,0,,
81,82,AST,,,
71,81,EOG,0,,
83,81,EOG,0,,
84,85,AST,,,
86,84,EOG,0,,
85,84,EOG,0,,
85,87,AST,,,
85,88,AST,,,
84,85,EOG,0,,
87,85,DFG,,,
88,85,EOG,0,,
85,88,EOG,0,,
87,88,EOG,0,,
87,89,AST,,,
88,87,EOG,0,,
89,87,EOG,0,,
87,89,EOG,0,,
80,89,EOG,0,,
83,90,AST,,,
81,83,EOG,0,,
90,83,EOG,0,,
91,90,AST,0,,
83,90,EOG,0,,
91,90,DFG,,,
86,90,EOG,0,,
86,92,DFG,,,
90,86,EOG,0,,
84,86,EOG,0,,
80,76,AST,,,
80,93,AST,,,
89,80,EOG,0,,
93,80,DFG,,,
93,80,EOG,0,,
94,76,EOG,0,,
93,76,DFG,,,
59,76,EOG,0,,
93,95,AST,,,
80,93,EOG,0,,
96,93,EOG,0,,
96,94,AST,,,
93,96,EOG,0,,
94,96,EOG,0,,
96,94,EOG,0,,
76,94,EOG,0,,
55,49,AST,,,
52,55,EOG,0,,
49,55,DFG,,,
49,55,EOG,0,,
55,49,EOG,0,,
31,49,EOG,0,,
97,52,EOG,0,,
55,52,EOG,0,,
53,97,AST,,,
53,98,AST,,,
32,53,EOG,0,,
98,53,DFG,,,
97,53,DFG,,,
98,53,EOG,0,,
53,98,EOG,0,,
97,98,EOG,0,,
98,97,EOG,0,,
52,97,EOG,0,,
54,97,EOG,0,,
54,60,AST,,,
54,60,DFG,,,
97,54,EOG,0,,
60,54,DFG,,,
60,54,EOG,0,,
54,60,EOG,0,,
51,60,EOG,0,,
14,99,AST,,,
14,14,AST,,,
99,14,DFG,,,
99,100,AST,,,
19,101,AST,,,
19,102,AST,,,
103,19,EOG,0,,
104,19,DFG,,,
102,105,AST,,,
102,106,AST,,,
102,107,AST,,,
102,104,AST,,,
102,108,AST,,,
109,105,EOG,0,,
108,105,EOG,0,,
107,110,AST,,,
107,111,AST,,,
112,107,EOG,0,,
113,107,EOG,1,,
110,107,DFG,,,
110,107,EOG,0,,
110,114,AST,,,
110,115,AST,,,
107,110,EOG,0,,
114,110,DFG,,,
115,110,DFG,,,
115,110,EOG,0,,
114,116,AST,,,
115,114,EOG,0,,
117,114,EOG,0,,
117,118,AST,,,
114,117,EOG,0,,
118,117,EOG,0,,
117,118,EOG,0,,
106,118,EOG,1,,
111,118,EOG,0,,
110,115,EOG,0,,
114,115,EOG,0,,
111,119,AST,,,
118,111,EOG,0,,
120,111,EOG,0,,
120,121,AST,,,
111,120,EOG,0,,
122,120,EOG,0,,
122,123,AST,,,
120,122,EOG,0,,
123,122,EOG,0,,
122,123,EOG,0,,
124,123,EOG,0,,
124,112,AST,,,
123,124,EOG,0,,
112,124,EOG,0,,
124,112,EOG,0,,
107,112,EOG,0,,
106,125,AST,,,
106,126,AST,,,
106,127,AST,,,
106,128,AST,,,
106,129,AST,,,
130,106,EOG,0,,
118,106,EOG,1,,
127,106,DFG,,,
127,106,EOG,0,,
131,126,EOG,0,,
129,126,EOG,0,,
129,109,AST,,,
126,129,EOG,0,,
109,129,DFG,,,
109,129,EOG,0,,
129,109,EOG,0,,
105,109,EOG,0,,
128,132,AST,,,
128,132,DFG,,,
131,128,EOG,0,,
132,128,DFG,,,
132,128,EOG,0,,
128,132,EOG,0,,
125,132,EOG,0,,
125,133,AST,,,
132,125,EOG,0,,
133,125,EOG,1,,
133,134,AST,,,
133,135,AST,,,
133,136,AST,,,
133,137,AST,,,
133,138,AST,,,
139,133,EOG,0,,
125,133,EOG,1,,
136,133,DFG,,,
136,133,EOG,0,,
134,140,AST,,,
134,141,AST,,,
134,142,AST,,,
143,134,EOG,0,,
141,134,EOG,0,,
142,144,AST,,,
140,142,EOG,0,,
144,142,DFG,,,
144,142,EOG,0,,
144,145,AST,,,
142,144,EOG,0,,
145,144,EOG,0,,
145,146,AST,,,
144,145,EOG,0,,
147,145,EOG,0,,
148,149,AST,,,
147,148,EOG,0,,
149,148,EOG,0,,
149,150,AST,,,
149,151,AST,,,
148,149,EOG,0,,
150,149,DFG,,,
151,149,EOG,0,,
149,151,EOG,0,,
150,151,EOG,0,,
150,139,AST,,,
151,150,EOG,0,,
139,150,EOG,0,,
150,139,EOG,0,,
133,139,EOG,0,,
145,147,EOG,0,,
148,147,EOG,0,,
152,140,EOG,0,,
142,140,EOG,0,,
141,153,AST,,,
134,141,EOG,0,,
154,141,EOG,0,,
154,155,AST,,,
141,154,EOG,0,,
155,154,EOG,0,,
91,155,AST,0,,
154,155,EOG,0,,
91,155,DFG,,,
156,155,EOG,0,,
156,92,DFG,,,
155,156,EOG,0,,
157,156,EOG,0,,
157,158,AST,,,
