id,type,token,location,code
1,TRANSLATIONUNITDECLARATION,"/data/00000056/submissions/07339458_21_200908415/Sardas.java",,""
2,RECORDDECLARATION,"Node",Sardas.java(7:1-21:2),"class Node {
    public LinkedList<Integer> adj; // Lista de adjacencias
    public double distance;            // Distancia do no origem da pesquisa
    public double y;
    public double x;
    public int pai;

    Node(double x, double y) {
	adj = new LinkedList<Integer>();
	distance = 0.0;
	this.x = x;
	this.y = y;
	pai = 0;
    }
}"
3,RECORDDECLARATION,"Graph",Sardas.java(24:1-76:2),"class Graph {
    int n;           // Numero de nos do grafo
    Node nodes[];    // Array para conter os nos
	
    Graph(int n) {
	this.n = n;
	nodes  = new Node[n+1]; // +1 se os comecam em 1 ao inves de 0
	

    }

    public double peso(int x, int y){

    	double p = Math.sqrt(((nodes[x].x - nodes[y].x) * (nodes[x].x - nodes[y].x)) + ((nodes[x].y - nodes[y].y)*(nodes[x].y - nodes[y].y)));
	return p;

    }
    // Algoritmo de pesquisa em largura
    public void Prim(int v) {
	LinkedList<Integer> q = new LinkedList<Integer>();
	
	for(int i=1; i<=n; i++){
		nodes[i].distance = Double.MAX_VALUE;
		q.add(i);
	}
	nodes[v].distance = 0;
	double min = Double.MAX_VALUE;
	int u = 0;
	int menor = 0;
	while (q.size() > 0) {
		min = Double.MAX_VALUE;
	    for(int i=1; i<=n; i++)
		if(q.contains(i) && nodes[i].distance < min){
			min = nodes[i].distance;
			menor = i;
		}
	
	    q.removeFirstOccurrence(menor);
		u = menor;
		
	    for (int w : nodes[u].adj) {
		double p = peso(u, w);
		if (q.contains(w) && p < nodes[w].distance)  {
		    nodes[w].pai = u;
		    nodes[w].distance = p;
		}	
	
	    }
		    
	}
	
    }
}"
4,RECORDDECLARATION,"Sardas",Sardas.java(77:1-98:2),"public class Sardas {
    public static void main(String args[]) {
	Scanner in = new Scanner(System.in);
	int n = in.nextInt();
	Graph g = 	new Graph(n);
	for (int i=1; i<=n; i++) 
	    g.nodes[i]= new Node(in.nextDouble(), in.nextDouble());	

	for(int i=1; i<=n; i++)
		for(int j=1; j<=n; j++)
			g.nodes[i].adj.add(j);

	// Pesquisa em largura a partir do no 1
	g.Prim(1);
	double t=0.0;
	for(int i=1; i<=n; i++)
		t += g.nodes[i].distance;	
	
	System.out.printf(""%.2f\n"", t);
	
    }
}"
5,INCLUDEDECLARATION,"java.io",,""
6,INCLUDEDECLARATION,"java.util",,""
7,FIELDDECLARATION,"this",,""
8,FIELDDECLARATION,"adj",Sardas.java(8:5-8:36),"adj"
9,FIELDDECLARATION,"distance",Sardas.java(9:5-9:28),"distance"
10,FIELDDECLARATION,"y",Sardas.java(10:5-10:21),"y"
11,FIELDDECLARATION,"x",Sardas.java(11:5-11:21),"x"
12,FIELDDECLARATION,"pai",Sardas.java(12:5-12:20),"pai"
