source_id,target_id,type,index,branch,name
1,2,AST,,,
1,3,AST,,,
1,4,AST,,,
1,5,AST,,,
3,6,AST,,,
3,7,AST,,,
3,8,AST,,,
3,9,AST,,,
7,10,AST,,,
7,11,AST,,,
7,12,AST,,,
13,7,EOG,0,,
14,7,DFG,,,
11,15,AST,,,
11,16,AST,,,
11,17,AST,,,
11,18,AST,,,
11,19,AST,,,
11,20,AST,,,
11,21,AST,,,
11,22,AST,,,
11,23,AST,,,
11,24,AST,,,
11,25,AST,,,
11,26,AST,,,
11,27,AST,,,
11,28,AST,,,
11,29,AST,,,
11,30,AST,,,
11,14,AST,,,
11,31,AST,,,
11,32,AST,,,
11,33,AST,,,
11,34,AST,,,
11,35,AST,,,
11,36,AST,,,
11,37,AST,,,
11,38,AST,,,
11,39,AST,,,
11,40,AST,,,
41,16,EOG,0,,
32,16,EOG,0,,
35,42,AST,,,
21,35,EOG,0,,
42,35,DFG,,,
42,35,EOG,0,,
35,42,EOG,0,,
20,42,EOG,1,,
27,43,AST,,,
44,27,EOG,0,,
45,27,EOG,0,,
45,46,EOG,0,,
26,46,EOG,0,,
27,45,EOG,0,,
46,45,EOG,0,,
47,17,EOG,0,,
33,17,EOG,0,,
46,26,EOG,0,,
40,26,EOG,0,,
28,48,AST,,,
28,49,AST,,,
50,28,EOG,0,,
49,28,DFG,,,
49,28,EOG,0,,
48,51,AST,,,
49,48,EOG,0,,
49,48,DFG,,,
51,48,EOG,0,,
51,44,AST,,,
51,52,AST,,,
48,51,EOG,0,,
44,51,DFG,,,
52,51,EOG,0,,
52,44,EOG,0,,
27,44,EOG,0,,
51,52,EOG,0,,
44,52,EOG,0,,
28,49,EOG,0,,
48,49,EOG,0,,
53,18,EOG,0,,
34,18,EOG,0,,
20,54,AST,,,
20,55,AST,,,
20,56,AST,,,
20,57,AST,,,
20,58,AST,,,
59,20,EOG,0,,
42,20,EOG,1,,
56,20,DFG,,,
56,20,EOG,0,,
57,60,AST,,,
57,60,DFG,,,
61,57,EOG,0,,
60,57,DFG,,,
60,57,EOG,0,,
57,60,EOG,0,,
54,60,EOG,0,,
58,62,AST,,,
55,58,EOG,0,,
62,58,DFG,,,
62,58,EOG,0,,
58,62,EOG,0,,
19,62,EOG,1,,
54,63,AST,,,
60,54,EOG,0,,
63,54,EOG,1,,
63,64,AST,,,
63,65,AST,,,
63,66,AST,,,
63,67,AST,,,
63,68,AST,,,
69,63,EOG,0,,
54,63,EOG,1,,
66,63,DFG,,,
66,63,EOG,0,,
68,59,AST,,,
65,68,EOG,0,,
59,68,DFG,,,
59,68,EOG,0,,
68,59,EOG,0,,
20,59,EOG,0,,
67,70,AST,,,
67,70,DFG,,,
71,67,EOG,0,,
70,67,DFG,,,
70,67,EOG,0,,
67,70,EOG,0,,
64,70,EOG,0,,
64,72,AST,,,
70,64,EOG,0,,
72,64,EOG,0,,
72,73,AST,,,
72,74,AST,,,
64,72,EOG,0,,
74,72,DFG,,,
74,72,EOG,0,,
73,75,AST,,,
73,76,AST,,,
77,73,EOG,0,,
75,73,DFG,,,
74,73,DFG,,,
76,73,EOG,0,,
75,78,AST,,,
76,75,EOG,0,,
78,75,EOG,0,,
78,69,AST,,,
78,79,AST,,,
75,78,EOG,0,,
69,78,DFG,,,
79,78,EOG,0,,
79,69,EOG,0,,
63,69,EOG,0,,
78,79,EOG,0,,
69,79,EOG,0,,
73,76,EOG,0,,
75,76,EOG,0,,
72,74,EOG,0,,
80,74,EOG,0,,
80,81,AST,,,
80,82,AST,,,
74,80,EOG,0,,
81,80,DFG,,,
82,80,DFG,,,
82,80,EOG,0,,
83,81,EOG,0,,
84,81,EOG,0,,
84,85,EOG,0,,
86,85,EOG,0,,
86,87,AST,,,
86,88,AST,,,
85,86,EOG,0,,
88,86,DFG,,,
87,86,DFG,,,
88,86,EOG,0,,
88,89,AST,,,
86,88,EOG,0,,
89,88,EOG,0,,
89,90,AST,,,
89,91,AST,,,
88,89,EOG,0,,
90,89,DFG,,,
91,89,EOG,0,,
89,91,EOG,0,,
90,91,EOG,0,,
91,90,EOG,0,,
87,90,EOG,0,,
87,92,AST,,,
90,87,EOG,0,,
92,87,EOG,0,,
92,77,AST,,,
92,93,AST,,,
87,92,EOG,0,,
77,92,DFG,,,
93,92,EOG,0,,
92,93,EOG,0,,
77,93,EOG,0,,
93,77,EOG,0,,
73,77,EOG,0,,
81,84,EOG,0,,
85,84,EOG,0,,
80,82,EOG,0,,
94,82,EOG,0,,
82,94,EOG,0,,
95,94,EOG,0,,
94,95,EOG,0,,
96,95,EOG,0,,
96,97,AST,,,
96,98,AST,,,
95,96,EOG,0,,
97,96,DFG,,,
98,96,DFG,,,
98,96,EOG,0,,
97,99,AST,,,
100,97,EOG,0,,
99,97,EOG,0,,
99,83,AST,,,
99,101,AST,,,
97,99,EOG,0,,
83,99,DFG,,,
101,99,EOG,0,,
101,83,EOG,0,,
81,83,EOG,0,,
99,101,EOG,0,,
83,101,EOG,0,,
98,102,AST,,,
96,98,EOG,0,,
102,98,EOG,0,,
102,100,AST,,,
102,103,AST,,,
98,102,EOG,0,,
100,102,DFG,,,
103,102,EOG,0,,
102,103,EOG,0,,
100,103,EOG,0,,
103,100,EOG,0,,
97,100,EOG,0,,
66,71,AST,,,
66,104,AST,,,
63,66,EOG,0,,
71,66,DFG,,,
104,66,DFG,,,
104,66,EOG,0,,
104,71,EOG,0,,
65,71,EOG,0,,
67,71,EOG,0,,
66,104,EOG,0,,
71,104,EOG,0,,
71,65,EOG,0,,
68,65,EOG,0,,
56,61,AST,,,
56,105,AST,,,
20,56,EOG,0,,
61,56,DFG,,,
105,56,DFG,,,
105,56,EOG,0,,
105,61,EOG,0,,
55,61,EOG,0,,
57,61,EOG,0,,
56,105,EOG,0,,
61,105,EOG,0,,
61,55,EOG,0,,
58,55,EOG,0,,
19,106,AST,,,
19,107,AST,,,
19,108,AST,,,
19,109,AST,,,
19,110,AST,,,
111,19,EOG,0,,
62,19,EOG,1,,
108,19,DFG,,,
108,19,EOG,0,,
112,107,EOG,0,,
110,107,EOG,0,,
106,113,AST,,,
114,106,EOG,0,,
113,106,EOG,0,,
113,115,AST,,,
113,116,AST,,,
106,113,EOG,0,,
116,113,DFG,,,
116,113,EOG,0,,
115,111,AST,,,
115,117,AST,,,
118,115,EOG,0,,
111,115,DFG,,,
116,115,DFG,,,
117,115,EOG,0,,
117,111,EOG,0,,
19,111,EOG,0,,
115,117,EOG,0,,
111,117,EOG,0,,
116,119,AST,,,
113,116,EOG,0,,
119,116,EOG,0,,
120,119,AST,0,,
116,119,EOG,0,,
120,119,DFG,,,
121,119,EOG,0,,
122,123,AST,,,
122,124,DFG,,,
125,122,EOG,0,,
118,122,EOG,0,,
122,118,EOG,0,,
115,118,EOG,0,,
126,127,AST,,,
126,128,DFG,,,
121,126,EOG,0,,
125,126,EOG,0,,
126,125,EOG,0,,
122,125,EOG,0,,
121,129,DFG,,,
119,121,EOG,0,,
126,121,EOG,0,,
108,112,AST,,,
108,130,AST,,,
19,108,EOG,0,,
112,108,DFG,,,
130,108,DFG,,,
130,108,EOG,0,,
130,112,EOG,0,,
107,112,EOG,0,,
109,112,EOG,0,,
108,130,EOG,0,,
112,130,EOG,0,,
109,114,AST,,,
109,114,DFG,,,
112,109,EOG,0,,
114,109,DFG,,,
114,109,EOG,0,,
109,114,EOG,0,,
106,114,EOG,0,,
110,53,AST,,,
107,110,EOG,0,,
53,110,DFG,,,
53,110,EOG,0,,
110,53,EOG,0,,
18,53,EOG,0,,
39,131,AST,,,
25,39,EOG,0,,
131,39,DFG,,,
131,39,EOG,0,,
39,131,EOG,0,,
24,131,EOG,0,,
37,132,AST,,,
23,37,EOG,0,,
132,37,DFG,,,
132,37,EOG,0,,
37,132,EOG,0,,
22,132,EOG,0,,
133,25,EOG,0,,
39,25,EOG,0,,
36,134,AST,,,
22,36,EOG,0,,
134,36,DFG,,,
134,36,EOG,0,,
36,134,EOG,0,,
21,134,EOG,0,,
30,14,EOG,0,,
31,135,AST,,,
15,31,EOG,0,,
135,31,DFG,,,
135,31,EOG,0,,
135,13,AST,,,
31,135,EOG,0,,
13,135,EOG,0,,
135,13,EOG,0,,
7,13,EOG,0,,
136,23,EOG,0,,
37,23,EOG,0,,
137,15,EOG,0,,
31,15,EOG,0,,
32,138,AST,,,
16,32,EOG,0,,
138,32,DFG,,,
138,32,EOG,0,,
138,139,AST,,,
32,138,EOG,0,,
139,138,EOG,0,,
138,139,EOG,0,,
140,139,EOG,0,,
140,137,AST,,,
139,140,EOG,0,,
