source_id,target_id,type,index,branch,name
1,2,AST,,,
1,3,AST,,,
1,4,AST,,,
1,5,AST,,,
1,6,AST,,,
1,7,AST,,,
5,8,AST,,,
5,9,AST,,,
5,10,AST,,,
9,11,AST,,,
9,12,AST,,,
9,13,AST,,,
14,9,EOG,0,,
15,9,DFG,,,
12,16,AST,,,
12,17,AST,,,
12,18,AST,,,
12,19,AST,,,
12,20,AST,,,
12,21,AST,,,
12,22,AST,,,
12,23,AST,,,
12,15,AST,,,
12,24,AST,,,
12,25,AST,,,
12,26,AST,,,
12,27,AST,,,
12,28,AST,,,
12,29,AST,,,
30,16,EOG,0,,
24,16,EOG,0,,
27,31,AST,,,
32,27,EOG,0,,
31,27,DFG,,,
31,27,EOG,0,,
27,31,EOG,0,,
26,31,EOG,0,,
22,33,AST,,,
22,34,AST,,,
35,22,EOG,0,,
34,22,DFG,,,
34,22,EOG,0,,
34,36,AST,,,
37,34,AST,0,,
34,33,DFG,,,
22,34,EOG,0,,
37,34,DFG,,,
38,34,EOG,0,,
34,38,EOG,0,,
33,38,EOG,0,,
38,33,EOG,0,,
21,33,EOG,0,,
20,39,AST,,,
20,40,AST,,,
41,20,EOG,0,,
42,20,EOG,1,,
39,20,DFG,,,
39,20,EOG,0,,
40,43,AST,,,
40,44,AST,,,
40,45,AST,,,
40,46,AST,,,
40,47,AST,,,
40,48,AST,,,
49,40,EOG,0,,
47,40,EOG,0,,
44,50,AST,,,
44,51,AST,,,
52,44,EOG,0,,
51,44,DFG,,,
51,44,EOG,0,,
53,50,EOG,0,,
51,50,DFG,,,
43,50,EOG,0,,
51,54,AST,,,
44,51,EOG,0,,
53,51,EOG,0,,
51,53,EOG,0,,
50,53,EOG,0,,
55,45,EOG,0,,
48,45,EOG,0,,
47,56,AST,,,
47,56,DFG,,,
40,47,EOG,0,,
56,47,DFG,,,
56,47,EOG,0,,
47,56,EOG,0,,
46,56,EOG,0,,
46,57,AST,,,
58,46,AST,0,,
56,46,EOG,0,,
58,46,DFG,,,
59,46,EOG,0,,
59,60,DFG,,,
46,59,EOG,0,,
55,59,EOG,0,,
59,55,EOG,0,,
45,55,EOG,0,,
43,41,AST,,,
43,61,AST,,,
50,43,EOG,0,,
61,43,DFG,,,
61,43,EOG,0,,
62,41,EOG,0,,
61,41,DFG,,,
20,41,EOG,0,,
61,63,AST,,,
43,61,EOG,0,,
62,61,EOG,0,,
61,62,EOG,0,,
41,62,EOG,0,,
48,64,AST,,,
45,48,EOG,0,,
64,48,DFG,,,
64,48,EOG,0,,
64,65,AST,,,
48,64,EOG,0,,
65,64,EOG,0,,
66,65,AST,0,,
64,65,EOG,0,,
66,65,DFG,,,
67,65,EOG,0,,
67,68,DFG,,,
65,67,EOG,0,,
52,67,EOG,0,,
52,69,DFG,,,
67,52,EOG,0,,
44,52,EOG,0,,
39,49,AST,,,
39,70,AST,,,
20,39,EOG,0,,
70,39,DFG,,,
49,39,DFG,,,
70,39,EOG,0,,
39,70,EOG,0,,
49,70,EOG,0,,
70,49,EOG,0,,
19,49,EOG,0,,
40,49,EOG,0,,
23,71,AST,,,
15,23,EOG,0,,
72,23,EOG,0,,
72,73,EOG,0,,
74,73,EOG,0,,
74,35,AST,,,
73,74,EOG,0,,
35,74,EOG,0,,
74,35,EOG,0,,
22,35,EOG,0,,
23,72,EOG,0,,
73,72,EOG,0,,
24,75,AST,,,
16,24,EOG,0,,
75,24,DFG,,,
75,24,EOG,0,,
75,76,AST,,,
24,75,EOG,0,,
76,75,EOG,0,,
75,76,EOG,0,,
77,76,EOG,0,,
77,14,AST,,,
76,77,EOG,0,,
14,77,EOG,0,,
77,14,EOG,0,,
9,14,EOG,0,,
49,19,EOG,0,,
29,19,EOG,0,,
26,78,AST,,,
31,26,EOG,0,,
78,26,DFG,,,
78,26,EOG,0,,
26,78,EOG,0,,
17,78,EOG,0,,
23,15,EOG,0,,
79,18,EOG,0,,
28,18,EOG,0,,
25,80,AST,,,
17,25,EOG,0,,
80,25,DFG,,,
80,25,EOG,0,,
80,30,AST,,,
25,80,EOG,0,,
30,80,EOG,0,,
81,30,AST,0,,
80,30,EOG,0,,
81,30,DFG,,,
16,30,EOG,0,,
78,17,EOG,0,,
25,17,EOG,0,,
28,32,AST,,,
18,28,EOG,0,,
32,28,DFG,,,
32,28,EOG,0,,
28,32,EOG,0,,
27,32,EOG,0,,
29,82,AST,,,
19,29,EOG,0,,
82,29,DFG,,,
82,29,EOG,0,,
82,83,AST,,,
29,82,EOG,0,,
79,82,EOG,0,,
82,79,EOG,0,,
18,79,EOG,0,,
21,84,AST,,,
85,21,AST,0,,
33,21,EOG,0,,
85,21,DFG,,,
42,21,EOG,0,,
21,42,EOG,0,,
20,42,EOG,1,,
8,8,AST,,,
3,86,AST,,,
3,87,AST,,,
3,88,AST,,,
3,89,AST,,,
3,90,AST,,,
3,91,AST,,,
3,92,AST,,,
3,93,AST,,,
87,87,AST,,,
89,94,AST,,,
89,95,AST,,,
89,96,AST,,,
97,89,EOG,0,,
98,89,DFG,,,
95,99,AST,,,
95,98,AST,,,
99,100,AST,,,
98,99,EOG,0,,
101,99,EOG,0,,
102,97,AST,,,
101,102,EOG,0,,
97,102,EOG,0,,
102,97,EOG,0,,
89,97,EOG,0,,
99,101,EOG,0,,
102,101,EOG,0,,
99,98,EOG,0,,
92,103,AST,,,
92,104,AST,,,
105,92,EOG,0,,
106,92,DFG,,,
104,107,AST,,,
104,108,AST,,,
104,109,AST,,,
104,110,AST,,,
104,111,AST,,,
104,112,AST,,,
104,113,AST,,,
104,114,AST,,,
104,115,AST,,,
104,106,AST,,,
104,116,AST,,,
104,117,AST,,,
104,118,AST,,,
104,119,AST,,,
104,120,AST,,,
114,121,AST,,,
114,122,AST,,,
123,114,EOG,0,,
122,114,DFG,,,
122,114,EOG,0,,
121,124,AST,,,
122,121,EOG,0,,
122,121,DFG,,,
124,121,EOG,0,,
121,124,EOG,0,,
113,124,EOG,0,,
114,122,EOG,0,,
121,122,EOG,0,,
106,125,AST,,,
125,106,DFG,,,
125,106,EOG,0,,
125,126,AST,,,
106,125,EOG,0,,
126,125,EOG,0,,
125,126,EOG,0,,
115,126,EOG,1,,
119,127,AST,,,
111,119,EOG,0,,
127,119,DFG,,,
127,119,EOG,0,,
119,127,EOG,0,,
110,127,EOG,0,,
109,128,AST,,,
129,109,EOG,0,,
130,109,EOG,0,,
130,131,AST,,,
109,130,EOG,0,,
131,130,EOG,0,,
130,131,EOG,0,,
132,131,EOG,0,,
131,132,EOG,0,,
108,132,EOG,0,,
113,133,AST,,,
113,134,AST,,,
124,113,EOG,0,,
134,113,DFG,,,
134,113,EOG,0,,
135,133,EOG,0,,
134,133,DFG,,,
112,133,EOG,0,,
134,136,AST,,,
113,134,EOG,0,,
135,134,EOG,0,,
134,135,EOG,0,,
133,135,EOG,0,,
118,137,AST,,,
110,118,EOG,0,,
137,118,DFG,,,
137,118,EOG,0,,
137,129,AST,,,
118,137,EOG,0,,
129,137,EOG,0,,
137,129,EOG,0,,
109,129,EOG,0,,
117,138,AST,,,
108,117,EOG,0,,
138,117,DFG,,,
138,117,EOG,0,,
138,139,AST,,,
117,138,EOG,0,,
139,138,EOG,0,,
138,139,EOG,0,,
107,139,EOG,0,,
132,108,EOG,0,,
117,108,EOG,0,,
116,140,AST,,,
107,116,EOG,0,,
140,116,DFG,,,
140,116,EOG,0,,
140,105,AST,,,
116,140,EOG,0,,
105,140,EOG,0,,
140,105,EOG,0,,
92,105,EOG,0,,
115,141,AST,,,
115,142,AST,,,
143,115,EOG,0,,
126,115,EOG,1,,
141,115,DFG,,,
141,115,EOG,0,,
141,144,AST,,,
115,141,EOG,0,,
144,141,DFG,,,
144,141,EOG,0,,
144,145,AST,,,
141,144,EOG,0,,
123,144,EOG,0,,
144,123,EOG,0,,
114,123,EOG,0,,
142,123,EOG,0,,
142,146,AST,,,
142,147,AST,,,
142,148,AST,,,
142,149,AST,,,
123,142,EOG,0,,
150,142,EOG,0,,
149,142,EOG,1,,
149,151,AST,,,
149,150,AST,,,
152,149,EOG,0,true,
142,149,EOG,1,,
151,149,DFG,,,
151,149,EOG,0,,
151,153,AST,,,
151,154,AST,,,
149,151,EOG,0,,
153,151,DFG,,,
154,151,DFG,,,
154,151,EOG,0,,
155,153,EOG,0,,
148,153,EOG,1,,
154,155,AST,,,
151,154,EOG,0,,
155,154,EOG,0,,
154,155,EOG,0,,
153,155,EOG,0,,
150,156,AST,,,
150,157,AST,,,
150,158,AST,,,
142,150,EOG,0,,
158,150,EOG,0,,
158,159,AST,,,
