source_id,target_id,type,index,branch,name
1,2,AST,,,
1,3,AST,,,
1,4,AST,,,
1,5,AST,,,
1,6,AST,,,
3,7,AST,,,
3,8,AST,,,
3,9,AST,,,
3,10,AST,,,
10,11,AST,,,
10,12,AST,,,
10,13,AST,,,
14,10,EOG,0,,
15,10,DFG,,,
11,16,AST,,,
11,17,AST,,,
11,18,AST,,,
11,15,AST,,,
17,19,AST,,,
17,20,AST,,,
21,17,EOG,0,,
20,17,DFG,,,
20,17,EOG,0,,
20,19,DFG,,,
17,20,EOG,0,,
19,20,EOG,0,,
19,22,AST,,,
20,19,EOG,0,,
22,19,EOG,0,,
19,22,EOG,0,,
16,22,EOG,0,,
18,23,AST,,,
18,24,AST,,,
15,18,EOG,0,,
24,18,DFG,,,
24,18,EOG,0,,
24,23,DFG,,,
18,24,EOG,0,,
23,24,EOG,0,,
23,21,AST,,,
24,23,EOG,0,,
21,23,EOG,0,,
23,21,EOG,0,,
17,21,EOG,0,,
16,25,AST,,,
16,26,AST,,,
22,16,EOG,0,,
26,16,DFG,,,
26,16,EOG,0,,
25,14,AST,,,
26,25,EOG,0,,
26,25,DFG,,,
14,25,EOG,0,,
25,14,EOG,0,,
10,14,EOG,0,,
16,26,EOG,0,,
25,26,EOG,0,,
18,15,EOG,0,,
8,8,AST,,,
9,9,AST,,,
7,7,AST,,,
4,27,AST,,,
4,28,AST,,,
4,29,AST,,,
4,30,AST,,,
4,31,AST,,,
4,32,AST,,,
29,29,AST,,,
31,33,AST,,,
34,31,EOG,0,,
34,31,DFG,,,
33,34,AST,,,
31,34,EOG,0,,
30,35,AST,,,
30,36,AST,,,
30,37,AST,,,
38,30,EOG,0,,
39,30,DFG,,,
36,39,AST,,,
39,40,AST,,,
40,39,DFG,,,
40,39,EOG,0,,
39,40,EOG,0,,
41,40,EOG,0,,
42,38,AST,,,
43,42,EOG,0,,
38,42,EOG,0,,
42,38,EOG,0,,
30,38,EOG,0,,
41,43,AST,,,
40,41,EOG,0,,
43,41,EOG,0,,
41,43,EOG,0,,
42,43,EOG,0,,
32,44,AST,,,
32,45,AST,,,
32,46,AST,,,
47,32,EOG,0,,
48,32,DFG,,,
44,49,AST,,,
44,50,AST,,,
44,51,AST,,,
44,52,AST,,,
44,53,AST,,,
44,54,AST,,,
44,55,AST,,,
44,48,AST,,,
44,56,AST,,,
44,57,AST,,,
56,58,AST,,,
51,56,EOG,0,,
58,56,DFG,,,
58,56,EOG,0,,
58,59,AST,,,
58,60,AST,,,
56,58,EOG,0,,
59,58,DFG,,,
60,58,DFG,,,
60,58,EOG,0,,
59,61,AST,,,
62,59,EOG,0,,
61,59,EOG,0,,
59,61,EOG,0,,
50,61,EOG,0,,
60,62,AST,,,
58,60,EOG,0,,
62,60,EOG,0,,
60,62,EOG,0,,
59,62,EOG,0,,
57,63,AST,,,
52,57,EOG,0,,
63,57,DFG,,,
63,57,EOG,0,,
63,64,AST,,,
63,65,AST,,,
57,63,EOG,0,,
64,63,DFG,,,
65,63,DFG,,,
65,63,EOG,0,,
64,66,AST,,,
67,64,EOG,0,,
66,64,EOG,0,,
64,66,EOG,0,,
51,66,EOG,0,,
65,67,AST,,,
63,65,EOG,0,,
67,65,EOG,0,,
65,67,EOG,0,,
64,67,EOG,0,,
53,68,AST,,,
53,69,AST,,,
70,53,EOG,0,,
69,53,DFG,,,
69,53,EOG,0,,
69,71,AST,,,
69,72,AST,,,
69,68,DFG,,,
53,69,EOG,0,,
71,69,DFG,,,
72,69,DFG,,,
72,69,EOG,0,,
72,71,EOG,0,,
68,71,EOG,0,,
69,72,EOG,0,,
71,72,EOG,0,,
71,68,EOG,0,,
52,68,EOG,0,,
50,73,AST,,,
50,74,AST,,,
61,50,EOG,0,,
74,50,DFG,,,
74,50,EOG,0,,
73,75,AST,,,
74,73,EOG,0,,
74,73,DFG,,,
75,73,EOG,0,,
73,75,EOG,0,,
49,75,EOG,0,,
50,74,EOG,0,,
73,74,EOG,0,,
49,76,AST,,,
49,77,AST,,,
75,49,EOG,0,,
77,49,DFG,,,
77,49,EOG,0,,
77,76,DFG,,,
49,77,EOG,0,,
76,77,EOG,0,,
76,47,AST,,,
77,76,EOG,0,,
47,76,EOG,0,,
76,47,EOG,0,,
32,47,EOG,0,,
66,51,EOG,0,,
56,51,EOG,0,,
54,70,AST,,,
54,78,AST,,,
79,54,EOG,0,,
78,54,DFG,,,
78,54,EOG,0,,
78,80,AST,,,
78,81,AST,,,
78,70,DFG,,,
54,78,EOG,0,,
80,78,DFG,,,
81,78,DFG,,,
81,78,EOG,0,,
81,80,EOG,0,,
70,80,EOG,0,,
78,81,EOG,0,,
80,81,EOG,0,,
80,70,EOG,0,,
53,70,EOG,0,,
55,48,EOG,0,,
68,52,EOG,0,,
57,52,EOG,0,,
55,82,AST,,,
55,83,AST,,,
48,55,EOG,0,,
83,55,DFG,,,
83,55,EOG,0,,
83,82,DFG,,,
55,83,EOG,0,,
84,83,EOG,0,,
84,85,AST,,,
84,86,AST,,,
83,84,EOG,0,,
85,84,DFG,,,
86,84,DFG,,,
86,84,EOG,0,,
86,85,EOG,0,,
82,85,EOG,0,,
84,86,EOG,0,,
85,86,EOG,0,,
82,79,AST,,,
85,82,EOG,0,,
79,82,EOG,0,,
82,79,EOG,0,,
54,79,EOG,0,,
28,28,AST,,,
27,27,AST,,,
2,87,AST,,,
2,88,AST,,,
2,89,AST,,,
2,90,AST,,,
2,91,AST,,,
2,92,AST,,,
2,93,AST,,,
89,94,AST,,,
89,89,AST,,,
94,89,DFG,,,
94,95,AST,,,
91,96,AST,,,
91,97,AST,,,
91,98,AST,,,
99,91,EOG,0,,
100,91,DFG,,,
97,101,AST,,,
97,102,AST,,,
97,103,AST,,,
97,104,AST,,,
97,105,AST,,,
97,106,AST,,,
97,100,AST,,,
97,107,AST,,,
97,108,AST,,,
109,101,EOG,0,,
107,101,EOG,0,,
110,102,EOG,0,,
108,102,EOG,0,,
105,111,AST,,,
112,105,EOG,0,,
113,105,EOG,0,,
113,114,AST,,,
105,113,EOG,0,,
114,113,EOG,0,,
113,114,EOG,0,,
115,114,EOG,0,,
114,115,EOG,0,,
116,115,EOG,0,,
116,117,AST,,,
115,116,EOG,0,,
117,116,EOG,0,,
116,117,EOG,0,,
104,117,EOG,0,,
106,118,AST,,,
100,106,EOG,0,,
119,106,EOG,0,,
119,112,AST,,,
106,119,EOG,0,,
112,119,EOG,0,,
119,112,EOG,0,,
105,112,EOG,0,,
108,120,AST,,,
102,108,EOG,0,,
120,108,DFG,,,
120,108,EOG,0,,
120,121,AST,,,
108,120,EOG,0,,
109,120,EOG,0,,
120,109,EOG,0,,
101,109,EOG,0,,
103,122,AST,,,
103,123,AST,,,
103,124,AST,,,
103,125,AST,,,
103,126,AST,,,
127,103,EOG,0,,
128,103,EOG,1,,
124,103,DFG,,,
124,103,EOG,0,,
124,129,AST,,,
124,130,AST,,,
103,124,EOG,0,,
130,124,DFG,,,
129,124,DFG,,,
130,124,EOG,0,,
124,130,EOG,0,,
129,130,EOG,0,,
130,129,EOG,0,,
123,129,EOG,0,,
125,129,EOG,0,,
126,110,AST,,,
123,126,EOG,0,,
110,126,DFG,,,
110,126,EOG,0,,
126,110,EOG,0,,
102,110,EOG,0,,
125,131,AST,,,
125,131,DFG,,,
129,125,EOG,0,,
131,125,DFG,,,
131,125,EOG,0,,
125,131,EOG,0,,
122,131,EOG,0,,
129,123,EOG,0,,
126,123,EOG,0,,
122,132,AST,,,
131,122,EOG,0,,
132,122,EOG,0,,
132,133,AST,,,
132,134,AST,,,
122,132,EOG,0,,
134,132,DFG,,,
134,132,EOG,0,,
133,135,AST,,,
133,136,AST,,,
137,133,EOG,0,,
135,133,DFG,,,
134,133,DFG,,,
136,133,EOG,0,,
135,127,AST,,,
136,135,EOG,0,,
127,135,EOG,0,,
135,127,EOG,0,,
103,127,EOG,0,,
133,136,EOG,0,,
135,136,EOG,0,,
134,138,AST,,,
132,134,EOG,0,,
138,134,EOG,0,,
139,138,AST,0,,
134,138,EOG,0,,
139,138,DFG,,,
140,138,EOG,0,,
140,141,AST,,,
140,142,DFG,,,
138,140,EOG,0,,
143,140,EOG,0,,
140,143,EOG,0,,
144,143,EOG,0,,
144,145,AST,,,
144,146,DFG,,,
143,144,EOG,0,,
137,144,EOG,0,,
144,137,EOG,0,,
133,137,EOG,0,,
106,100,EOG,0,,
107,147,AST,,,
101,107,EOG,0,,
147,107,DFG,,,
147,107,EOG,0,,
147,148,AST,,,
107,147,EOG,0,,
148,147,EOG,0,,
147,148,EOG,0,,
