source_id,target_id,type,index,branch,name
1,2,AST,,,
1,3,AST,,,
2,4,AST,,,
2,5,AST,,,
2,6,AST,,,
2,7,AST,,,
2,8,AST,,,
2,9,AST,,,
2,10,AST,,,
2,11,AST,,,
2,12,AST,,,
12,13,AST,,,
12,14,AST,,,
12,15,AST,,,
12,16,AST,,,
12,17,AST,,,
12,18,AST,,,
14,14,AST,,,
16,16,AST,,,
15,15,AST,,,
17,19,AST,,,
17,20,AST,,,
17,21,AST,,,
22,17,EOG,0,,
23,17,DFG,,,
20,24,AST,,,
20,23,AST,,,
24,25,AST,,,
24,26,AST,,,
24,27,AST,,,
28,24,EOG,0,true,
29,24,EOG,1,false,
25,24,DFG,,,
25,24,EOG,0,,
27,29,AST,,,
29,27,DFG,,,
29,27,EOG,0,,
27,29,EOG,0,,
24,29,EOG,1,false,
26,30,AST,,,
30,26,DFG,,,
30,26,EOG,0,,
30,28,AST,,,
26,30,EOG,0,,
28,30,DFG,,,
28,30,EOG,0,,
30,28,EOG,0,,
24,28,EOG,0,true,
25,31,AST,,,
25,32,AST,,,
24,25,EOG,0,,
31,25,DFG,,,
32,25,DFG,,,
32,25,EOG,0,,
31,22,AST,,,
33,31,EOG,0,,
22,31,EOG,0,,
31,22,EOG,0,,
17,22,EOG,0,,
32,33,AST,,,
25,32,EOG,0,,
33,32,EOG,0,,
32,33,EOG,0,,
31,33,EOG,0,,
18,34,AST,,,
18,35,AST,,,
18,36,AST,,,
18,37,AST,,,
38,18,EOG,0,,
39,18,DFG,,,
34,40,AST,,,
34,41,AST,,,
34,42,AST,,,
34,39,AST,,,
42,43,AST,,,
42,44,AST,,,
39,42,EOG,0,,
44,42,DFG,,,
44,42,EOG,0,,
43,45,AST,,,
44,43,EOG,0,,
44,43,DFG,,,
45,43,EOG,0,,
43,45,EOG,0,,
41,45,EOG,0,,
42,44,EOG,0,,
43,44,EOG,0,,
40,46,AST,,,
40,47,AST,,,
48,40,EOG,0,,
47,40,DFG,,,
47,40,EOG,0,,
46,38,AST,,,
47,46,EOG,0,,
47,46,DFG,,,
38,46,EOG,0,,
46,38,EOG,0,,
18,38,EOG,0,,
40,47,EOG,0,,
46,47,EOG,0,,
41,49,AST,,,
41,50,AST,,,
45,41,EOG,0,,
50,41,DFG,,,
50,41,EOG,0,,
50,49,DFG,,,
41,50,EOG,0,,
49,50,EOG,0,,
49,48,AST,,,
50,49,EOG,0,,
48,49,EOG,0,,
49,48,EOG,0,,
40,48,EOG,0,,
42,39,EOG,0,,
13,13,AST,,,
8,51,AST,,,
8,52,AST,,,
8,53,AST,,,
8,54,AST,,,
55,8,EOG,0,,
56,8,DFG,,,
52,56,AST,,,
56,57,AST,,,
57,56,DFG,,,
57,56,EOG,0,,
57,58,AST,,,
57,59,AST,,,
56,57,EOG,0,,
59,57,DFG,,,
58,57,DFG,,,
59,57,EOG,0,,
60,59,AST,0,,
59,61,AST,,,
57,59,EOG,0,,
60,59,DFG,,,
61,59,EOG,0,,
61,62,DFG,,,
59,61,EOG,0,,
58,61,EOG,0,,
60,58,AST,0,,
58,55,AST,,,
61,58,EOG,0,,
60,58,DFG,,,
55,58,EOG,0,,
55,62,DFG,,,
58,55,EOG,0,,
8,55,EOG,0,,
5,5,AST,,,
10,63,AST,,,
10,64,AST,,,
10,65,AST,,,
66,10,AST,0,,
67,10,EOG,0,,
68,10,DFG,,,
64,69,AST,,,
64,70,AST,,,
64,71,AST,,,
64,72,AST,,,
64,73,AST,,,
64,74,AST,,,
64,75,AST,,,
64,76,AST,,,
64,77,AST,,,
64,78,AST,,,
64,68,AST,,,
64,79,AST,,,
64,80,AST,,,
64,81,AST,,,
64,82,AST,,,
64,83,AST,,,
64,84,AST,,,
64,85,AST,,,
64,86,AST,,,
77,87,AST,,,
77,88,AST,,,
77,89,AST,,,
77,90,AST,,,
77,91,AST,,,
92,77,EOG,0,,
93,77,EOG,1,,
89,77,DFG,,,
89,77,EOG,0,,
91,94,AST,,,
88,91,EOG,0,,
94,91,DFG,,,
94,91,EOG,0,,
91,94,EOG,0,,
76,94,EOG,0,,
95,88,EOG,0,,
91,88,EOG,0,,
87,96,AST,,,
87,97,AST,,,
87,98,AST,,,
87,99,AST,,,
87,100,AST,,,
87,101,AST,,,
102,87,EOG,0,,
101,87,EOG,1,,
103,97,AST,0,,
97,104,AST,,,
105,97,EOG,0,,
103,97,DFG,,,
104,97,EOG,0,,
104,106,DFG,,,
97,104,EOG,0,,
96,104,EOG,0,,
100,107,AST,,,
100,108,AST,,,
100,109,AST,,,
100,110,AST,,,
100,111,AST,,,
112,100,EOG,0,,
113,100,EOG,1,,
109,100,DFG,,,
109,100,EOG,0,,
110,114,AST,,,
110,114,DFG,,,
115,110,EOG,0,,
114,110,DFG,,,
114,110,EOG,0,,
110,114,EOG,0,,
107,114,EOG,0,,
107,116,AST,,,
114,107,EOG,0,,
116,107,EOG,1,,
116,117,AST,,,
116,118,AST,,,
116,119,AST,,,
116,120,AST,,,
116,121,AST,,,
122,116,EOG,0,,
107,116,EOG,1,,
119,116,DFG,,,
119,116,EOG,0,,
119,123,AST,,,
119,124,AST,,,
116,119,EOG,0,,
124,119,DFG,,,
123,119,DFG,,,
124,119,EOG,0,,
119,124,EOG,0,,
123,124,EOG,0,,
124,123,EOG,0,,
118,123,EOG,0,,
120,123,EOG,0,,
120,125,AST,,,
120,125,DFG,,,
123,120,EOG,0,,
125,120,DFG,,,
125,120,EOG,0,,
120,125,EOG,0,,
117,125,EOG,0,,
117,126,AST,,,
117,127,AST,,,
117,128,AST,,,
117,129,AST,,,
117,130,AST,,,
117,131,AST,,,
125,117,EOG,0,,
130,117,EOG,0,,
131,132,AST,,,
129,131,EOG,0,,
132,131,DFG,,,
132,131,EOG,0,,
132,133,AST,,,
131,132,EOG,0,,
133,132,EOG,0,,
134,133,AST,0,,
132,133,EOG,0,,
134,133,DFG,,,
135,133,EOG,0,,
135,136,AST,,,
135,137,DFG,,,
133,135,EOG,0,,
136,135,DFG,,,
136,135,EOG,0,,
135,136,EOG,0,,
138,136,EOG,0,,
138,139,DFG,,,
136,138,EOG,0,,
140,138,EOG,0,,
140,141,DFG,,,
138,140,EOG,0,,
128,140,EOG,0,,
128,142,AST,,,
128,143,AST,,,
140,128,EOG,0,,
143,128,DFG,,,
143,128,EOG,0,,
143,142,DFG,,,
128,143,EOG,0,,
144,143,EOG,0,,
144,145,AST,,,
144,146,AST,,,
143,144,EOG,0,,
145,144,DFG,,,
146,144,DFG,,,
146,144,EOG,0,,
145,147,AST,,,
145,148,AST,,,
149,145,EOG,0,,
147,145,DFG,,,
148,145,DFG,,,
148,145,EOG,0,,
148,147,EOG,0,,
142,147,EOG,0,,
145,148,EOG,0,,
147,148,EOG,0,,
146,149,AST,,,
146,150,AST,,,
144,146,EOG,0,,
150,146,DFG,,,
149,146,DFG,,,
150,146,EOG,0,,
146,150,EOG,0,,
149,150,EOG,0,,
150,149,EOG,0,,
145,149,EOG,0,,
147,142,EOG,0,,
127,142,EOG,0,,
127,151,AST,,,
127,152,AST,,,
142,127,EOG,0,,
152,127,DFG,,,
152,127,EOG,0,,
153,151,EOG,0,,
152,151,DFG,,,
126,151,EOG,0,,
152,154,AST,,,
152,155,AST,,,
127,152,EOG,0,,
154,152,DFG,,,
155,152,DFG,,,
155,152,EOG,0,,
154,156,AST,,,
154,157,AST,,,
158,154,EOG,0,,
156,154,DFG,,,
157,154,EOG,0,,
154,157,EOG,0,,
156,157,EOG,0,,
156,153,AST,,,
156,159,AST,,,
157,156,EOG,0,,
153,156,DFG,,,
159,156,EOG,0,,
159,153,EOG,0,,
151,153,EOG,0,,
156,159,EOG,0,,
153,159,EOG,0,,
155,160,AST,,,
155,161,AST,,,
152,155,EOG,0,,
160,155,DFG,,,
161,155,EOG,0,,
160,158,AST,,,
160,162,AST,,,
161,160,EOG,0,,
158,160,DFG,,,
162,160,EOG,0,,
160,162,EOG,0,,
158,162,EOG,0,,
162,158,EOG,0,,
154,158,EOG,0,,
155,161,EOG,0,,
160,161,EOG,0,,
163,129,EOG,0,,
131,129,EOG,0,,
130,164,AST,,,
117,130,EOG,0,,
165,130,EOG,0,,
130,165,EOG,0,,
163,165,EOG,0,,
165,163,EOG,0,,
129,163,EOG,0,,
126,122,AST,,,
126,166,AST,,,
151,126,EOG,0,,
166,126,DFG,,,
166,126,EOG,0,,
166,167,AST,,,
166,168,AST,,,
166,122,DFG,,,
126,166,EOG,0,,
168,166,DFG,,,
167,166,DFG,,,
168,166,EOG,0,,
168,169,AST,,,
168,170,AST,,,
