source_id,target_id,type,index,branch,name
1,2,AST,,,
1,3,AST,,,
1,4,AST,,,
2,5,AST,,,
2,6,AST,,,
2,7,AST,,,
2,8,AST,,,
2,9,AST,,,
2,10,AST,,,
2,11,AST,,,
2,12,AST,,,
9,13,AST,,,
9,14,AST,,,
9,15,AST,,,
16,9,EOG,0,,
17,9,DFG,,,
14,18,AST,,,
14,19,AST,,,
14,20,AST,,,
14,21,AST,,,
14,22,AST,,,
14,23,AST,,,
14,24,AST,,,
14,17,AST,,,
14,25,AST,,,
14,26,AST,,,
19,27,AST,,,
28,19,EOG,0,,
29,19,EOG,0,,
31,30,EOG,0,,
18,30,EOG,0,,
29,31,AST,,,
19,29,EOG,0,,
31,29,EOG,0,,
29,31,EOG,0,,
30,31,EOG,0,,
30,18,EOG,0,,
25,18,EOG,0,,
24,32,AST,,,
17,24,EOG,0,,
33,24,EOG,0,,
33,34,AST,,,
24,33,EOG,0,,
34,33,EOG,0,,
33,34,EOG,0,,
23,34,EOG,0,,
10,22,AST,0,,
35,22,EOG,0,,
10,22,DFG,,,
21,22,EOG,1,,
25,36,AST,,,
18,25,EOG,0,,
36,25,DFG,,,
36,25,EOG,0,,
36,37,AST,,,
25,36,EOG,0,,
37,36,EOG,0,,
36,37,EOG,0,,
38,37,EOG,0,,
38,16,AST,,,
37,38,EOG,0,,
16,38,EOG,0,,
38,16,EOG,0,,
9,16,EOG,0,,
39,20,EOG,0,,
26,20,EOG,0,,
24,17,EOG,0,,
21,40,AST,,,
21,41,AST,,,
21,42,AST,,,
21,43,AST,,,
21,44,AST,,,
45,21,EOG,0,,
22,21,EOG,1,,
42,21,DFG,,,
42,21,EOG,0,,
42,46,AST,,,
42,47,AST,,,
21,42,EOG,0,,
46,42,DFG,,,
47,42,DFG,,,
47,42,EOG,0,,
47,46,EOG,0,,
41,46,EOG,0,,
43,46,EOG,0,,
42,47,EOG,0,,
46,47,EOG,0,,
43,48,AST,,,
43,48,DFG,,,
46,43,EOG,0,,
48,43,DFG,,,
48,43,EOG,0,,
43,48,EOG,0,,
40,48,EOG,0,,
44,39,AST,,,
41,44,EOG,0,,
39,44,DFG,,,
39,44,EOG,0,,
44,39,EOG,0,,
20,39,EOG,0,,
46,41,EOG,0,,
44,41,EOG,0,,
40,49,AST,,,
40,50,AST,,,
40,51,AST,,,
40,52,AST,,,
48,40,EOG,0,,
51,40,EOG,0,,
52,53,AST,,,
49,52,EOG,0,,
53,52,DFG,,,
53,52,EOG,0,,
53,54,AST,,,
52,53,EOG,0,,
54,53,EOG,0,,
55,54,AST,0,,
53,54,EOG,0,,
55,54,DFG,,,
56,54,EOG,0,,
56,57,AST,,,
56,58,DFG,,,
54,56,EOG,0,,
59,56,EOG,0,,
56,59,EOG,0,,
60,59,EOG,0,,
60,61,AST,,,
60,62,DFG,,,
59,60,EOG,0,,
45,60,EOG,0,,
60,45,EOG,0,,
21,45,EOG,0,,
50,63,AST,,,
64,50,EOG,0,,
65,50,EOG,0,,
66,67,AST,,,
65,66,EOG,0,,
67,66,EOG,0,,
66,67,EOG,0,,
49,67,EOG,0,,
50,65,EOG,0,,
66,65,EOG,0,,
51,68,AST,,,
40,51,EOG,0,,
69,51,EOG,0,,
70,64,AST,,,
69,70,EOG,0,,
64,70,EOG,0,,
70,64,EOG,0,,
50,64,EOG,0,,
51,69,EOG,0,,
70,69,EOG,0,,
67,49,EOG,0,,
52,49,EOG,0,,
23,71,AST,,,
34,23,EOG,0,,
72,23,EOG,0,,
72,73,AST,,,
23,72,EOG,0,,
73,72,EOG,0,,
72,73,EOG,0,,
74,73,EOG,0,,
75,35,AST,,,
76,75,EOG,0,,
35,75,EOG,0,,
75,35,EOG,0,,
22,35,EOG,0,,
77,76,AST,,,
74,77,EOG,0,,
76,77,EOG,0,,
77,76,EOG,0,,
75,76,EOG,0,,
73,74,EOG,0,,
77,74,EOG,0,,
26,78,AST,,,
20,26,EOG,0,,
78,26,DFG,,,
78,26,EOG,0,,
78,79,AST,,,
26,78,EOG,0,,
28,78,EOG,0,,
78,28,EOG,0,,
19,28,EOG,0,,
6,80,AST,,,
6,6,AST,,,
80,6,DFG,,,
80,81,AST,,,
7,82,AST,,,
7,7,AST,,,
82,7,DFG,,,
82,83,AST,,,
10,84,AST,,,
10,85,AST,,,
86,10,EOG,0,,
87,10,DFG,,,
85,88,AST,,,
85,89,AST,,,
85,90,AST,,,
85,87,AST,,,
85,91,AST,,,
85,92,AST,,,
91,86,AST,,,
88,91,EOG,0,,
86,91,DFG,,,
86,91,EOG,0,,
91,86,EOG,0,,
10,86,EOG,0,,
93,88,EOG,0,,
91,88,EOG,0,,
92,93,AST,,,
89,92,EOG,0,,
93,92,DFG,,,
93,92,EOG,0,,
92,93,EOG,0,,
88,93,EOG,0,,
90,94,AST,,,
90,95,AST,,,
96,90,EOG,0,,
87,90,EOG,1,,
94,90,DFG,,,
94,90,EOG,0,,
95,97,AST,,,
95,98,AST,,,
95,99,AST,,,
95,100,AST,,,
101,95,EOG,0,,
100,95,EOG,1,,
98,102,AST,,,
103,98,EOG,0,,
104,98,EOG,0,,
98,104,EOG,0,,
105,104,EOG,0,,
105,106,AST,,,
104,105,EOG,0,,
106,105,EOG,0,,
105,106,EOG,0,,
97,106,EOG,0,,
100,107,AST,,,
100,108,AST,,,
100,109,AST,,,
100,110,AST,,,
111,100,EOG,0,,
95,100,EOG,1,,
107,100,DFG,,,
107,100,EOG,0,,
108,112,AST,,,
113,108,EOG,0,,
112,108,EOG,0,,
108,112,EOG,0,,
114,112,EOG,0,,
115,112,EOG,0,,
109,112,EOG,0,,
109,116,AST,,,
109,117,AST,,,
109,118,AST,,,
112,109,EOG,0,,
119,109,EOG,0,,
117,109,EOG,1,,
117,120,AST,,,
117,119,AST,,,
121,117,EOG,0,true,
109,117,EOG,1,,
120,117,DFG,,,
120,117,EOG,0,,
119,122,AST,,,
119,123,AST,,,
119,124,AST,,,
119,125,AST,,,
109,119,EOG,0,,
125,119,EOG,0,,
124,126,AST,,,
124,127,AST,,,
128,124,EOG,0,,
127,124,DFG,,,
127,124,EOG,0,,
126,129,AST,,,
127,126,EOG,0,,
127,126,DFG,,,
129,126,EOG,0,,
126,129,EOG,0,,
123,129,EOG,0,,
124,127,EOG,0,,
126,127,EOG,0,,
125,130,AST,,,
119,125,EOG,0,,
131,125,EOG,0,,
132,128,AST,,,
131,132,EOG,0,,
128,132,EOG,0,,
132,128,EOG,0,,
124,128,EOG,0,,
125,131,EOG,0,,
132,131,EOG,0,,
123,133,AST,,,
123,134,AST,,,
129,123,EOG,0,,
134,123,DFG,,,
134,123,EOG,0,,
134,133,DFG,,,
123,134,EOG,0,,
133,134,EOG,0,,
133,135,AST,,,
134,133,EOG,0,,
135,133,EOG,0,,
133,135,EOG,0,,
122,135,EOG,0,,
122,136,AST,,,
135,122,EOG,0,,
137,122,EOG,0,,
138,121,AST,,,
137,138,EOG,0,,
121,138,EOG,0,,
138,121,EOG,0,,
117,121,EOG,0,true,
122,137,EOG,0,,
138,137,EOG,0,,
120,139,AST,,,
120,140,AST,,,
117,120,EOG,0,,
139,120,DFG,,,
140,120,DFG,,,
140,120,EOG,0,,
141,139,EOG,0,,
116,139,EOG,0,,
140,141,AST,,,
120,140,EOG,0,,
141,140,EOG,0,,
140,141,EOG,0,,
139,141,EOG,0,,
118,142,AST,,,
116,118,EOG,0,,
142,118,DFG,,,
142,118,EOG,0,,
11,142,AST,0,,
142,111,AST,,,
142,143,AST,,,
118,142,EOG,0,,
11,142,DFG,,,
143,142,EOG,0,,
111,144,DFG,,,
143,111,EOG,0,,
100,111,EOG,0,,
143,145,DFG,,,
142,143,EOG,0,,
111,143,EOG,0,,
139,116,EOG,0,,
118,116,EOG,0,,
100,107,EOG,0,,
110,107,EOG,0,,
110,113,AST,,,
107,110,EOG,0,,
113,110,DFG,,,
113,110,EOG,0,,
110,113,EOG,0,,
108,113,EOG,0,,
97,96,AST,,,
97,146,AST,,,
106,97,EOG,0,,
146,97,DFG,,,
146,97,EOG,0,,
147,96,EOG,0,,
146,96,DFG,,,
90,96,EOG,0,,
146,148,AST,,,
97,146,EOG,0,,
149,146,EOG,0,,
149,147,AST,,,
146,149,EOG,0,,
147,149,EOG,0,,
149,147,EOG,0,,
96,147,EOG,0,,
99,150,AST,,,
99,114,AST,,,
99,115,AST,,,
151,99,EOG,0,true,
152,99,EOG,1,false,
150,99,DFG,,,
150,99,EOG,0,,
150,103,AST,,,
99,150,EOG,0,,
103,150,DFG,,,
103,150,EOG,0,,
150,103,EOG,0,,
