id,type,token,location,code
1,TRANSLATIONUNITDECLARATION,"/data/00000056/submissions/07668771_21_201207820/Prob20.java",,""
2,RECORDDECLARATION,"Node3",Prob20.java(6:1-15:2),"class Node3 {
	public boolean visited; // Valor booleano que indica se foi visitao numa
							// pesquisa
	public int distance; // Distancia do no origem da pesquisa

	Node3() {
		visited = false;
		distance = 10;
	}
}"
3,RECORDDECLARATION,"Prob20",Prob20.java(17:1-109:2),"public class Prob20 {

	static int c;
	static int l;
	static String linha;
	static char matriz[][];
	static Node3 nodes[][];
	static int distMax = -1;
	static int distMin;

	static void bfs() {
		LinkedList<Integer> x = new LinkedList<Integer>();
		LinkedList<Integer> y = new LinkedList<Integer>();

		for (int i = 0; i < l; i++)
			for (int j = 0; j < c; j++)
				if (matriz[i][j] != '#') {
					x.add(i);
					y.add(j);
					nodes[i][j].visited = true;
					nodes[i][j].distance = 0;
				}

		while (x.size() > 0) {
			int u = x.removeFirst();
			int v = y.removeFirst();
			if (v < c - 1)
				if (!nodes[u][v + 1].visited) {
					x.add(u);
					y.add(v + 1);
					nodes[u][v + 1].visited = true;
					nodes[u][v + 1].distance = nodes[u][v].distance + 1;
				}
			if (v > 0)
				if (!nodes[u][v - 1].visited) {
					x.add(u);
					y.add(v - 1);
					nodes[u][v - 1].visited = true;
					nodes[u][v - 1].distance = nodes[u][v].distance + 1;
				}
			if (u < l - 1)
				if (!nodes[u + 1][v].visited) {
					x.add(u + 1);
					y.add(v);
					nodes[u + 1][v].visited = true;
					nodes[u + 1][v].distance = nodes[u][v].distance + 1;
				}
			if (u > 0)
				if (!nodes[u - 1][v].visited) {
					x.add(u - 1);
					y.add(v);
					nodes[u - 1][v].visited = true;
					nodes[u - 1][v].distance = nodes[u][v].distance + 1;
				}
		}
	}

	public static void main(String[] args) {
		Scanner stdin = new Scanner(System.in);
		l = stdin.nextInt();
		c = stdin.nextInt();
		linha = stdin.nextLine();
		matriz = new char[l][c];
		nodes = new Node3[l + 1][c + 1];
		distMin = l*c;
		for (int i = 0; i < l; i++) {
			linha = stdin.nextLine();
			for (int j = 0; j < c; j++) {
				matriz[i][j] = linha.charAt(j);
			}
		}

		for (int i = 0; i < l; i++)
			for (int j = 0; j < c; j++)
				nodes[i][j] = new Node3();

		bfs();
		for (int i = 0; i < l; i++)
			for (int j = 0; j < c; j++)
				if (matriz[i][j] == 'A') {
					if (nodes[i][j].distance > distMax)
						distMax = nodes[i][j].distance;
					if (nodes[i][j].distance < distMin) {

						distMin = nodes[i][j].distance;
					}
				}

		System.out.println(distMin + "" "" + distMax);

	}

}"
4,INCLUDEDECLARATION,"java.io",,""
5,INCLUDEDECLARATION,"java.util",,""
6,FIELDDECLARATION,"this",,""
7,FIELDDECLARATION,"c",Prob20.java(19:2-19:15),"c"
8,FIELDDECLARATION,"l",Prob20.java(20:2-20:15),"l"
9,FIELDDECLARATION,"linha",Prob20.java(21:2-21:22),"linha"
10,FIELDDECLARATION,"matriz",Prob20.java(22:2-22:25),"matriz"
11,FIELDDECLARATION,"nodes",Prob20.java(23:2-23:25),"nodes"
12,FIELDDECLARATION,"distMax",Prob20.java(24:2-24:26),"distMax = -1"
13,FIELDDECLARATION,"distMin",Prob20.java(25:2-25:21),"distMin"
14,METHODDECLARATION,"bfs",Prob20.java(27:2-72:3),"static void bfs() {
		LinkedList<Integer> x = new LinkedList<Integer>();
		LinkedList<Integer> y = new LinkedList<Integer>();

		for (int i = 0; i < l; i++)
			for (int j = 0; j < c; j++)
				if (matriz[i][j] != '#') {
					x.add(i);
					y.add(j);
					nodes[i][j].visited = true;
					nodes[i][j].distance = 0;
				}

		while (x.size() > 0) {
			int u = x.removeFirst();
			int v = y.removeFirst();
			if (v < c - 1)
				if (!nodes[u][v + 1].visited) {
					x.add(u);
					y.add(v + 1);
					nodes[u][v + 1].visited = true;
					nodes[u][v + 1].distance = nodes[u][v].distance + 1;
				}
			if (v > 0)
				if (!nodes[u][v - 1].visited) {
					x.add(u);
					y.add(v - 1);
					nodes[u][v - 1].visited = true;
					nodes[u][v - 1].distance = nodes[u][v].distance + 1;
				}
			if (u < l - 1)
				if (!nodes[u + 1][v].visited) {
					x.add(u + 1);
					y.add(v);
					nodes[u + 1][v].visited = true;
					nodes[u + 1][v].distance = nodes[u][v].distance + 1;
				}
			if (u > 0)
				if (!nodes[u - 1][v].visited) {
					x.add(u - 1);
					y.add(v);
					nodes[u - 1][v].visited = true;
					nodes[u - 1][v].distance = nodes[u][v].distance + 1;
				}
		}
	}"
15,METHODDECLARATION,"main",Prob20.java(74:2-107:3),"public static void main(String[] args) {
		Scanner stdin = new Scanner(System.in);
		l = stdin.nextInt();
		c = stdin.nextInt();
		linha = stdin.nextLine();
		matriz = new char[l][c];
		nodes = new Node3[l + 1][c + 1];
		distMin = l*c;
		for (int i = 0; i < l; i++) {
			linha = stdin.nextLine();
			for (int j = 0; j < c; j++) {
				matriz[i][j] = linha.charAt(j);
			}
		}

		for (int i = 0; i < l; i++)
			for (int j = 0; j < c; j++)
				nodes[i][j] = new Node3();

		bfs();
		for (int i = 0; i < l; i++)
			for (int j = 0; j < c; j++)
				if (matriz[i][j] == 'A') {
					if (nodes[i][j].distance > distMax)
						distMax = nodes[i][j].distance;
					if (nodes[i][j].distance < distMin) {

						distMin = nodes[i][j].distance;
					}
				}

		System.out.println(distMin + "" "" + distMax);

	}"
16,METHODDECLARATION,"bfs",,""
17,METHODDECLARATION,"verificaposicao",,""
18,METHODDECLARATION,"nao_tem_parede",,""
19,METHODDECLARATION,"bfs",,""
20,METHODDECLARATION,"not_wall",,""
21,METHODDECLARATION,"check_pos",,""
22,METHODDECLARATION,"dfs",,""
23,METHODDECLARATION,"verificaAeroporto",,""
24,METHODDECLARATION,"verificaNuvem",,""
25,METHODDECLARATION,"bfs",,""
26,METHODDECLARATION,"check_pos",,""
27,METHODDECLARATION,"not_wall",,""
28,CONSTRUCTORDECLARATION,"Prob20",,""
29,PARAMVARIABLEDECLARATION,"ponto0",,""
30,CALLEXPRESSION,"nao_tem_parede",P20.java(33:34-33:57),"nao_tem_parede(proximo)"
31,CALLEXPRESSION,"nao_tem_parede",P20.java(34:34-34:54),"nao_tem_parede(next)"
32,CALLEXPRESSION,"nao_tem_parede",P20.java(33:34-33:54),"nao_tem_parede(next)"
33,DECLAREDREFERENCEEXPRESSION,"proximo",P20.java(33:49-33:56),"proximo"
34,DECLAREDREFERENCEEXPRESSION,"next",P20.java(33:49-33:53),"next"
35,DECLAREDREFERENCEEXPRESSION,"next",P20.java(34:49-34:53),"next"
36,VARIABLEDECLARATION,"this",,""
