source_id,target_id,type,index,branch,name
1,2,AST,,,
1,3,AST,,,
1,4,AST,,,
1,5,AST,,,
3,6,AST,,,
3,7,AST,,,
3,8,AST,,,
7,7,AST,,,
8,9,AST,,,
8,10,AST,,,
8,11,AST,,,
12,8,EOG,0,,
13,8,DFG,,,
9,14,AST,,,
9,15,AST,,,
9,16,AST,,,
9,13,AST,,,
16,17,AST,,,
16,18,AST,,,
13,16,EOG,0,,
18,16,DFG,,,
18,16,EOG,0,,
17,19,AST,,,
20,17,EOG,0,,
18,17,DFG,,,
19,17,EOG,0,,
17,19,EOG,0,,
15,19,EOG,0,,
18,20,AST,,,
16,18,EOG,0,,
20,18,EOG,0,,
18,20,EOG,0,,
17,20,EOG,0,,
14,21,AST,,,
14,22,AST,,,
23,14,EOG,0,,
22,14,DFG,,,
22,14,EOG,0,,
22,21,DFG,,,
14,22,EOG,0,,
21,22,EOG,0,,
21,12,AST,,,
22,21,EOG,0,,
12,21,EOG,0,,
21,12,EOG,0,,
8,12,EOG,0,,
15,24,AST,,,
15,25,AST,,,
19,15,EOG,0,,
25,15,DFG,,,
25,15,EOG,0,,
24,23,AST,,,
25,24,EOG,0,,
25,24,DFG,,,
23,24,EOG,0,,
24,23,EOG,0,,
14,23,EOG,0,,
15,25,EOG,0,,
24,25,EOG,0,,
16,13,EOG,0,,
6,6,AST,,,
2,26,AST,,,
2,27,AST,,,
2,28,AST,,,
27,29,AST,,,
27,30,AST,,,
27,31,AST,,,
32,27,EOG,0,,
33,27,DFG,,,
30,34,AST,,,
30,35,AST,,,
30,36,AST,,,
30,37,AST,,,
30,38,AST,,,
30,39,AST,,,
30,40,AST,,,
30,41,AST,,,
30,42,AST,,,
30,43,AST,,,
30,33,AST,,,
30,44,AST,,,
30,45,AST,,,
30,46,AST,,,
30,47,AST,,,
30,48,AST,,,
30,49,AST,,,
37,50,AST,,,
37,51,AST,,,
37,52,AST,,,
37,53,AST,,,
37,54,AST,,,
55,37,EOG,0,,
56,37,EOG,1,,
52,37,DFG,,,
52,37,EOG,0,,
52,57,AST,,,
52,58,AST,,,
37,52,EOG,0,,
58,52,DFG,,,
57,52,DFG,,,
58,52,EOG,0,,
52,58,EOG,0,,
57,58,EOG,0,,
58,57,EOG,0,,
51,57,EOG,0,,
53,57,EOG,0,,
53,59,AST,,,
53,59,DFG,,,
57,53,EOG,0,,
59,53,DFG,,,
59,53,EOG,0,,
53,59,EOG,0,,
50,59,EOG,0,,
57,51,EOG,0,,
54,51,EOG,0,,
50,60,AST,,,
59,50,EOG,0,,
61,50,EOG,0,,
62,55,EOG,0,,
37,55,EOG,0,,
61,63,AST,,,
50,61,EOG,0,,
63,61,EOG,0,,
64,63,AST,0,,
61,63,EOG,0,,
64,63,DFG,,,
65,63,EOG,0,,
65,66,AST,,,
65,67,DFG,,,
63,65,EOG,0,,
68,65,EOG,0,,
65,68,EOG,0,,
69,68,EOG,0,,
69,70,AST,,,
69,71,DFG,,,
68,69,EOG,0,,
62,69,EOG,0,,
69,62,EOG,0,,
55,62,EOG,0,,
54,72,AST,,,
51,54,EOG,0,,
72,54,DFG,,,
72,54,EOG,0,,
54,72,EOG,0,,
36,72,EOG,0,,
38,73,AST,,,
38,74,AST,,,
75,38,EOG,0,,
74,38,DFG,,,
74,38,EOG,0,,
74,73,DFG,,,
38,74,EOG,0,,
73,74,EOG,0,,
73,76,AST,,,
74,73,EOG,0,,
76,73,EOG,0,,
76,77,AST,,,
73,76,EOG,0,,
56,76,EOG,0,,
76,56,EOG,0,,
37,56,EOG,1,,
45,78,AST,,,
35,45,EOG,0,,
78,45,DFG,,,
78,45,EOG,0,,
78,79,AST,,,
45,78,EOG,0,,
80,78,EOG,0,,
78,80,EOG,0,,
34,80,EOG,0,,
49,81,AST,,,
41,49,EOG,0,,
81,49,DFG,,,
81,49,EOG,0,,
49,81,EOG,0,,
40,81,EOG,0,,
81,40,EOG,0,,
48,40,EOG,0,,
43,33,EOG,0,,
82,41,EOG,0,,
49,41,EOG,0,,
44,83,AST,,,
34,44,EOG,0,,
83,44,DFG,,,
83,44,EOG,0,,
83,84,AST,,,
44,83,EOG,0,,
84,83,EOG,0,,
83,84,EOG,0,,
85,84,EOG,0,,
85,32,AST,,,
84,85,EOG,0,,
32,85,EOG,0,,
85,32,EOG,0,,
27,32,EOG,0,,
47,75,AST,,,
39,47,EOG,0,,
75,47,DFG,,,
75,47,EOG,0,,
47,75,EOG,0,,
38,75,EOG,0,,
86,35,EOG,0,,
45,35,EOG,0,,
42,87,AST,,,
42,88,AST,,,
89,42,EOG,0,,
90,42,EOG,1,,
87,42,DFG,,,
87,42,EOG,0,,
87,91,AST,,,
87,92,AST,,,
42,87,EOG,0,,
92,87,DFG,,,
91,87,DFG,,,
92,87,EOG,0,,
87,92,EOG,0,,
91,92,EOG,0,,
91,93,AST,,,
92,91,EOG,0,,
82,91,EOG,0,,
91,82,EOG,0,,
41,82,EOG,0,,
88,82,EOG,0,,
88,94,AST,,,
88,95,AST,,,
88,96,AST,,,
88,97,AST,,,
88,98,AST,,,
88,99,AST,,,
88,100,AST,,,
88,101,AST,,,
82,88,EOG,0,,
100,88,EOG,1,,
95,102,AST,,,
95,103,AST,,,
104,95,EOG,0,,
103,95,DFG,,,
103,95,EOG,0,,
103,102,DFG,,,
95,103,EOG,0,,
102,103,EOG,0,,
103,102,EOG,0,,
94,102,EOG,0,,
98,105,AST,,,
106,98,EOG,0,,
107,98,EOG,0,,
107,108,AST,,,
107,109,AST,,,
98,107,EOG,0,,
108,107,DFG,,,
109,107,DFG,,,
109,107,EOG,0,,
110,108,EOG,0,,
111,108,EOG,0,,
109,110,AST,,,
107,109,EOG,0,,
110,109,EOG,0,,
109,110,EOG,0,,
108,110,EOG,0,,
111,112,AST,,,
108,111,EOG,0,,
112,111,EOG,0,,
111,112,EOG,0,,
97,112,EOG,0,,
101,113,AST,,,
97,101,EOG,0,,
113,101,DFG,,,
113,101,EOG,0,,
113,114,AST,,,
101,113,EOG,0,,
115,113,EOG,0,,
113,115,EOG,0,,
116,115,EOG,0,,
115,116,EOG,0,,
96,116,EOG,1,,
100,117,AST,,,
100,118,AST,,,
100,119,AST,,,
100,120,AST,,,
121,100,EOG,0,,
88,100,EOG,1,,
117,100,DFG,,,
117,100,EOG,0,,
120,122,AST,,,
117,120,EOG,0,,
122,120,DFG,,,
122,120,EOG,0,,
120,122,EOG,0,,
118,122,EOG,0,,
122,118,EOG,0,,
99,118,EOG,0,,
119,118,EOG,0,,
119,123,AST,,,
119,124,AST,,,
118,119,EOG,0,,
124,119,EOG,0,,
124,125,AST,,,
119,124,EOG,0,,
126,124,EOG,0,,
127,128,AST,,,
129,127,EOG,0,,
128,127,EOG,0,,
127,128,EOG,0,,
123,128,EOG,0,,
126,129,AST,,,
124,126,EOG,0,,
129,126,EOG,0,,
126,129,EOG,0,,
127,129,EOG,0,,
123,130,AST,,,
123,131,AST,,,
128,123,EOG,0,,
131,123,DFG,,,
131,123,EOG,0,,
130,121,AST,,,
132,130,EOG,0,,
131,130,DFG,,,
121,130,EOG,0,,
130,121,EOG,0,,
100,121,EOG,0,,
123,131,EOG,0,,
133,131,EOG,0,,
133,134,AST,,,
133,135,AST,,,
131,133,EOG,0,,
134,133,DFG,,,
135,133,DFG,,,
135,133,EOG,0,,
136,134,EOG,0,,
137,134,EOG,0,,
134,137,EOG,0,,
138,137,EOG,0,,
138,139,AST,,,
138,140,AST,,,
137,138,EOG,0,,
139,138,DFG,,,
140,138,DFG,,,
140,138,EOG,0,,
139,132,AST,,,
141,139,EOG,0,,
132,139,EOG,0,,
139,132,EOG,0,,
130,132,EOG,0,,
140,141,AST,,,
138,140,EOG,0,,
141,140,EOG,0,,
140,141,EOG,0,,
139,141,EOG,0,,
133,135,EOG,0,,
142,135,EOG,0,,
135,142,EOG,0,,
143,142,EOG,0,,
143,144,AST,,,
143,145,AST,,,
142,143,EOG,0,,
144,143,DFG,,,
145,143,DFG,,,
145,143,EOG,0,,
144,136,AST,,,
146,144,EOG,0,,
136,144,EOG,0,,
144,136,EOG,0,,
134,136,EOG,0,,
145,146,AST,,,
143,145,EOG,0,,
146,145,EOG,0,,
145,146,EOG,0,,
144,146,EOG,0,,
100,117,EOG,0,,
120,117,EOG,0,,
99,106,AST,,,
99,147,AST,,,
99,106,DFG,,,
118,99,EOG,0,,
147,99,DFG,,,
106,99,DFG,,,
147,99,EOG,0,,
147,148,AST,,,
99,147,EOG,0,,
148,147,EOG,0,,
147,148,EOG,0,,
106,148,EOG,0,,
148,106,EOG,0,,
