id,type,token,location,code
1,TRANSLATIONUNITDECLARATION,"/data/00000056/submissions/07516396_21_201406040/nopqueue.java",,""
2,RECORDDECLARATION,"nopqueue",nopqueue.java(3:1-33:2),"class nopqueue {
	public static void main (String args[]){
		Scanner input = new Scanner (System.in);
		int N = input.nextInt();
		LinkedList<sarda> Q = new LinkedList<sarda>();
		for (int i=0; i<N; i++)
			Q.add(new sarda(input.nextDouble(),input.nextDouble()));
		Q.peek().dist = 0;
		double contador = 0;
		double min;
		int imin;
		while (Q.size() > 0){
			min = Q.getFirst().dist;
			imin = 0;
			for (int i=1; i<Q.size(); i++)
				if (min>Q.get(i).dist){
					min = Q.get(i).dist;
					imin = i;
				}
							
			sarda u = Q.remove(imin);
			System.out.println(""add ""+u.dist);
			contador+=u.dist;
			for (sarda w : Q){
			    
			    w.dist = Math.sqrt(Math.pow((u.x-w.x),2)+Math.pow((u.y-w.y),2));
			    System.out.println(w.dist);}
		}
		System.out.printf(""%.2f%n"",contador);
	}
}"
3,RECORDDECLARATION,"sarda",nopqueue.java(35:1-42:2),"class sarda{
	double x,y,dist;
	sarda (double x,double y){
		this.x = x;
		this.y = y;
		dist = Double.MAX_VALUE;
	}
}"
4,INCLUDEDECLARATION,"java.util",,""
5,INCLUDEDECLARATION,"java.lang.Math",,""
6,FIELDDECLARATION,"this",,""
7,FIELDDECLARATION,"x",nopqueue.java(36:2-36:18),"x"
8,CONSTRUCTORDECLARATION,"sarda",nopqueue.java(37:2-41:3),"sarda (double x,double y){
		this.x = x;
		this.y = y;
		dist = Double.MAX_VALUE;
	}"
9,COMPOUNDSTATEMENT,"",nopqueue.java(37:27-41:3),"{
		this.x = x;
		this.y = y;
		dist = Double.MAX_VALUE;
	}"
10,PARAMVARIABLEDECLARATION,"x",nopqueue.java(37:9-37:17),"double x"
11,PARAMVARIABLEDECLARATION,"y",nopqueue.java(37:18-37:26),"double y"
12,DECLAREDREFERENCEEXPRESSION,"this",nopqueue.java(38:3-38:7),"this"
13,RETURNSTATEMENT,"",,""
14,BINARYOPERATOR,"=",nopqueue.java(38:3-38:14),"this.x = x;"
15,BINARYOPERATOR,"=",nopqueue.java(39:3-39:14),"this.y = y;"
16,BINARYOPERATOR,"=",nopqueue.java(40:3-40:27),"dist = Double.MAX_VALUE;"
17,MEMBEREXPRESSION,"dist",nopqueue.java(40:3-40:7),"dist"
18,MEMBEREXPRESSION,"MAX_VALUE",nopqueue.java(40:10-40:26),"Double.MAX_VALUE"
19,DECLAREDREFERENCEEXPRESSION,"this",nopqueue.java(40:3-40:7),"this"
20,DECLAREDREFERENCEEXPRESSION,"Double",nopqueue.java(40:10-40:16),"Double"
21,MEMBEREXPRESSION,"x",nopqueue.java(38:3-38:9),"this.x"
22,DECLAREDREFERENCEEXPRESSION,"x",nopqueue.java(38:12-38:13),"x"
23,DECLAREDREFERENCEEXPRESSION,"this",nopqueue.java(39:3-39:7),"this"
24,MEMBEREXPRESSION,"y",nopqueue.java(39:3-39:9),"this.y"
25,DECLAREDREFERENCEEXPRESSION,"y",nopqueue.java(39:12-39:13),"y"
26,FIELDDECLARATION,"this",,""
27,METHODDECLARATION,"main",nopqueue.java(4:2-32:3),"public static void main (String args[]){
		Scanner input = new Scanner (System.in);
		int N = input.nextInt();
		LinkedList<sarda> Q = new LinkedList<sarda>();
		for (int i=0; i<N; i++)
			Q.add(new sarda(input.nextDouble(),input.nextDouble()));
		Q.peek().dist = 0;
		double contador = 0;
		double min;
		int imin;
		while (Q.size() > 0){
			min = Q.getFirst().dist;
			imin = 0;
			for (int i=1; i<Q.size(); i++)
				if (min>Q.get(i).dist){
					min = Q.get(i).dist;
					imin = i;
				}
							
			sarda u = Q.remove(imin);
			System.out.println(""add ""+u.dist);
			contador+=u.dist;
			for (sarda w : Q){
			    
			    w.dist = Math.sqrt(Math.pow((u.x-w.x),2)+Math.pow((u.y-w.y),2));
			    System.out.println(w.dist);}
		}
		System.out.printf(""%.2f%n"",contador);
	}"
28,CONSTRUCTORDECLARATION,"nopqueue",,""
29,VARIABLEDECLARATION,"this",,""
30,COMPOUNDSTATEMENT,"",nopqueue.java(4:41-32:3),"{
		Scanner input = new Scanner (System.in);
		int N = input.nextInt();
		LinkedList<sarda> Q = new LinkedList<sarda>();
		for (int i=0; i<N; i++)
			Q.add(new sarda(input.nextDouble(),input.nextDouble()));
		Q.peek().dist = 0;
		double contador = 0;
		double min;
		int imin;
		while (Q.size() > 0){
			min = Q.getFirst().dist;
			imin = 0;
			for (int i=1; i<Q.size(); i++)
				if (min>Q.get(i).dist){
					min = Q.get(i).dist;
					imin = i;
				}
							
			sarda u = Q.remove(imin);
			System.out.println(""add ""+u.dist);
			contador+=u.dist;
			for (sarda w : Q){
			    
			    w.dist = Math.sqrt(Math.pow((u.x-w.x),2)+Math.pow((u.y-w.y),2));
			    System.out.println(w.dist);}
		}
		System.out.printf(""%.2f%n"",contador);
	}"
31,PARAMVARIABLEDECLARATION,"args",nopqueue.java(4:27-4:40),"String args[]"
32,DECLAREDREFERENCEEXPRESSION,"System",nopqueue.java(5:32-5:38),"System"
33,RETURNSTATEMENT,"",,""
34,DECLARATIONSTATEMENT,"",nopqueue.java(5:3-5:43),"Scanner input = new Scanner (System.in);"
35,DECLARATIONSTATEMENT,"",nopqueue.java(6:3-6:27),"int N = input.nextInt();"
36,DECLARATIONSTATEMENT,"",nopqueue.java(7:3-7:49),"LinkedList<sarda> Q = new LinkedList<sarda>();"
37,FORSTATEMENT,"",nopqueue.java(8:3-9:60),"for (int i=0; i<N; i++)
			Q.add(new sarda(input.nextDouble(),input.nextDouble()));"
38,BINARYOPERATOR,"=",nopqueue.java(10:3-10:21),"Q.peek().dist = 0;"
39,DECLARATIONSTATEMENT,"",nopqueue.java(11:3-11:23),"double contador = 0;"
40,DECLARATIONSTATEMENT,"",nopqueue.java(12:3-12:14),"double min;"
41,DECLARATIONSTATEMENT,"",nopqueue.java(13:3-13:12),"int imin;"
42,WHILESTATEMENT,"",nopqueue.java(14:3-30:4),"while (Q.size() > 0){
			min = Q.getFirst().dist;
			imin = 0;
			for (int i=1; i<Q.size(); i++)
				if (min>Q.get(i).dist){
					min = Q.get(i).dist;
					imin = i;
				}
							
			sarda u = Q.remove(imin);
			System.out.println(""add ""+u.dist);
			contador+=u.dist;
			for (sarda w : Q){
			    
			    w.dist = Math.sqrt(Math.pow((u.x-w.x),2)+Math.pow((u.y-w.y),2));
			    System.out.println(w.dist);}
		}"
43,MEMBERCALLEXPRESSION,"printf",nopqueue.java(31:3-31:40),"System.out.printf(""%.2f%n"",contador);"
44,VARIABLEDECLARATION,"input",nopqueue.java(5:11-5:42),"input = new Scanner (System.in)"
45,VARIABLEDECLARATION,"N",nopqueue.java(6:7-6:26),"N = input.nextInt()"
46,VARIABLEDECLARATION,"Q",nopqueue.java(7:21-7:48),"Q = new LinkedList<sarda>()"
47,VARIABLEDECLARATION,"contador",nopqueue.java(11:10-11:22),"contador = 0"
