source_id,target_id,type,index,branch,name
1,2,AST,,,
1,3,AST,,,
1,4,AST,,,
1,5,AST,,,
1,6,AST,,,
2,7,AST,,,
2,8,AST,,,
2,9,AST,,,
2,10,AST,,,
2,11,AST,,,
2,12,AST,,,
2,13,AST,,,
9,9,AST,,,
8,8,AST,,,
13,14,AST,,,
13,15,AST,,,
13,16,AST,,,
17,13,EOG,0,,
18,13,DFG,,,
14,19,AST,,,
14,20,AST,,,
14,21,AST,,,
14,22,AST,,,
14,23,AST,,,
14,18,AST,,,
22,24,AST,,,
22,25,AST,,,
26,22,EOG,0,,
25,22,DFG,,,
25,22,EOG,0,,
24,27,AST,,,
25,24,EOG,0,,
25,24,DFG,,,
27,24,EOG,0,,
24,27,EOG,0,,
21,27,EOG,0,,
22,25,EOG,0,,
24,25,EOG,0,,
19,28,AST,,,
19,29,AST,,,
30,19,EOG,0,,
29,19,DFG,,,
29,19,EOG,0,,
29,31,AST,,,
29,28,DFG,,,
19,29,EOG,0,,
31,29,EOG,0,,
29,31,EOG,0,,
28,31,EOG,0,,
28,17,AST,,,
31,28,EOG,0,,
17,28,EOG,0,,
28,17,EOG,0,,
13,17,EOG,0,,
21,32,AST,,,
21,33,AST,,,
27,21,EOG,0,,
33,21,DFG,,,
33,21,EOG,0,,
32,34,AST,,,
33,32,EOG,0,,
33,32,DFG,,,
34,32,EOG,0,,
32,34,EOG,0,,
20,34,EOG,0,,
21,33,EOG,0,,
32,33,EOG,0,,
20,35,AST,,,
20,36,AST,,,
34,20,EOG,0,,
36,20,DFG,,,
36,20,EOG,0,,
35,30,AST,,,
36,35,EOG,0,,
36,35,DFG,,,
30,35,EOG,0,,
35,30,EOG,0,,
19,30,EOG,0,,
20,36,EOG,0,,
35,36,EOG,0,,
23,18,EOG,0,,
23,37,AST,,,
23,38,AST,,,
18,23,EOG,0,,
38,23,DFG,,,
38,23,EOG,0,,
37,26,AST,,,
38,37,EOG,0,,
38,37,DFG,,,
26,37,EOG,0,,
37,26,EOG,0,,
22,26,EOG,0,,
23,38,EOG,0,,
37,38,EOG,0,,
12,12,AST,,,
11,11,AST,,,
10,10,AST,,,
7,7,AST,,,
3,39,AST,,,
3,40,AST,,,
3,41,AST,,,
3,42,AST,,,
3,43,AST,,,
3,44,AST,,,
41,41,AST,,,
40,40,AST,,,
42,45,AST,,,
42,46,AST,,,
42,47,AST,,,
42,48,AST,,,
49,42,EOG,0,,
50,42,DFG,,,
46,51,AST,,,
46,50,AST,,,
46,52,AST,,,
52,53,AST,,,
51,52,EOG,0,,
53,52,DFG,,,
53,52,EOG,0,,
52,53,EOG,0,,
54,53,EOG,0,,
54,55,AST,,,
54,56,AST,,,
53,54,EOG,0,,
56,54,DFG,,,
55,54,DFG,,,
56,54,EOG,0,,
56,57,AST,,,
56,58,AST,,,
54,56,EOG,0,,
58,56,DFG,,,
57,56,DFG,,,
58,56,EOG,0,,
58,59,AST,,,
58,60,AST,,,
56,58,EOG,0,,
59,58,DFG,,,
60,58,DFG,,,
60,58,EOG,0,,
59,61,AST,,,
62,59,EOG,0,,
61,59,EOG,0,,
61,63,AST,,,
61,64,AST,,,
59,61,EOG,0,,
63,61,DFG,,,
64,61,EOG,0,,
63,65,AST,,,
64,63,EOG,0,,
65,63,EOG,0,,
63,65,EOG,0,,
57,65,EOG,0,,
61,64,EOG,0,,
63,64,EOG,0,,
60,66,AST,,,
58,60,EOG,0,,
66,60,EOG,0,,
66,67,AST,,,
66,68,AST,,,
60,66,EOG,0,,
67,66,DFG,,,
68,66,EOG,0,,
67,62,AST,,,
68,67,EOG,0,,
62,67,EOG,0,,
67,62,EOG,0,,
59,62,EOG,0,,
66,68,EOG,0,,
67,68,EOG,0,,
57,69,AST,,,
57,70,AST,,,
65,57,EOG,0,,
70,57,DFG,,,
69,57,DFG,,,
70,57,EOG,0,,
70,71,AST,,,
57,70,EOG,0,,
71,70,EOG,0,,
71,72,AST,,,
71,73,AST,,,
70,71,EOG,0,,
72,71,DFG,,,
73,71,EOG,0,,
72,74,AST,,,
73,72,EOG,0,,
74,72,EOG,0,,
72,74,EOG,0,,
69,74,EOG,0,,
71,73,EOG,0,,
72,73,EOG,0,,
69,75,AST,,,
74,69,EOG,0,,
75,69,EOG,0,,
75,76,AST,,,
75,77,AST,,,
69,75,EOG,0,,
76,75,DFG,,,
77,75,EOG,0,,
76,78,AST,,,
77,76,EOG,0,,
78,76,EOG,0,,
76,78,EOG,0,,
55,78,EOG,0,,
75,77,EOG,0,,
76,77,EOG,0,,
55,79,AST,,,
55,80,AST,,,
78,55,EOG,0,,
80,55,DFG,,,
79,55,DFG,,,
80,55,EOG,0,,
80,81,AST,,,
80,82,AST,,,
55,80,EOG,0,,
82,80,DFG,,,
81,80,DFG,,,
82,80,EOG,0,,
82,83,AST,,,
80,82,EOG,0,,
83,82,EOG,0,,
83,84,AST,,,
83,85,AST,,,
82,83,EOG,0,,
84,83,DFG,,,
85,83,EOG,0,,
83,85,EOG,0,,
84,85,EOG,0,,
84,86,AST,,,
85,84,EOG,0,,
86,84,EOG,0,,
84,86,EOG,0,,
81,86,EOG,0,,
81,87,AST,,,
86,81,EOG,0,,
87,81,EOG,0,,
87,88,AST,,,
87,89,AST,,,
81,87,EOG,0,,
88,87,DFG,,,
89,87,EOG,0,,
87,89,EOG,0,,
88,89,EOG,0,,
88,90,AST,,,
89,88,EOG,0,,
90,88,EOG,0,,
88,90,EOG,0,,
79,90,EOG,0,,
79,91,AST,,,
79,92,AST,,,
90,79,EOG,0,,
92,79,DFG,,,
91,79,DFG,,,
92,79,EOG,0,,
92,93,AST,,,
79,92,EOG,0,,
93,92,EOG,0,,
93,94,AST,,,
93,95,AST,,,
92,93,EOG,0,,
94,93,DFG,,,
95,93,EOG,0,,
93,95,EOG,0,,
94,95,EOG,0,,
94,96,AST,,,
95,94,EOG,0,,
96,94,EOG,0,,
94,96,EOG,0,,
91,96,EOG,0,,
91,97,AST,,,
96,91,EOG,0,,
97,91,EOG,0,,
97,98,AST,,,
97,99,AST,,,
91,97,EOG,0,,
98,97,DFG,,,
99,97,EOG,0,,
97,99,EOG,0,,
98,99,EOG,0,,
98,49,AST,,,
99,98,EOG,0,,
49,98,EOG,0,,
98,49,EOG,0,,
42,49,EOG,0,,
100,51,EOG,0,,
52,51,EOG,0,,
50,100,AST,,,
100,50,DFG,,,
100,50,EOG,0,,
50,100,EOG,0,,
51,100,EOG,0,,
44,101,AST,,,
44,102,AST,,,
103,44,EOG,0,,
104,44,DFG,,,
101,105,AST,,,
101,106,AST,,,
101,104,AST,,,
106,107,AST,,,
106,108,AST,,,
104,106,EOG,0,,
108,106,DFG,,,
108,106,EOG,0,,
108,109,AST,,,
108,107,DFG,,,
106,108,EOG,0,,
109,108,EOG,0,,
109,110,AST,,,
109,111,AST,,,
108,109,EOG,0,,
110,109,DFG,,,
111,109,DFG,,,
111,109,EOG,0,,
111,110,EOG,0,,
107,110,EOG,0,,
109,111,EOG,0,,
110,111,EOG,0,,
107,112,AST,,,
110,107,EOG,0,,
112,107,EOG,0,,
107,112,EOG,0,,
105,112,EOG,0,,
106,104,EOG,0,,
105,113,AST,,,
105,114,AST,,,
112,105,EOG,0,,
114,105,DFG,,,
114,105,EOG,0,,
114,113,DFG,,,
105,114,EOG,0,,
113,114,EOG,0,,
113,103,AST,,,
114,113,EOG,0,,
103,113,EOG,0,,
113,103,EOG,0,,
44,103,EOG,0,,
43,115,AST,,,
43,116,AST,,,
43,117,AST,,,
118,43,EOG,0,,
119,43,DFG,,,
116,120,AST,,,
116,121,AST,,,
116,122,AST,,,
116,123,AST,,,
116,124,AST,,,
116,125,AST,,,
116,126,AST,,,
116,119,AST,,,
116,127,AST,,,
116,128,AST,,,
116,129,AST,,,
116,130,AST,,,
130,131,AST,,,
125,130,EOG,0,,
131,130,DFG,,,
131,130,EOG,0,,
130,131,EOG,0,,
124,131,EOG,0,,
122,132,AST,,,
122,133,AST,,,
134,122,EOG,0,,
133,122,DFG,,,
133,122,EOG,0,,
133,132,DFG,,,
122,133,EOG,0,,
132,133,EOG,0,,
132,135,AST,,,
133,132,EOG,0,,
135,132,EOG,0,,
135,136,AST,,,
135,137,AST,,,
132,135,EOG,0,,
136,135,DFG,,,
137,135,EOG,0,,
136,138,AST,,,
137,136,EOG,0,,
138,136,EOG,0,,
136,138,EOG,0,,
121,138,EOG,1,,
135,137,EOG,0,,
136,137,EOG,0,,
131,124,EOG,0,,
129,124,EOG,0,,
139,125,EOG,0,,
130,125,EOG,0,,
127,140,AST,,,
120,127,EOG,0,,
