source_id,target_id,type,index,branch,name
1,2,AST,,,
1,3,AST,,,
1,4,AST,,,
3,5,AST,,,
3,6,AST,,,
3,7,AST,,,
3,8,AST,,,
6,9,AST,,,
6,10,AST,,,
6,11,AST,,,
12,6,EOG,0,,
13,6,DFG,,,
10,14,AST,,,
10,15,AST,,,
10,16,AST,,,
10,17,AST,,,
10,18,AST,,,
10,19,AST,,,
10,20,AST,,,
10,21,AST,,,
10,13,AST,,,
10,22,AST,,,
10,23,AST,,,
10,24,AST,,,
10,25,AST,,,
10,26,AST,,,
19,27,AST,,,
19,28,AST,,,
19,29,AST,,,
19,30,AST,,,
19,31,AST,,,
32,19,EOG,0,,
33,19,EOG,1,,
29,19,DFG,,,
29,19,EOG,0,,
27,34,AST,,,
35,27,EOG,0,,
34,27,EOG,1,,
34,36,AST,,,
34,37,AST,,,
34,38,AST,,,
34,39,AST,,,
34,40,AST,,,
41,34,EOG,0,,
27,34,EOG,1,,
38,34,DFG,,,
38,34,EOG,0,,
40,42,AST,,,
37,40,EOG,0,,
42,40,DFG,,,
42,40,EOG,0,,
42,32,AST,,,
42,43,AST,,,
40,42,EOG,0,,
32,42,DFG,,,
43,42,DFG,,,
43,42,EOG,0,,
43,32,EOG,0,,
19,32,EOG,0,,
42,43,EOG,0,,
32,43,EOG,0,,
44,37,EOG,0,,
40,37,EOG,0,,
38,44,AST,,,
38,45,AST,,,
34,38,EOG,0,,
45,38,DFG,,,
44,38,DFG,,,
45,38,EOG,0,,
38,45,EOG,0,,
44,45,EOG,0,,
45,44,EOG,0,,
37,44,EOG,0,,
39,44,EOG,0,,
36,46,AST,,,
36,47,AST,,,
36,48,AST,,,
36,49,AST,,,
36,50,AST,,,
36,51,AST,,,
36,52,AST,,,
36,53,AST,,,
36,54,AST,,,
36,55,AST,,,
36,56,AST,,,
57,36,EOG,0,,
51,36,EOG,0,,
58,47,EOG,0,,
53,47,EOG,0,,
53,59,AST,,,
47,53,EOG,0,,
59,53,DFG,,,
59,53,EOG,0,,
59,60,AST,,,
53,59,EOG,0,,
60,59,EOG,0,,
60,61,AST,,,
60,62,AST,,,
59,60,EOG,0,,
61,60,DFG,,,
62,60,EOG,0,,
60,62,EOG,0,,
61,62,EOG,0,,
62,61,EOG,0,,
46,61,EOG,0,,
63,48,EOG,0,,
54,48,EOG,0,,
51,64,AST,,,
51,65,AST,,,
36,51,EOG,0,,
65,51,DFG,,,
65,51,EOG,0,,
64,66,AST,,,
64,67,AST,,,
68,64,EOG,0,,
66,64,DFG,,,
65,64,DFG,,,
67,64,EOG,0,,
66,69,AST,,,
66,70,AST,,,
67,66,EOG,0,,
69,66,DFG,,,
70,66,EOG,0,,
70,69,EOG,0,,
50,69,EOG,0,,
66,70,EOG,0,,
69,70,EOG,0,,
64,67,EOG,0,,
66,67,EOG,0,,
65,71,AST,,,
65,72,AST,,,
51,65,EOG,0,,
72,65,DFG,,,
72,65,EOG,0,,
71,73,AST,,,
71,74,AST,,,
72,71,EOG,0,,
72,71,DFG,,,
73,71,DFG,,,
74,71,EOG,0,,
71,74,EOG,0,,
73,74,EOG,0,,
73,68,AST,,,
73,75,AST,,,
74,73,EOG,0,,
68,73,DFG,,,
75,73,EOG,0,,
73,75,EOG,0,,
68,75,EOG,0,,
75,68,EOG,0,,
64,68,EOG,0,,
65,72,EOG,0,,
71,72,EOG,0,,
56,76,AST,,,
50,56,EOG,0,,
76,56,DFG,,,
76,56,EOG,0,,
56,76,EOG,0,,
77,76,EOG,0,,
77,78,AST,,,
77,79,AST,,,
76,77,EOG,0,,
79,77,DFG,,,
78,77,DFG,,,
79,77,EOG,0,,
77,79,EOG,0,,
80,79,EOG,0,,
81,82,AST,,,
81,83,AST,,,
80,81,EOG,0,,
83,81,DFG,,,
82,81,DFG,,,
83,81,EOG,0,,
81,83,EOG,0,,
82,83,EOG,0,,
83,82,EOG,0,,
78,82,EOG,0,,
79,80,EOG,0,,
81,80,EOG,0,,
82,78,EOG,0,,
84,78,EOG,0,,
85,86,AST,,,
85,87,AST,,,
84,85,EOG,0,,
87,85,DFG,,,
86,85,DFG,,,
87,85,EOG,0,,
85,87,EOG,0,,
86,87,EOG,0,,
87,86,EOG,0,,
49,86,EOG,0,,
78,84,EOG,0,,
85,84,EOG,0,,
86,49,EOG,0,,
55,49,EOG,0,,
54,88,AST,,,
48,54,EOG,0,,
88,54,DFG,,,
88,54,EOG,0,,
88,89,AST,,,
54,88,EOG,0,,
89,88,EOG,0,,
89,58,AST,,,
89,90,AST,,,
88,89,EOG,0,,
58,89,DFG,,,
90,89,EOG,0,,
89,90,EOG,0,,
58,90,EOG,0,,
90,58,EOG,0,,
47,58,EOG,0,,
55,91,AST,,,
49,55,EOG,0,,
91,55,DFG,,,
91,55,EOG,0,,
91,92,AST,,,
55,91,EOG,0,,
92,91,EOG,0,,
92,63,AST,,,
92,93,AST,,,
91,92,EOG,0,,
63,92,DFG,,,
93,92,EOG,0,,
93,63,EOG,0,,
48,63,EOG,0,,
92,93,EOG,0,,
63,93,EOG,0,,
52,94,AST,,,
46,52,EOG,0,,
94,52,DFG,,,
94,52,EOG,0,,
94,95,AST,,,
52,94,EOG,0,,
95,94,EOG,0,,
95,41,AST,,,
95,96,AST,,,
94,95,EOG,0,,
41,95,DFG,,,
96,95,EOG,0,,
95,96,EOG,0,,
41,96,EOG,0,,
96,41,EOG,0,,
34,41,EOG,0,,
61,46,EOG,0,,
52,46,EOG,0,,
69,50,EOG,0,,
56,50,EOG,0,,
39,57,AST,,,
39,57,DFG,,,
44,39,EOG,0,,
57,39,DFG,,,
57,39,EOG,0,,
39,57,EOG,0,,
36,57,EOG,0,,
97,28,EOG,0,,
31,28,EOG,0,,
29,97,AST,,,
29,98,AST,,,
19,29,EOG,0,,
98,29,DFG,,,
97,29,DFG,,,
98,29,EOG,0,,
29,98,EOG,0,,
97,98,EOG,0,,
98,97,EOG,0,,
28,97,EOG,0,,
30,97,EOG,0,,
31,99,AST,,,
28,31,EOG,0,,
99,31,DFG,,,
99,31,EOG,0,,
31,99,EOG,0,,
18,99,EOG,1,,
30,35,AST,,,
30,35,DFG,,,
97,30,EOG,0,,
35,30,DFG,,,
35,30,EOG,0,,
30,35,EOG,0,,
27,35,EOG,0,,
22,100,AST,,,
14,22,EOG,0,,
100,22,DFG,,,
100,22,EOG,0,,
100,101,AST,,,
22,100,EOG,0,,
101,100,EOG,0,,
100,101,EOG,0,,
102,101,EOG,0,,
102,12,AST,,,
101,102,EOG,0,,
12,102,EOG,0,,
102,12,EOG,0,,
6,12,EOG,0,,
103,16,EOG,0,,
24,16,EOG,0,,
104,14,EOG,0,,
22,14,EOG,0,,
21,13,EOG,0,,
18,105,AST,,,
18,106,AST,,,
18,107,AST,,,
18,108,AST,,,
18,109,AST,,,
110,18,EOG,0,,
99,18,EOG,1,,
107,18,DFG,,,
107,18,EOG,0,,
109,111,AST,,,
106,109,EOG,0,,
111,109,DFG,,,
111,109,EOG,0,,
109,111,EOG,0,,
17,111,EOG,0,,
108,112,AST,,,
108,112,DFG,,,
113,108,EOG,0,,
112,108,DFG,,,
112,108,EOG,0,,
108,112,EOG,0,,
105,112,EOG,0,,
107,113,AST,,,
107,114,AST,,,
18,107,EOG,0,,
113,107,DFG,,,
114,107,DFG,,,
114,107,EOG,0,,
114,113,EOG,0,,
106,113,EOG,0,,
108,113,EOG,0,,
107,114,EOG,0,,
113,114,EOG,0,,
113,106,EOG,0,,
109,106,EOG,0,,
105,115,AST,,,
105,116,AST,,,
105,117,AST,,,
105,118,AST,,,
105,119,AST,,,
112,105,EOG,0,,
117,105,EOG,0,,
119,120,AST,,,
116,119,EOG,0,,
120,119,DFG,,,
120,119,EOG,0,,
120,121,AST,,,
119,120,EOG,0,,
122,120,EOG,0,,
120,122,EOG,0,,
115,122,EOG,0,,
118,123,AST,,,
115,118,EOG,0,,
123,118,DFG,,,
123,118,EOG,0,,
123,124,AST,,,
118,123,EOG,0,,
110,123,EOG,0,,
123,110,EOG,0,,
18,110,EOG,0,,
122,115,EOG,0,,
118,115,EOG,0,,
117,125,AST,,,
117,126,AST,,,
105,117,EOG,0,,
126,117,DFG,,,
126,117,EOG,0,,
125,127,AST,,,
125,128,AST,,,
129,125,EOG,0,,
127,125,DFG,,,
126,125,DFG,,,
128,125,EOG,0,,
125,128,EOG,0,,
127,128,EOG,0,,
128,127,EOG,0,,
116,127,EOG,0,,
126,130,AST,,,
117,126,EOG,0,,
130,126,EOG,0,,
131,130,AST,0,,
126,130,EOG,0,,
131,130,DFG,,,
132,130,EOG,0,,
