source_id,target_id,type,index,branch,name
1,2,AST,,,
1,3,AST,,,
1,4,AST,,,
1,5,AST,,,
1,6,AST,,,
1,7,AST,,,
2,8,AST,,,
2,9,AST,,,
2,10,AST,,,
2,11,AST,,,
9,9,AST,,,
10,10,AST,,,
11,12,AST,,,
11,13,AST,,,
11,14,AST,,,
15,11,EOG,0,,
16,11,DFG,,,
12,17,AST,,,
12,18,AST,,,
12,16,AST,,,
17,19,AST,,,
17,20,AST,,,
21,17,EOG,0,,
20,17,DFG,,,
20,17,EOG,0,,
20,19,DFG,,,
17,20,EOG,0,,
19,20,EOG,0,,
19,15,AST,,,
20,19,EOG,0,,
15,19,EOG,0,,
19,15,EOG,0,,
11,15,EOG,0,,
18,22,AST,,,
18,23,AST,,,
16,18,EOG,0,,
23,18,DFG,,,
23,18,EOG,0,,
22,21,AST,,,
23,22,EOG,0,,
23,22,DFG,,,
21,22,EOG,0,,
22,21,EOG,0,,
17,21,EOG,0,,
18,23,EOG,0,,
22,23,EOG,0,,
18,16,EOG,0,,
8,8,AST,,,
3,24,AST,,,
3,25,AST,,,
3,26,AST,,,
3,27,AST,,,
3,28,AST,,,
3,29,AST,,,
3,30,AST,,,
25,25,AST,,,
26,26,AST,,,
30,31,AST,,,
32,30,EOG,0,,
33,30,DFG,,,
31,34,AST,,,
31,35,AST,,,
31,36,AST,,,
31,33,AST,,,
36,37,AST,,,
36,38,AST,,,
33,36,EOG,0,,
38,36,DFG,,,
38,36,EOG,0,,
38,37,DFG,,,
36,38,EOG,0,,
37,38,EOG,0,,
37,39,AST,,,
38,37,EOG,0,,
39,37,EOG,0,,
37,39,EOG,0,,
35,39,EOG,0,,
34,40,AST,,,
34,41,AST,,,
42,34,EOG,0,,
41,34,DFG,,,
41,34,EOG,0,,
41,43,AST,,,
41,40,DFG,,,
34,41,EOG,0,,
43,41,EOG,0,,
41,43,EOG,0,,
40,43,EOG,0,,
40,32,AST,,,
43,40,EOG,0,,
32,40,EOG,0,,
40,32,EOG,0,,
30,32,EOG,0,,
35,44,AST,,,
35,45,AST,,,
39,35,EOG,0,,
45,35,DFG,,,
45,35,EOG,0,,
45,44,DFG,,,
35,45,EOG,0,,
44,45,EOG,0,,
44,42,AST,,,
45,44,EOG,0,,
42,44,EOG,0,,
44,42,EOG,0,,
34,42,EOG,0,,
36,33,EOG,0,,
28,28,AST,,,
24,24,AST,,,
27,27,AST,,,
29,29,AST,,,
5,46,AST,,,
5,47,AST,,,
5,48,AST,,,
5,49,AST,,,
47,47,AST,,,
48,50,AST,,,
48,51,AST,,,
48,52,AST,,,
53,48,EOG,0,,
54,48,DFG,,,
51,55,AST,,,
51,56,AST,,,
51,57,AST,,,
51,58,AST,,,
51,59,AST,,,
51,60,AST,,,
51,54,AST,,,
51,61,AST,,,
51,62,AST,,,
62,63,AST,,,
56,62,EOG,0,,
63,62,DFG,,,
63,62,EOG,0,,
63,64,AST,,,
62,63,EOG,0,,
65,63,EOG,0,,
63,65,EOG,0,,
55,65,EOG,0,,
57,66,AST,,,
57,67,AST,,,
68,57,EOG,0,,
67,57,DFG,,,
67,57,EOG,0,,
66,69,AST,,,
70,66,EOG,0,,
67,66,DFG,,,
69,66,EOG,0,,
66,69,EOG,0,,
56,69,EOG,0,,
67,71,AST,,,
57,67,EOG,0,,
71,67,EOG,0,,
72,71,AST,0,,
67,71,EOG,0,,
72,71,DFG,,,
70,71,EOG,0,,
70,73,DFG,,,
71,70,EOG,0,,
66,70,EOG,0,,
69,56,EOG,0,,
62,56,EOG,0,,
58,74,AST,,,
58,75,AST,,,
58,76,AST,,,
58,77,AST,,,
58,78,AST,,,
79,58,EOG,0,,
80,58,EOG,1,,
76,58,DFG,,,
76,58,EOG,0,,
78,68,AST,,,
75,78,EOG,0,,
68,78,DFG,,,
68,78,EOG,0,,
78,68,EOG,0,,
57,68,EOG,0,,
77,81,AST,,,
77,81,DFG,,,
82,77,EOG,0,,
81,77,DFG,,,
81,77,EOG,0,,
77,81,EOG,0,,
74,81,EOG,0,,
82,75,EOG,0,,
78,75,EOG,0,,
74,83,AST,,,
81,74,EOG,0,,
83,74,EOG,0,,
83,84,AST,,,
85,83,AST,0,,
74,83,EOG,0,,
85,83,DFG,,,
86,83,EOG,0,,
87,79,AST,,,
88,87,EOG,0,,
79,87,EOG,0,,
87,79,EOG,0,,
58,79,EOG,0,,
86,89,AST,,,
86,90,DFG,,,
83,86,EOG,0,,
91,86,EOG,0,,
86,91,EOG,0,,
92,91,EOG,0,,
88,93,DFG,,,
94,88,EOG,0,,
87,88,EOG,0,,
92,95,AST,,,
92,96,DFG,,,
91,92,EOG,0,,
94,92,EOG,0,,
92,94,EOG,0,,
88,94,EOG,0,,
76,82,AST,,,
76,97,AST,,,
58,76,EOG,0,,
97,76,DFG,,,
82,76,DFG,,,
97,76,EOG,0,,
76,97,EOG,0,,
82,97,EOG,0,,
97,82,EOG,0,,
75,82,EOG,0,,
77,82,EOG,0,,
60,98,AST,,,
99,60,AST,0,,
54,60,EOG,0,,
99,60,DFG,,,
100,60,EOG,0,,
100,101,DFG,,,
60,100,EOG,0,,
102,100,EOG,0,,
102,103,AST,,,
100,102,EOG,0,,
103,102,EOG,0,,
102,103,EOG,0,,
59,103,EOG,1,,
65,55,EOG,0,,
61,55,EOG,0,,
60,54,EOG,0,,
61,104,AST,,,
55,61,EOG,0,,
104,61,DFG,,,
104,61,EOG,0,,
104,105,AST,,,
61,104,EOG,0,,
105,104,EOG,0,,
104,105,EOG,0,,
106,105,EOG,0,,
106,53,AST,,,
105,106,EOG,0,,
53,106,EOG,0,,
106,53,EOG,0,,
48,53,EOG,0,,
59,107,AST,,,
59,108,AST,,,
59,109,AST,,,
59,110,AST,,,
59,111,AST,,,
112,59,EOG,0,,
103,59,EOG,1,,
109,59,DFG,,,
109,59,EOG,0,,
109,113,AST,,,
109,114,AST,,,
59,109,EOG,0,,
113,109,DFG,,,
114,109,DFG,,,
114,109,EOG,0,,
114,113,EOG,0,,
108,113,EOG,0,,
110,113,EOG,0,,
109,114,EOG,0,,
113,114,EOG,0,,
107,115,AST,,,
116,107,EOG,0,,
115,107,EOG,1,,
115,117,AST,,,
115,118,AST,,,
115,119,AST,,,
115,120,AST,,,
115,121,AST,,,
122,115,EOG,0,,
107,115,EOG,1,,
119,115,DFG,,,
119,115,EOG,0,,
120,123,AST,,,
120,123,DFG,,,
124,120,EOG,0,,
123,120,DFG,,,
123,120,EOG,0,,
120,123,EOG,0,,
117,123,EOG,0,,
119,124,AST,,,
119,125,AST,,,
115,119,EOG,0,,
124,119,DFG,,,
125,119,DFG,,,
125,119,EOG,0,,
125,124,EOG,0,,
118,124,EOG,0,,
120,124,EOG,0,,
119,125,EOG,0,,
124,125,EOG,0,,
117,126,AST,,,
123,117,EOG,0,,
127,117,EOG,0,,
126,117,EOG,1,,
126,128,AST,,,
126,127,AST,,,
129,126,EOG,0,true,
117,126,EOG,1,,
128,126,DFG,,,
128,126,EOG,0,,
128,122,AST,,,
128,130,AST,,,
126,128,EOG,0,,
130,128,DFG,,,
122,128,DFG,,,
130,128,EOG,0,,
128,130,EOG,0,,
122,130,EOG,0,,
130,122,EOG,0,,
115,122,EOG,0,,
127,131,AST,,,
117,127,EOG,0,,
131,127,EOG,0,,
131,132,AST,,,
127,131,EOG,0,,
133,131,EOG,0,,
133,134,AST,,,
131,133,EOG,0,,
134,133,EOG,0,,
135,134,AST,0,,
133,134,EOG,0,,
135,134,DFG,,,
136,134,EOG,0,,
136,137,AST,,,
138,136,AST,0,,
136,139,DFG,,,
134,136,EOG,0,,
138,136,DFG,,,
140,136,EOG,0,,
141,142,AST,,,
141,143,AST,,,
141,144,DFG,,,
145,141,EOG,0,,
142,141,DFG,,,
143,141,EOG,0,,
142,146,AST,,,
143,142,EOG,0,,
146,142,EOG,0,,
142,146,EOG,0,,
147,146,EOG,0,,
141,143,EOG,0,,
142,143,EOG,0,,
147,148,AST,,,
146,147,EOG,0,,
148,147,EOG,0,,
147,148,EOG,0,,
149,148,EOG,0,,
140,150,AST,,,
140,151,AST,,,
140,152,DFG,,,
136,140,EOG,0,,
150,140,DFG,,,
151,140,EOG,0,,
150,145,AST,,,
151,150,EOG,0,,
145,150,EOG,0,,
150,145,EOG,0,,
141,145,EOG,0,,
140,151,EOG,0,,
150,151,EOG,0,,
149,153,DFG,,,
148,149,EOG,0,,
154,149,EOG,0,,
154,155,AST,,,
149,154,EOG,0,,
155,154,EOG,0,,
155,156,AST,,,
155,157,AST,,,
154,155,EOG,0,,
156,155,DFG,,,
