id,type,token,location,code
1,TRANSLATIONUNITDECLARATION,"/data/00000056/submissions/07564538_21_200908409/Prim.java",,""
2,RECORDDECLARATION,"Aresta",Prim.java(7:1-15:2),"class Aresta{
    int node;
    double weight;
 
    Aresta(int n, double w){
	this.node = n;
	this.weight = w;
    }
}"
3,RECORDDECLARATION,"Node",Prim.java(16:1-27:2),"class Node {
    public LinkedList<Aresta> adj; 
    public boolean visited;         
    public double x; public double y;
    public double dist;
 
    Node() {
	adj = new LinkedList<Aresta>();
	visited = false;
	dist = 1500; 
    }
}"
4,RECORDDECLARATION,"Graph",Prim.java(30:1-82:2),"class Graph {
    int n;           // Numero de nos do grafo
    Node nodes[];    // Array para conter os nos
    
 
    Graph(int n) {
	this.n = n;
	this.nodes  = new Node[n+1]; // +1 se os comecam em 1 ao inves de 0
	for (int i=1; i<=n; i++)
	    nodes[i] = new Node();
    }
 
    public double distance(Node a, Node b) {
	return Math.sqrt(Math.pow(a.x-b.x,2)+Math.pow(a.y-b.y,2));
    }
 
    public void addNode(int i, double a, double b) {
	this.nodes[i].x=a;
	this.nodes[i].y=b;
	this.nodes[i].visited = false;
     }

    //comparar distancias e escolher a menor
    public void Prim(int no){
	nodes[no].dist = 0;

	double cost = 0;
	for(int i=1;i<=n;i++) {
	    
	    double min   = 1500;
	    int min_node = 1500;
	    for(int j=1;j<=n;j++) {
		//System.out.println(j + "" "" + nodes[j].visited + "" "" + nodes[j].dist);
		if (nodes[j].visited == false && nodes[j].dist < min) {
		    min = nodes[j].dist;
		    min_node = j;
		}
	    }

	    //System.out.println(min_node + "" "" + min);
	    

	    cost += min;
	    nodes[min_node].visited = true;
	    for(Aresta a : nodes[min_node].adj)
		if(!nodes[a.node].visited && a.weight < nodes[a.node].dist)
		    nodes[a.node].dist = a.weight;
	   
	}

	System.out.printf(""%1.2f\n"", cost);
    }
}"
5,RECORDDECLARATION,"Prim",Prim.java(87:1-111:2),"public class Prim {
 
    static Graph g;
    public static void main(String args[]) {
	Scanner in = new Scanner(System.in);
     
	int nos = in.nextInt();
	g = new Graph(nos);
       
	//adicao dos nos
	for (int i=1; i<=nos; i++){ 
	    g.addNode(i, in.nextDouble(), in.nextDouble());
	}
	//adicionar ligacoes de todos os nos para todos os outros
	for (int i=1; i<=nos; i++){
	    for (int j=1; j<=nos; j++){
		if (i!=j){
		   g.nodes[i].adj.add(new Aresta(j, g.distance(g.nodes[i], g.nodes[j])));
		}
	    }
	}
	
	g.Prim(1);
    }
}"
6,INCLUDEDECLARATION,"java.io",,""
7,INCLUDEDECLARATION,"java.util",,""
8,FIELDDECLARATION,"this",,""
9,FIELDDECLARATION,"node",Prim.java(8:5-8:14),"node"
10,FIELDDECLARATION,"weight",Prim.java(9:5-9:19),"weight"
11,CONSTRUCTORDECLARATION,"Aresta",Prim.java(11:5-14:6),"Aresta(int n, double w){
	this.node = n;
	this.weight = w;
    }"
12,COMPOUNDSTATEMENT,"",Prim.java(11:28-14:6),"{
	this.node = n;
	this.weight = w;
    }"
13,PARAMVARIABLEDECLARATION,"n",Prim.java(11:12-11:17),"int n"
14,PARAMVARIABLEDECLARATION,"w",Prim.java(11:19-11:27),"double w"
15,DECLAREDREFERENCEEXPRESSION,"this",Prim.java(12:2-12:6),"this"
16,RETURNSTATEMENT,"",,""
17,BINARYOPERATOR,"=",Prim.java(12:2-12:16),"this.node = n;"
18,BINARYOPERATOR,"=",Prim.java(13:2-13:18),"this.weight = w;"
19,MEMBEREXPRESSION,"node",Prim.java(12:2-12:11),"this.node"
20,DECLAREDREFERENCEEXPRESSION,"n",Prim.java(12:14-12:15),"n"
21,DECLAREDREFERENCEEXPRESSION,"this",Prim.java(13:2-13:6),"this"
22,MEMBEREXPRESSION,"weight",Prim.java(13:2-13:13),"this.weight"
23,DECLAREDREFERENCEEXPRESSION,"w",Prim.java(13:16-13:17),"w"
24,FIELDDECLARATION,"this",,""
25,FIELDDECLARATION,"adj",Prim.java(17:5-17:35),"adj"
26,FIELDDECLARATION,"visited",Prim.java(18:5-18:28),"visited"
27,FIELDDECLARATION,"x",Prim.java(19:5-19:21),"x"
28,FIELDDECLARATION,"y",Prim.java(19:22-19:38),"y"
29,FIELDDECLARATION,"dist",Prim.java(20:5-20:24),"dist"
30,CONSTRUCTORDECLARATION,"Node",Prim.java(22:5-26:6),"Node() {
	adj = new LinkedList<Aresta>();
	visited = false;
	dist = 1500; 
    }"
31,COMPOUNDSTATEMENT,"",Prim.java(22:12-26:6),"{
	adj = new LinkedList<Aresta>();
	visited = false;
	dist = 1500; 
    }"
32,DECLAREDREFERENCEEXPRESSION,"this",Prim.java(23:2-23:5),"this"
33,RETURNSTATEMENT,"",,""
34,BINARYOPERATOR,"=",Prim.java(23:2-23:33),"adj = new LinkedList<Aresta>();"
35,BINARYOPERATOR,"=",Prim.java(24:2-24:18),"visited = false;"
36,BINARYOPERATOR,"=",Prim.java(25:2-25:14),"dist = 1500;"
37,MEMBEREXPRESSION,"dist",Prim.java(25:2-25:6),"dist"
38,LITERAL,"",Prim.java(25:9-25:13),"1500"
39,DECLAREDREFERENCEEXPRESSION,"this",Prim.java(25:2-25:6),"this"
40,MEMBEREXPRESSION,"adj",Prim.java(23:2-23:5),"adj"
41,NEWEXPRESSION,"",Prim.java(23:8-23:32),"new LinkedList<Aresta>()"
42,DECLAREDREFERENCEEXPRESSION,"this",Prim.java(24:2-24:9),"this"
43,CONSTRUCTEXPRESSION,"",Prim.java(23:8-23:32),"new LinkedList<Aresta>()"
44,MEMBEREXPRESSION,"visited",Prim.java(24:2-24:9),"visited"
45,LITERAL,"",Prim.java(24:12-24:17),"false"
46,FIELDDECLARATION,"this",,""
47,FIELDDECLARATION,"g",Prim.java(89:5-89:20),"g"
48,METHODDECLARATION,"main",Prim.java(90:5-110:6),"public static void main(String args[]) {
	Scanner in = new Scanner(System.in);
     
	int nos = in.nextInt();
	g = new Graph(nos);
       
	//adicao dos nos
	for (int i=1; i<=nos; i++){ 
	    g.addNode(i, in.nextDouble(), in.nextDouble());
	}
	//adicionar ligacoes de todos os nos para todos os outros
	for (int i=1; i<=nos; i++){
	    for (int j=1; j<=nos; j++){
		if (i!=j){
		   g.nodes[i].adj.add(new Aresta(j, g.distance(g.nodes[i], g.nodes[j])));
		}
	    }
	}
	
	g.Prim(1);
    }"
49,CONSTRUCTORDECLARATION,"Prim",,""
50,VARIABLEDECLARATION,"this",,""
51,COMPOUNDSTATEMENT,"",Prim.java(90:44-110:6),"{
	Scanner in = new Scanner(System.in);
     
	int nos = in.nextInt();
	g = new Graph(nos);
       
	//adicao dos nos
	for (int i=1; i<=nos; i++){ 
	    g.addNode(i, in.nextDouble(), in.nextDouble());
	}
	//adicionar ligacoes de todos os nos para todos os outros
	for (int i=1; i<=nos; i++){
	    for (int j=1; j<=nos; j++){
		if (i!=j){
		   g.nodes[i].adj.add(new Aresta(j, g.distance(g.nodes[i], g.nodes[j])));
		}
	    }
	}
	
	g.Prim(1);
    }"
52,PARAMVARIABLEDECLARATION,"args",Prim.java(90:29-90:42),"String args[]"
