id,type,token,location,code
1,TRANSLATIONUNITDECLARATION,"/data/00000056/submissions/07569924_21_201306221/problema21.java",,""
2,RECORDDECLARATION,"problema21",problema21.java(4:1-49:2),"class problema21 {
    public static float cont = 0;
    public static PriorityQueue<Aresta> heap = new PriorityQueue<Aresta>();
    public static No no[] = new No[100];
    public static void main(String args[]) {
	Scanner in = new Scanner(System.in);
	int n = in.nextInt() ;
	
	for(int i = 0; i < n; i++) {
	    no[i] = new No(in.nextDouble(), in.nextDouble());
	}
	
	prim(no[0], n);
	System.out.printf(""%.2f"", cont);
	System.out.println();
    }
    
    public static void prim(No x, int numnos) {
	x.visitado = true;
	
	for(int i = 0; i < numnos; i++) {
	    if(!no[i].visitado) {
		Aresta temp = new Aresta(x, no[i]);
		
		heap.add(temp);
	    }
	}

	    while(heap.size() != 0 && numnos > 0) {
		Aresta temp = new Aresta();
		temp = heap.peek();
		if(temp.b.visitado) {
		    Aresta pl =  heap.poll();
		} 
		else{
		    cont += temp.distancia;
		    Aresta pl = heap.poll();
		    numnos--;
		    prim(temp.b, numnos);
		}
		
	    }
	    
	
    }
}"
3,RECORDDECLARATION,"No",problema21.java(50:1-59:2),"class No {
    double x, y;
    boolean visitado;
    
    No(double x, double y) {
	this.x = x;
	this.y = y;
	visitado = false;
    }   
}"
4,RECORDDECLARATION,"Aresta",problema21.java(61:1-84:2),"class Aresta implements Comparable<Aresta>{
    No a, b;
    double distancia;
    
    Aresta() {
    }
    
    Aresta(No x, No y) {
	a = x;
	b = y;
	double dis1 = (a.x - b.x);
	double dis2 = (a.y - b.y);
	dis1 = dis1 * dis1;
	dis2 = dis2 * dis2;
	distancia = Math.sqrt(dis1+dis2);
    }

    @Override
    public int compareTo(Aresta x) {
	return Double.compare(this.distancia, x.distancia);
    }


}"
5,INCLUDEDECLARATION,"java.util",,""
6,INCLUDEDECLARATION,"java.io",,""
7,FIELDDECLARATION,"this",,""
8,FIELDDECLARATION,"x",problema21.java(51:5-51:17),"x"
9,FIELDDECLARATION,"visitado",problema21.java(52:5-52:22),"visitado"
10,CONSTRUCTORDECLARATION,"No",problema21.java(54:5-58:6),"No(double x, double y) {
	this.x = x;
	this.y = y;
	visitado = false;
    }"
11,COMPOUNDSTATEMENT,"",problema21.java(54:28-58:6),"{
	this.x = x;
	this.y = y;
	visitado = false;
    }"
12,PARAMVARIABLEDECLARATION,"x",problema21.java(54:8-54:16),"double x"
13,PARAMVARIABLEDECLARATION,"y",problema21.java(54:18-54:26),"double y"
14,DECLAREDREFERENCEEXPRESSION,"this",problema21.java(55:2-55:6),"this"
15,RETURNSTATEMENT,"",,""
16,BINARYOPERATOR,"=",problema21.java(55:2-55:13),"this.x = x;"
17,BINARYOPERATOR,"=",problema21.java(56:2-56:13),"this.y = y;"
18,BINARYOPERATOR,"=",problema21.java(57:2-57:19),"visitado = false;"
19,MEMBEREXPRESSION,"y",problema21.java(56:2-56:8),"this.y"
20,DECLAREDREFERENCEEXPRESSION,"y",problema21.java(56:11-56:12),"y"
21,DECLAREDREFERENCEEXPRESSION,"this",problema21.java(57:2-57:10),"this"
22,DECLAREDREFERENCEEXPRESSION,"this",problema21.java(56:2-56:6),"this"
23,MEMBEREXPRESSION,"visitado",problema21.java(57:2-57:10),"visitado"
24,LITERAL,"",problema21.java(57:13-57:18),"false"
25,MEMBEREXPRESSION,"x",problema21.java(55:2-55:8),"this.x"
26,DECLAREDREFERENCEEXPRESSION,"x",problema21.java(55:11-55:12),"x"
27,FIELDDECLARATION,"this",,""
28,FIELDDECLARATION,"a",problema21.java(62:5-62:13),"a"
29,FIELDDECLARATION,"distancia",problema21.java(63:5-63:22),"distancia"
30,METHODDECLARATION,"compareTo",problema21.java(78:5-81:6),"@Override
    public int compareTo(Aresta x) {
	return Double.compare(this.distancia, x.distancia);
    }"
31,CONSTRUCTORDECLARATION,"Aresta",problema21.java(65:5-66:6),"Aresta() {
    }"
32,CONSTRUCTORDECLARATION,"Aresta",problema21.java(68:5-76:6),"Aresta(No x, No y) {
	a = x;
	b = y;
	double dis1 = (a.x - b.x);
	double dis2 = (a.y - b.y);
	dis1 = dis1 * dis1;
	dis2 = dis2 * dis2;
	distancia = Math.sqrt(dis1+dis2);
    }"
33,COMPOUNDSTATEMENT,"",problema21.java(65:14-66:6),"{
    }"
