source_id,target_id,type,index,branch,name
1,2,AST,,,
1,3,AST,,,
1,4,AST,,,
1,5,AST,,,
2,6,AST,,,
2,7,AST,,,
2,8,AST,,,
2,9,AST,,,
2,10,AST,,,
2,11,AST,,,
2,12,AST,,,
2,13,AST,,,
2,14,AST,,,
8,15,AST,,,
8,8,AST,,,
15,8,DFG,,,
15,16,AST,,,
9,17,AST,,,
9,18,AST,,,
19,9,AST,0,,
20,9,EOG,0,,
21,9,DFG,,,
18,22,AST,,,
18,21,AST,,,
21,23,AST,,,
23,21,DFG,,,
23,21,EOG,0,,
23,24,AST,,,
21,23,EOG,0,,
25,23,EOG,0,,
25,26,AST,,,
23,25,EOG,0,,
26,25,EOG,0,,
25,26,EOG,0,,
22,26,EOG,1,,
22,27,AST,,,
22,28,AST,,,
29,22,EOG,0,,
26,22,EOG,1,,
27,22,DFG,,,
27,22,EOG,0,,
27,30,AST,,,
22,27,EOG,0,,
30,27,DFG,,,
30,27,EOG,0,,
30,31,AST,,,
27,30,EOG,0,,
32,30,EOG,0,,
32,20,AST,,,
30,32,EOG,0,,
20,32,EOG,0,,
32,20,EOG,0,,
9,20,EOG,0,,
28,20,EOG,0,,
28,33,AST,,,
20,28,EOG,0,,
33,28,EOG,0,,
33,34,AST,,,
33,35,AST,,,
28,33,EOG,0,,
35,33,DFG,,,
35,33,EOG,0,,
34,29,AST,,,
36,34,EOG,0,,
35,34,DFG,,,
29,34,EOG,0,,
34,29,EOG,0,,
22,29,EOG,0,,
35,37,AST,,,
33,35,EOG,0,,
37,35,EOG,0,,
35,37,EOG,0,,
38,37,EOG,0,,
38,39,AST,,,
37,38,EOG,0,,
40,38,EOG,0,,
40,36,AST,,,
38,40,EOG,0,,
36,40,EOG,0,,
40,36,EOG,0,,
34,36,EOG,0,,
10,41,AST,,,
10,42,AST,,,
19,10,AST,0,,
43,10,EOG,0,,
44,10,DFG,,,
42,44,AST,,,
44,45,AST,,,
45,44,DFG,,,
45,44,EOG,0,,
44,45,EOG,0,,
43,45,EOG,0,,
46,43,AST,0,,
45,43,EOG,0,,
46,43,DFG,,,
10,43,EOG,0,,
13,47,AST,,,
13,48,AST,,,
13,49,AST,,,
13,50,AST,,,
51,13,EOG,0,,
52,13,DFG,,,
48,52,AST,,,
52,53,AST,,,
53,52,DFG,,,
53,52,EOG,0,,
52,53,EOG,0,,
54,53,EOG,0,,
54,55,AST,,,
54,56,AST,,,
53,54,EOG,0,,
55,54,DFG,,,
56,54,DFG,,,
56,54,EOG,0,,
55,57,AST,,,
55,58,AST,,,
59,55,EOG,0,,
57,55,DFG,,,
58,55,DFG,,,
58,55,EOG,0,,
57,60,AST,,,
57,61,AST,,,
62,57,EOG,0,,
61,57,DFG,,,
60,57,DFG,,,
61,57,EOG,0,,
61,63,AST,,,
61,64,AST,,,
57,61,EOG,0,,
63,61,DFG,,,
64,61,EOG,0,,
61,64,EOG,0,,
63,64,EOG,0,,
64,63,EOG,0,,
60,63,EOG,0,,
60,51,AST,,,
60,65,AST,,,
63,60,EOG,0,,
51,60,DFG,,,
65,60,EOG,0,,
60,65,EOG,0,,
51,65,EOG,0,,
65,51,EOG,0,,
13,51,EOG,0,,
58,66,AST,,,
58,67,AST,,,
55,58,EOG,0,,
67,58,DFG,,,
66,58,DFG,,,
67,58,EOG,0,,
67,68,AST,,,
67,69,AST,,,
58,67,EOG,0,,
68,67,DFG,,,
69,67,EOG,0,,
67,69,EOG,0,,
68,69,EOG,0,,
69,68,EOG,0,,
66,68,EOG,0,,
66,62,AST,,,
66,70,AST,,,
68,66,EOG,0,,
62,66,DFG,,,
70,66,EOG,0,,
70,62,EOG,0,,
57,62,EOG,0,,
66,70,EOG,0,,
62,70,EOG,0,,
56,71,AST,,,
56,72,AST,,,
54,56,EOG,0,,
71,56,DFG,,,
72,56,DFG,,,
72,56,EOG,0,,
71,73,AST,,,
71,74,AST,,,
75,71,EOG,0,,
74,71,DFG,,,
73,71,DFG,,,
74,71,EOG,0,,
74,76,AST,,,
74,77,AST,,,
71,74,EOG,0,,
76,74,DFG,,,
77,74,EOG,0,,
77,76,EOG,0,,
73,76,EOG,0,,
74,77,EOG,0,,
76,77,EOG,0,,
73,59,AST,,,
73,78,AST,,,
76,73,EOG,0,,
59,73,DFG,,,
78,73,EOG,0,,
78,59,EOG,0,,
55,59,EOG,0,,
73,78,EOG,0,,
59,78,EOG,0,,
72,79,AST,,,
72,80,AST,,,
56,72,EOG,0,,
80,72,DFG,,,
79,72,DFG,,,
80,72,EOG,0,,
80,81,AST,,,
80,82,AST,,,
72,80,EOG,0,,
81,80,DFG,,,
82,80,EOG,0,,
80,82,EOG,0,,
81,82,EOG,0,,
82,81,EOG,0,,
79,81,EOG,0,,
79,75,AST,,,
79,83,AST,,,
81,79,EOG,0,,
75,79,DFG,,,
83,79,EOG,0,,
83,75,EOG,0,,
71,75,EOG,0,,
79,83,EOG,0,,
75,83,EOG,0,,
7,84,AST,,,
7,7,AST,,,
84,7,DFG,,,
84,85,AST,,,
86,87,AST,,,
88,89,AST,,,
11,90,AST,,,
11,91,AST,,,
19,11,AST,0,,
92,11,EOG,0,,
93,11,DFG,,,
91,93,AST,,,
93,94,AST,,,
94,93,DFG,,,
94,93,EOG,0,,
93,94,EOG,0,,
92,94,EOG,0,,
46,92,AST,0,,
94,92,EOG,0,,
46,92,DFG,,,
11,92,EOG,0,,
12,95,AST,,,
12,96,AST,,,
12,97,AST,,,
19,12,AST,0,,
98,12,EOG,0,,
99,12,DFG,,,
96,100,AST,,,
96,101,AST,,,
96,102,AST,,,
96,103,AST,,,
96,104,AST,,,
96,105,AST,,,
96,106,AST,,,
96,99,AST,,,
96,107,AST,,,
96,108,AST,,,
96,109,AST,,,
96,110,AST,,,
107,111,AST,,,
100,107,EOG,0,,
111,107,DFG,,,
111,107,EOG,0,,
107,111,EOG,0,,
98,111,EOG,0,,
111,98,EOG,0,,
12,98,EOG,0,,
110,112,AST,,,
103,110,EOG,0,,
112,110,DFG,,,
112,110,EOG,0,,
112,113,AST,,,
110,112,EOG,0,,
113,112,EOG,0,,
112,113,EOG,0,,
102,113,EOG,0,,
109,114,AST,,,
102,109,EOG,0,,
114,109,DFG,,,
114,109,EOG,0,,
114,115,AST,,,
114,116,AST,,,
109,114,EOG,0,,
116,114,EOG,0,,
114,116,EOG,0,,
115,116,EOG,0,,
116,115,EOG,0,,
101,115,EOG,0,,
106,117,AST,,,
99,106,EOG,0,,
118,106,EOG,0,,
118,119,EOG,0,,
120,119,EOG,0,,
120,121,AST,,,
119,120,EOG,0,,
121,120,EOG,0,,
120,121,EOG,0,,
105,121,EOG,1,,
106,118,EOG,0,,
119,118,EOG,0,,
104,122,AST,,,
104,123,AST,,,
104,124,AST,,,
104,125,AST,,,
104,126,AST,,,
127,104,EOG,0,,
128,104,EOG,1,,
124,104,DFG,,,
124,104,EOG,0,,
126,129,AST,,,
123,126,EOG,0,,
129,126,DFG,,,
129,126,EOG,0,,
126,129,EOG,0,,
103,129,EOG,0,,
124,130,AST,,,
124,131,AST,,,
104,124,EOG,0,,
130,124,DFG,,,
131,124,DFG,,,
131,124,EOG,0,,
131,130,EOG,0,,
123,130,EOG,0,,
125,130,EOG,0,,
124,131,EOG,0,,
130,131,EOG,0,,
125,132,AST,,,
125,132,DFG,,,
130,125,EOG,0,,
132,125,DFG,,,
132,125,EOG,0,,
125,132,EOG,0,,
122,132,EOG,0,,
130,123,EOG,0,,
126,123,EOG,0,,
122,133,AST,,,
122,134,AST,,,
122,135,AST,,,
132,122,EOG,0,,
135,122,EOG,0,,
134,136,AST,,,
134,137,AST,,,
138,134,EOG,0,,
137,134,DFG,,,
137,134,EOG,0,,
136,139,AST,,,
136,140,AST,,,
137,136,EOG,0,,
137,136,DFG,,,
139,136,DFG,,,
140,136,EOG,0,,
136,140,EOG,0,,
139,140,EOG,0,,
139,141,AST,,,
139,142,AST,,,
140,139,EOG,0,,
141,139,DFG,,,
142,139,EOG,0,,
142,141,EOG,0,,
133,141,EOG,0,,
139,142,EOG,0,,
141,142,EOG,0,,
143,137,AST,0,,
134,137,EOG,0,,
143,137,DFG,,,
136,137,EOG,0,,
135,144,AST,,,
135,145,AST,,,
122,135,EOG,0,,
145,135,DFG,,,
145,135,EOG,0,,
144,138,AST,,,
144,146,AST,,,
145,144,EOG,0,,
138,144,DFG,,,
145,144,DFG,,,
146,144,EOG,0,,
144,146,EOG,0,,
138,146,EOG,0,,
146,138,EOG,0,,
134,138,EOG,0,,
135,145,EOG,0,,
144,145,EOG,0,,
133,147,AST,,,
