id,type,token,location,code
1,TRANSLATIONUNITDECLARATION,"/data/00000056/submissions/07577313_21_201005025/Main.java",,""
2,RECORDDECLARATION,"Main",Main.java(5:1-78:2),"public class Main {
	static BufferedReader stdin = new BufferedReader(new InputStreamReader(
			System.in));
	static StringTokenizer st = new StringTokenizer("""");

	// Read next input-token as string.
	static String readString() throws Exception {
		while (!st.hasMoreTokens()) {
			st = new StringTokenizer(stdin.readLine());
		}
		return st.nextToken();
	}

	// Read next input-token as integer.
	static int readInt() throws Exception {
		return Integer.parseInt(readString());
	}

	// Read next input-token as double.
	static double readDouble() throws Exception {
		return Double.parseDouble(readString());
	}

	public static void main(String[] args) throws Exception {


			Double total = Double.valueOf(0);
			int numberOfFreckles = readInt();

			Double[][] freckles = new Double[numberOfFreckles][2];
			int[] sets = new int[numberOfFreckles];

			for (int i = 0; i < numberOfFreckles; i++) {
				freckles[i][0] = readDouble();
				freckles[i][1] = readDouble();
				sets[i] = i; //legger alle fregner i et set
			}

			for (int i = 1; i < numberOfFreckles; i++) {

				// curretn set sets[i];
				Double shortest = Double.MAX_VALUE;
				int s = -1;

				// finn naermeste fregne fra f[i] som ikke er i samme sett
				for (int j=0; j < numberOfFreckles; j++) {
					s = -1;

//					System.out.println(""set i: "" + sets[i] + "" set j: "" + sets[j]);

					if ( sets[i] != sets[j]) {

						Double n = findDistance(freckles[i], freckles[j]);
						if (n < shortest) {
							shortest = n;
							s = sets[j];
						}
					}
				}

				total += shortest;
				sets[i] = s;
			}

			System.out.printf(""%.2f\n"", total);

	}

	private static double findDistance(Double[] f1, Double[] f2) {
		return Math.sqrt( ((f1[0] - f2[0])*(f1[0] - f2[0])) + ((f1[1] - f2[1])*(f1[1] - f2[1])) );
	}


}"
3,INCLUDEDECLARATION,"java.io.BufferedReader",,""
4,INCLUDEDECLARATION,"java.io.InputStreamReader",,""
5,INCLUDEDECLARATION,"java.util.StringTokenizer",,""
6,FIELDDECLARATION,"this",,""
7,FIELDDECLARATION,"stdin",Main.java(6:2-7:16),"stdin = new BufferedReader(new InputStreamReader(System.in))"
8,FIELDDECLARATION,"st",Main.java(8:2-8:54),"st = new StringTokenizer("""")"
9,METHODDECLARATION,"readString",Main.java(11:2-16:3),"static String readString() throws Exception {
		while (!st.hasMoreTokens()) {
			st = new StringTokenizer(stdin.readLine());
		}
		return st.nextToken();
	}"
10,METHODDECLARATION,"readInt",Main.java(19:2-21:3),"static int readInt() throws Exception {
		return Integer.parseInt(readString());
	}"
11,METHODDECLARATION,"readDouble",Main.java(24:2-26:3),"static double readDouble() throws Exception {
		return Double.parseDouble(readString());
	}"
12,METHODDECLARATION,"main",Main.java(28:2-71:3),"public static void main(String[] args) throws Exception {


			Double total = Double.valueOf(0);
			int numberOfFreckles = readInt();

			Double[][] freckles = new Double[numberOfFreckles][2];
			int[] sets = new int[numberOfFreckles];

			for (int i = 0; i < numberOfFreckles; i++) {
				freckles[i][0] = readDouble();
				freckles[i][1] = readDouble();
				sets[i] = i; //legger alle fregner i et set
			}

			for (int i = 1; i < numberOfFreckles; i++) {

				// curretn set sets[i];
				Double shortest = Double.MAX_VALUE;
				int s = -1;

				// finn naermeste fregne fra f[i] som ikke er i samme sett
				for (int j=0; j < numberOfFreckles; j++) {
					s = -1;

//					System.out.println(""set i: "" + sets[i] + "" set j: "" + sets[j]);

					if ( sets[i] != sets[j]) {

						Double n = findDistance(freckles[i], freckles[j]);
						if (n < shortest) {
							shortest = n;
							s = sets[j];
						}
					}
				}

				total += shortest;
				sets[i] = s;
			}

			System.out.printf(""%.2f\n"", total);

	}"
13,METHODDECLARATION,"findDistance",Main.java(73:2-75:3),"private static double findDistance(Double[] f1, Double[] f2) {
		return Math.sqrt( ((f1[0] - f2[0])*(f1[0] - f2[0])) + ((f1[1] - f2[1])*(f1[1] - f2[1])) );
	}"
14,CONSTRUCTORDECLARATION,"Main",,""
15,NEWEXPRESSION,"",Main.java(8:30-8:53),"new StringTokenizer("""")"
16,CONSTRUCTEXPRESSION,"",Main.java(8:30-8:53),"new StringTokenizer("""")"
17,VARIABLEDECLARATION,"this",,""
18,COMPOUNDSTATEMENT,"",Main.java(11:46-16:3),"{
		while (!st.hasMoreTokens()) {
			st = new StringTokenizer(stdin.readLine());
		}
		return st.nextToken();
	}"
19,OBJECTTYPE,"Exception",,""
20,DECLAREDREFERENCEEXPRESSION,"Main",Main.java(12:11-12:13),"Main"
21,RETURNSTATEMENT,"",Main.java(15:3-15:25),"return st.nextToken();"
22,WHILESTATEMENT,"",Main.java(12:3-14:4),"while (!st.hasMoreTokens()) {
			st = new StringTokenizer(stdin.readLine());
		}"
23,MEMBERCALLEXPRESSION,"nextToken",Main.java(15:10-15:24),"st.nextToken()"
24,DECLAREDREFERENCEEXPRESSION,"nextToken",Main.java(15:13-15:22),"nextToken"
25,MEMBEREXPRESSION,"st",Main.java(15:10-15:12),"st"
26,DECLAREDREFERENCEEXPRESSION,"Main",Main.java(15:10-15:12),"Main"
27,UNARYOPERATOR,"!",Main.java(12:10-12:29),"!st.hasMoreTokens()"
28,COMPOUNDSTATEMENT,"",Main.java(12:31-14:4),"{
			st = new StringTokenizer(stdin.readLine());
		}"
29,DECLAREDREFERENCEEXPRESSION,"Main",Main.java(13:4-13:6),"Main"
30,MEMBERCALLEXPRESSION,"hasMoreTokens",Main.java(12:11-12:29),"st.hasMoreTokens()"
31,DECLAREDREFERENCEEXPRESSION,"hasMoreTokens",Main.java(12:14-12:27),"hasMoreTokens"
32,MEMBEREXPRESSION,"st",Main.java(12:11-12:13),"st"
33,BINARYOPERATOR,"=",Main.java(13:4-13:47),"st = new StringTokenizer(stdin.readLine());"
34,MEMBEREXPRESSION,"st",Main.java(13:4-13:6),"st"
35,NEWEXPRESSION,"",Main.java(13:9-13:46),"new StringTokenizer(stdin.readLine())"
36,DECLAREDREFERENCEEXPRESSION,"Main",Main.java(13:29-13:34),"Main"
37,CONSTRUCTEXPRESSION,"",Main.java(13:9-13:46),"new StringTokenizer(stdin.readLine())"
38,MEMBERCALLEXPRESSION,"readLine",Main.java(13:29-13:45),"stdin.readLine()"
39,DECLAREDREFERENCEEXPRESSION,"readLine",Main.java(13:35-13:43),"readLine"
40,MEMBEREXPRESSION,"stdin",Main.java(13:29-13:34),"stdin"
41,VARIABLEDECLARATION,"this",,""
42,COMPOUNDSTATEMENT,"",Main.java(19:40-21:3),"{
		return Integer.parseInt(readString());
	}"
43,CALLEXPRESSION,"readString",Main.java(20:27-20:39),"readString()"
44,RETURNSTATEMENT,"",Main.java(20:3-20:41),"return Integer.parseInt(readString());"
45,STATICCALLEXPRESSION,"parseInt",Main.java(20:10-20:40),"Integer.parseInt(readString())"
46,METHODDECLARATION,"readString",,""
47,VARIABLEDECLARATION,"this",,""
48,COMPOUNDSTATEMENT,"",Main.java(73:63-75:3),"{
		return Math.sqrt( ((f1[0] - f2[0])*(f1[0] - f2[0])) + ((f1[1] - f2[1])*(f1[1] - f2[1])) );
	}"
49,PARAMVARIABLEDECLARATION,"f1",Main.java(73:37-73:48),"Double[] f1"
