source_id,target_id,type,index,branch,name
1,2,AST,,,
1,3,AST,,,
1,4,AST,,,
1,5,AST,,,
1,6,AST,,,
4,7,AST,,,
4,8,AST,,,
4,9,AST,,,
4,10,AST,,,
4,11,AST,,,
4,12,AST,,,
4,13,AST,,,
4,14,AST,,,
4,15,AST,,,
4,16,AST,,,
9,9,AST,,,
14,17,AST,,,
14,18,AST,,,
14,19,AST,,,
14,20,DFG,,,
21,14,EOG,0,,
22,14,DFG,,,
23,19,DFG,,,
18,24,AST,,,
18,25,AST,,,
18,22,AST,,,
24,26,AST,,,
24,27,AST,,,
28,24,EOG,0,,
27,24,DFG,,,
27,24,EOG,0,,
26,21,AST,,,
27,26,EOG,0,,
27,26,DFG,,,
21,26,EOG,0,,
26,21,EOG,0,,
14,21,EOG,0,,
24,27,EOG,0,,
26,27,EOG,0,,
25,22,EOG,1,,
25,29,AST,,,
25,30,AST,,,
25,31,AST,,,
25,32,AST,,,
25,33,AST,,,
34,25,EOG,0,,
22,25,EOG,1,,
31,25,DFG,,,
31,25,EOG,0,,
29,35,AST,,,
36,29,EOG,0,,
37,29,EOG,0,,
35,29,EOG,1,,
35,38,AST,,,
35,37,AST,,,
39,35,EOG,0,true,
29,35,EOG,1,,
38,35,DFG,,,
38,35,EOG,0,,
38,40,AST,,,
38,41,AST,,,
35,38,EOG,0,,
40,38,DFG,,,
41,38,DFG,,,
41,38,EOG,0,,
40,42,AST,,,
41,40,EOG,0,,
42,40,EOG,0,,
42,43,AST,,,
42,44,AST,,,
40,42,EOG,0,,
43,42,DFG,,,
44,42,EOG,0,,
42,44,EOG,0,,
43,44,EOG,0,,
43,34,AST,,,
44,43,EOG,0,,
34,43,EOG,0,,
43,34,EOG,0,,
25,34,EOG,0,,
38,41,EOG,0,,
40,41,EOG,0,,
37,45,AST,,,
37,46,AST,,,
29,37,EOG,0,,
46,37,EOG,0,,
45,47,AST,,,
45,48,AST,,,
49,45,EOG,0,,
48,45,DFG,,,
48,45,EOG,0,,
48,50,AST,,,
48,47,DFG,,,
45,48,EOG,0,,
50,48,EOG,0,,
51,50,AST,0,,
48,50,EOG,0,,
51,50,DFG,,,
52,50,EOG,0,,
52,53,AST,,,
52,54,AST,,,
52,55,DFG,,,
50,52,EOG,0,,
53,52,DFG,,,
54,52,EOG,0,,
53,56,AST,,,
54,53,EOG,0,,
56,53,EOG,0,,
53,56,EOG,0,,
57,56,EOG,0,,
52,54,EOG,0,,
53,54,EOG,0,,
57,58,DFG,,,
56,57,EOG,0,,
47,57,EOG,0,,
47,59,AST,,,
47,60,AST,,,
57,47,EOG,0,,
59,47,DFG,,,
60,47,EOG,0,,
60,61,AST,,,
47,60,EOG,0,,
61,60,EOG,0,,
60,61,EOG,0,,
59,61,EOG,0,,
59,39,AST,,,
61,59,EOG,0,,
39,59,EOG,0,,
59,39,EOG,0,,
35,39,EOG,0,true,
46,62,AST,,,
46,62,DFG,,,
37,46,EOG,0,,
62,46,DFG,,,
62,46,EOG,0,,
62,49,AST,,,
46,62,EOG,0,,
49,62,EOG,0,,
62,49,EOG,0,,
45,49,EOG,0,,
31,63,AST,,,
31,64,AST,,,
25,31,EOG,0,,
64,31,DFG,,,
63,31,DFG,,,
64,31,EOG,0,,
64,65,AST,,,
31,64,EOG,0,,
65,64,EOG,0,,
64,65,EOG,0,,
63,65,EOG,0,,
65,63,EOG,0,,
30,63,EOG,0,,
32,63,EOG,0,,
32,36,AST,,,
32,36,DFG,,,
63,32,EOG,0,,
36,32,DFG,,,
36,32,EOG,0,,
32,36,EOG,0,,
29,36,EOG,0,,
33,28,AST,,,
30,33,EOG,0,,
28,33,DFG,,,
28,33,EOG,0,,
33,28,EOG,0,,
24,28,EOG,0,,
63,30,EOG,0,,
33,30,EOG,0,,
12,12,AST,,,
13,66,AST,,,
13,67,AST,,,
13,68,AST,,,
69,13,EOG,0,,
70,13,DFG,,,
67,71,AST,,,
67,72,AST,,,
67,73,AST,,,
67,74,AST,,,
67,75,AST,,,
67,76,AST,,,
67,77,AST,,,
67,78,AST,,,
67,79,AST,,,
67,80,AST,,,
67,70,AST,,,
67,81,AST,,,
67,82,AST,,,
77,83,AST,,,
77,84,AST,,,
85,77,EOG,0,,
84,77,DFG,,,
84,77,EOG,0,,
83,86,AST,,,
84,83,EOG,0,,
84,83,DFG,,,
86,83,EOG,0,,
83,86,EOG,0,,
76,86,EOG,0,,
77,84,EOG,0,,
83,84,EOG,0,,
87,75,EOG,0,,
82,75,EOG,0,,
81,88,AST,,,
71,81,EOG,0,,
88,81,DFG,,,
88,81,EOG,0,,
88,89,AST,,,
81,88,EOG,0,,
89,88,EOG,0,,
88,89,EOG,0,,
90,89,EOG,0,,
90,69,AST,,,
89,90,EOG,0,,
69,90,EOG,0,,
90,69,EOG,0,,
13,69,EOG,0,,
73,91,AST,,,
73,92,AST,,,
93,73,EOG,0,,
92,73,DFG,,,
92,73,EOG,0,,
91,94,AST,,,
95,91,EOG,0,,
92,91,DFG,,,
94,91,EOG,0,,
91,94,EOG,0,,
72,94,EOG,0,,
92,96,AST,,,
73,92,EOG,0,,
96,92,EOG,0,,
96,95,AST,,,
92,96,EOG,0,,
95,96,EOG,0,,
96,95,EOG,0,,
91,95,EOG,0,,
76,97,AST,,,
76,98,AST,,,
86,76,EOG,0,,
98,76,DFG,,,
98,76,EOG,0,,
97,87,AST,,,
98,97,EOG,0,,
98,97,DFG,,,
87,97,EOG,0,,
97,87,EOG,0,,
75,87,EOG,0,,
76,98,EOG,0,,
97,98,EOG,0,,
72,99,AST,,,
72,100,AST,,,
94,72,EOG,0,,
100,72,DFG,,,
100,72,EOG,0,,
100,101,AST,,,
100,99,DFG,,,
72,100,EOG,0,,
102,100,EOG,0,,
100,102,EOG,0,,
99,102,EOG,0,,
99,103,AST,,,
102,99,EOG,0,,
103,99,EOG,0,,
99,103,EOG,0,,
71,103,EOG,0,,
80,70,EOG,0,,
103,71,EOG,0,,
81,71,EOG,0,,
78,104,AST,,,
78,105,AST,,,
106,78,EOG,0,,
105,78,DFG,,,
105,78,EOG,0,,
104,85,AST,,,
107,104,EOG,0,,
105,104,DFG,,,
85,104,EOG,0,,
104,85,EOG,0,,
77,85,EOG,0,,
105,107,AST,,,
78,105,EOG,0,,
107,105,EOG,0,,
105,107,EOG,0,,
104,107,EOG,0,,
15,79,AST,0,,
79,108,AST,,,
109,79,EOG,0,,
15,79,DFG,,,
108,79,EOG,0,,
108,110,AST,,,
108,111,AST,,,
108,112,DFG,,,
79,108,EOG,0,,
110,108,DFG,,,
111,108,EOG,0,,
108,111,EOG,0,,
110,111,EOG,0,,
110,106,AST,,,
111,110,EOG,0,,
106,110,EOG,0,,
110,106,EOG,0,,
78,106,EOG,0,,
74,113,AST,,,
74,114,AST,,,
74,115,AST,,,
74,116,AST,,,
74,117,AST,,,
118,74,EOG,0,,
119,74,EOG,1,,
115,74,DFG,,,
115,74,EOG,0,,
117,93,AST,,,
114,117,EOG,0,,
93,117,DFG,,,
93,117,EOG,0,,
117,93,EOG,0,,
73,93,EOG,0,,
120,114,EOG,0,,
117,114,EOG,0,,
115,120,AST,,,
115,121,AST,,,
74,115,EOG,0,,
120,115,DFG,,,
121,115,DFG,,,
121,115,EOG,0,,
122,120,EOG,0,,
114,120,EOG,0,,
116,120,EOG,0,,
121,122,AST,,,
115,121,EOG,0,,
122,121,EOG,0,,
121,122,EOG,0,,
120,122,EOG,0,,
116,123,AST,,,
116,123,DFG,,,
120,116,EOG,0,,
123,116,DFG,,,
123,116,EOG,0,,
116,123,EOG,0,,
113,123,EOG,0,,
113,124,AST,,,
113,125,AST,,,
113,126,AST,,,
113,127,AST,,,
113,128,AST,,,
123,113,EOG,0,,
126,113,EOG,0,,
126,129,AST,,,
126,130,AST,,,
113,126,EOG,0,,
130,126,DFG,,,
130,126,EOG,0,,
129,131,AST,,,
129,132,AST,,,
133,129,EOG,0,,
130,129,DFG,,,
131,129,DFG,,,
132,129,EOG,0,,
131,134,AST,,,
132,131,EOG,0,,
134,131,EOG,0,,
131,134,EOG,0,,
125,134,EOG,0,,
129,132,EOG,0,,
131,132,EOG,0,,
130,135,AST,,,
126,130,EOG,0,,
135,130,EOG,0,,
136,135,AST,0,,
130,135,EOG,0,,
136,135,DFG,,,
137,135,EOG,0,,
137,138,DFG,,,
135,137,EOG,0,,
133,137,EOG,0,,
133,139,DFG,,,
137,133,EOG,0,,
129,133,EOG,0,,
127,140,AST,,,
124,127,EOG,0,,
140,127,DFG,,,
140,127,EOG,0,,
140,141,AST,,,
127,140,EOG,0,,
