source_id,target_id,type,index,branch,name
1,2,AST,,,
1,3,AST,,,
1,4,AST,,,
1,5,AST,,,
1,6,AST,,,
1,7,AST,,,
2,8,AST,,,
2,9,AST,,,
2,10,AST,,,
2,11,AST,,,
2,12,AST,,,
2,13,AST,,,
2,14,AST,,,
11,11,AST,,,
10,10,AST,,,
12,12,AST,,,
13,13,AST,,,
9,9,AST,,,
8,8,AST,,,
14,15,AST,,,
14,16,AST,,,
14,17,AST,,,
18,14,EOG,0,,
19,14,DFG,,,
15,20,AST,,,
15,21,AST,,,
15,22,AST,,,
15,23,AST,,,
15,24,AST,,,
15,25,AST,,,
15,19,AST,,,
24,26,AST,,,
24,27,AST,,,
28,24,EOG,0,,
27,24,DFG,,,
27,24,EOG,0,,
26,29,AST,,,
27,26,EOG,0,,
27,26,DFG,,,
29,26,EOG,0,,
26,29,EOG,0,,
23,29,EOG,0,,
24,27,EOG,0,,
26,27,EOG,0,,
22,30,AST,,,
22,31,AST,,,
32,22,EOG,0,,
31,22,DFG,,,
31,22,EOG,0,,
30,33,AST,,,
31,30,EOG,0,,
31,30,DFG,,,
33,30,EOG,0,,
30,33,EOG,0,,
21,33,EOG,0,,
22,31,EOG,0,,
30,31,EOG,0,,
25,34,AST,,,
25,35,AST,,,
19,25,EOG,0,,
35,25,DFG,,,
35,25,EOG,0,,
34,28,AST,,,
36,34,EOG,0,,
35,34,DFG,,,
28,34,EOG,0,,
34,28,EOG,0,,
24,28,EOG,0,,
35,36,AST,,,
25,35,EOG,0,,
36,35,EOG,0,,
35,36,EOG,0,,
34,36,EOG,0,,
20,37,AST,,,
20,38,AST,,,
39,20,EOG,0,,
38,20,DFG,,,
38,20,EOG,0,,
37,18,AST,,,
38,37,EOG,0,,
38,37,DFG,,,
18,37,EOG,0,,
37,18,EOG,0,,
14,18,EOG,0,,
20,38,EOG,0,,
37,38,EOG,0,,
23,40,AST,,,
23,41,AST,,,
29,23,EOG,0,,
41,23,DFG,,,
41,23,EOG,0,,
41,40,DFG,,,
23,41,EOG,0,,
40,41,EOG,0,,
40,32,AST,,,
41,40,EOG,0,,
32,40,EOG,0,,
40,32,EOG,0,,
22,32,EOG,0,,
25,19,EOG,0,,
21,42,AST,,,
21,43,AST,,,
33,21,EOG,0,,
43,21,DFG,,,
43,21,EOG,0,,
42,39,AST,,,
43,42,EOG,0,,
43,42,DFG,,,
39,42,EOG,0,,
42,39,EOG,0,,
20,39,EOG,0,,
21,43,EOG,0,,
42,43,EOG,0,,
4,44,AST,,,
4,45,AST,,,
4,46,AST,,,
4,47,AST,,,
4,48,AST,,,
46,49,AST,,,
46,50,AST,,,
46,51,AST,,,
46,52,AST,,,
53,46,EOG,0,,
54,46,DFG,,,
50,55,AST,,,
50,56,AST,,,
50,57,AST,,,
50,58,AST,,,
50,54,AST,,,
50,59,AST,,,
50,60,AST,,,
50,61,AST,,,
62,57,EOG,0,,
61,57,EOG,0,,
54,63,AST,,,
63,54,DFG,,,
63,54,EOG,0,,
54,63,EOG,0,,
58,63,EOG,1,,
61,64,AST,,,
57,61,EOG,0,,
64,61,DFG,,,
64,61,EOG,0,,
61,64,EOG,0,,
56,64,EOG,0,,
65,55,EOG,0,,
59,55,EOG,0,,
64,56,EOG,0,,
60,56,EOG,0,,
60,65,AST,,,
56,60,EOG,0,,
65,60,DFG,,,
65,60,EOG,0,,
60,65,EOG,0,,
55,65,EOG,0,,
58,66,AST,,,
58,62,AST,,,
58,67,AST,,,
58,68,AST,,,
69,58,EOG,0,,
63,58,EOG,1,,
66,58,DFG,,,
66,58,EOG,0,,
58,66,EOG,0,,
68,66,EOG,0,,
70,62,EOG,0,,
57,62,EOG,0,,
67,62,EOG,0,,
67,71,AST,,,
67,72,AST,,,
62,67,EOG,0,,
72,67,EOG,1,,
71,69,AST,,,
71,69,DFG,,,
73,71,EOG,0,,
69,71,DFG,,,
69,71,EOG,0,,
71,69,EOG,0,,
58,69,EOG,0,,
72,74,AST,,,
72,73,AST,,,
72,75,AST,,,
72,76,AST,,,
77,72,EOG,0,,
67,72,EOG,1,,
74,72,DFG,,,
74,72,EOG,0,,
78,73,EOG,0,,
71,73,EOG,0,,
75,73,EOG,0,,
76,78,AST,,,
74,76,EOG,0,,
78,76,DFG,,,
78,76,EOG,0,,
76,78,EOG,0,,
73,78,EOG,0,,
75,79,AST,,,
75,80,AST,,,
75,81,AST,,,
73,75,EOG,0,,
82,75,EOG,0,,
80,75,EOG,1,,
80,83,AST,,,
80,82,AST,,,
84,80,EOG,0,true,
75,80,EOG,1,,
83,80,DFG,,,
83,80,EOG,0,,
83,85,AST,,,
83,86,AST,,,
80,83,EOG,0,,
85,83,DFG,,,
86,83,DFG,,,
86,83,EOG,0,,
86,85,EOG,0,,
79,85,EOG,0,,
83,86,EOG,0,,
85,86,EOG,0,,
82,87,AST,,,
82,88,AST,,,
75,82,EOG,0,,
88,82,EOG,0,,
88,89,AST,,,
88,90,AST,,,
82,88,EOG,0,,
90,88,DFG,,,
90,88,EOG,0,,
90,89,EOG,0,,
90,89,DFG,,,
87,89,EOG,0,,
88,90,EOG,0,,
89,90,EOG,0,,
87,84,AST,,,
87,91,AST,,,
89,87,EOG,0,,
91,87,DFG,,,
91,87,EOG,0,,
91,84,EOG,0,,
91,84,DFG,,,
80,84,EOG,0,true,
87,91,EOG,0,,
84,91,EOG,0,,
85,79,EOG,0,,
81,79,EOG,0,,
81,92,AST,,,
79,81,EOG,0,,
92,81,DFG,,,
92,81,EOG,0,,
81,92,EOG,0,,
93,92,EOG,0,,
93,94,AST,,,
93,95,AST,,,
92,93,EOG,0,,
94,93,DFG,,,
95,93,DFG,,,
95,93,EOG,0,,
94,96,AST,,,
94,97,AST,,,
98,94,EOG,0,,
96,94,DFG,,,
97,94,DFG,,,
97,94,EOG,0,,
96,99,AST,,,
96,100,AST,,,
101,96,EOG,0,,
100,96,DFG,,,
99,96,DFG,,,
100,96,EOG,0,,
100,102,AST,,,
96,100,EOG,0,,
102,100,EOG,0,,
100,102,EOG,0,,
99,102,EOG,0,,
99,77,AST,,,
102,99,EOG,0,,
77,99,EOG,0,,
99,77,EOG,0,,
72,77,EOG,0,,
97,103,AST,,,
97,104,AST,,,
94,97,EOG,0,,
104,97,DFG,,,
103,97,DFG,,,
104,97,EOG,0,,
104,105,AST,,,
97,104,EOG,0,,
105,104,EOG,0,,
104,105,EOG,0,,
103,105,EOG,0,,
103,101,AST,,,
105,103,EOG,0,,
101,103,EOG,0,,
103,101,EOG,0,,
96,101,EOG,0,,
95,106,AST,,,
95,107,AST,,,
93,95,EOG,0,,
107,95,DFG,,,
106,95,DFG,,,
107,95,EOG,0,,
107,108,AST,,,
107,109,AST,,,
95,107,EOG,0,,
108,107,DFG,,,
109,107,DFG,,,
109,107,EOG,0,,
108,110,AST,,,
111,108,EOG,0,,
110,108,EOG,0,,
108,110,EOG,0,,
106,110,EOG,0,,
109,111,AST,,,
107,109,EOG,0,,
111,109,EOG,0,,
109,111,EOG,0,,
108,111,EOG,0,,
106,112,AST,,,
106,113,AST,,,
110,106,EOG,0,,
113,106,DFG,,,
112,106,DFG,,,
113,106,EOG,0,,
113,114,AST,,,
106,113,EOG,0,,
114,113,EOG,0,,
113,114,EOG,0,,
112,114,EOG,0,,
112,98,AST,,,
114,112,EOG,0,,
98,112,EOG,0,,
112,98,EOG,0,,
94,98,EOG,0,,
72,74,EOG,0,,
76,74,EOG,0,,
68,70,AST,,,
66,68,EOG,0,,
70,68,DFG,,,
70,68,EOG,0,,
68,70,EOG,0,,
62,70,EOG,0,,
59,53,AST,,,
55,59,EOG,0,,
53,59,DFG,,,
53,59,EOG,0,,
59,53,EOG,0,,
46,53,EOG,0,,
47,115,AST,,,
47,116,AST,,,
47,117,AST,,,
118,47,EOG,0,,
119,47,DFG,,,
116,120,AST,,,
116,121,AST,,,
116,122,AST,,,
116,123,AST,,,
116,124,AST,,,
116,125,AST,,,
116,126,AST,,,
116,127,AST,,,
116,119,AST,,,
116,128,AST,,,
116,129,AST,,,
116,130,AST,,,
116,131,AST,,,
132,121,EOG,0,,
129,121,EOG,0,,
130,132,AST,,,
122,130,EOG,0,,
132,130,DFG,,,
132,130,EOG,0,,
130,132,EOG,0,,
121,132,EOG,0,,
126,133,AST,,,
126,134,AST,,,
126,135,AST,,,
126,136,AST,,,
126,137,AST,,,
138,126,EOG,0,,
139,126,EOG,1,,
135,126,DFG,,,
135,126,EOG,0,,
137,140,AST,,,
134,137,EOG,0,,
140,137,DFG,,,
140,137,EOG,0,,
137,140,EOG,0,,
