first;second;tupleType;plagType;plagTypeGroup;tool;similarity
gpt-1.java;gpt-38.java;Plag-Plag;Base;Progpedia19;Base;100.0
gpt-39.java;gpt-37.java;Plag-Plag;Base;Progpedia19;Base;98.91304347826086
gpt-42.java;gpt-30.java;Plag-Plag;Base;Progpedia19;Base;98.7012987012987
gpt-17.java;gpt-39.java;Plag-Plag;Base;Progpedia19;Base;97.75280898876404
gpt-37.java;gpt-31.java;Plag-Plag;Base;Progpedia19;Base;96.875
gpt-17.java;gpt-37.java;Plag-Plag;Base;Progpedia19;Base;96.66666666666667
gpt-9.java;gpt-30.java;Plag-Plag;Base;Progpedia19;Base;96.1038961038961
gpt-42.java;gpt-9.java;Plag-Plag;Base;Progpedia19;Base;96.05263157894737
gpt-39.java;gpt-31.java;Plag-Plag;Base;Progpedia19;Base;95.78947368421052
gpt-17.java;gpt-31.java;Plag-Plag;Base;Progpedia19;Base;93.54838709677419
gpt-38.java;gpt-49.java;Plag-Plag;Base;Progpedia19;Base;92.65536723163842
gpt-1.java;gpt-49.java;Plag-Plag;Base;Progpedia19;Base;92.65536723163842
gpt-5.java;gpt-48.java;Plag-Plag;Base;Progpedia19;Base;87.77777777777777
gpt-16.java;gpt-18.java;Plag-Plag;Base;Progpedia19;Base;87.27272727272727
gpt-37.java;gpt-47.java;Plag-Plag;Base;Progpedia19;Base;86.77248677248677
gpt-38.java;gpt-19.java;Plag-Plag;Base;Progpedia19;Base;86.54970760233918
gpt-1.java;gpt-19.java;Plag-Plag;Base;Progpedia19;Base;86.54970760233918
gpt-39.java;gpt-47.java;Plag-Plag;Base;Progpedia19;Base;85.56149732620321
gpt-47.java;gpt-31.java;Plag-Plag;Base;Progpedia19;Base;84.1025641025641
gpt-19.java;gpt-7.java;Plag-Plag;Base;Progpedia19;Base;82.68156424581005
gpt-3.java;gpt-23.java;Plag-Plag;Base;Progpedia19;Base;81.81818181818183
gpt-2.java;gpt-47.java;Plag-Plag;Base;Progpedia19;Base;81.72043010752688
gpt-33.java;gpt-44.java;Plag-Plag;Base;Progpedia19;Base;80.18433179723502
gpt-7.java;gpt-48.java;Plag-Plag;Base;Progpedia19;Base;79.14438502673798
gpt-11.java;gpt-31.java;Plag-Plag;Base;Progpedia19;Base;78.75647668393782
gpt-19.java;gpt-49.java;Plag-Plag;Base;Progpedia19;Base;78.65168539325843
gpt-38.java;gpt-7.java;Plag-Plag;Base;Progpedia19;Base;78.65168539325843
gpt-1.java;gpt-7.java;Plag-Plag;Base;Progpedia19;Base;78.65168539325843
gpt-17.java;gpt-47.java;Plag-Plag;Base;Progpedia19;Base;74.31693989071039
gpt-26.java;gpt-43.java;Plag-Plag;Base;Progpedia19;Base;74.19354838709677
gpt-9.java;gpt-16.java;Plag-Plag;Base;Progpedia19;Base;73.54838709677419
gpt-44.java;gpt-15.java;Plag-Plag;Base;Progpedia19;Base;72.56637168141593
gpt-4.java;gpt-21.java;Plag-Plag;Base;Progpedia19;Base;70.1923076923077
gpt-32.java;gpt-21.java;Plag-Plag;Base;Progpedia19;Base;70.1923076923077
gpt-7.java;gpt-43.java;Plag-Plag;Base;Progpedia19;Base;69.14893617021278
gpt-19.java;gpt-5.java;Plag-Plag;Base;Progpedia19;Base;68.6046511627907
gpt-41.java;gpt-24.java;Plag-Plag;Base;Progpedia19;Base;68.0
gpt-17.java;gpt-2.java;Plag-Plag;Base;Progpedia19;Base;67.79661016949152
gpt-42.java;gpt-38.java;Plag-Plag;Base;Progpedia19;Base;67.08074534161491
gpt-42.java;gpt-1.java;Plag-Plag;Base;Progpedia19;Base;67.08074534161491
gpt-21.java;gpt-15.java;Plag-Plag;Base;Progpedia19;Base;66.66666666666666
gpt-38.java;gpt-5.java;Plag-Plag;Base;Progpedia19;Base;66.66666666666666
gpt-1.java;gpt-5.java;Plag-Plag;Base;Progpedia19;Base;66.66666666666666
gpt-2.java;gpt-39.java;Plag-Plag;Base;Progpedia19;Base;66.29834254143645
gpt-30.java;gpt-38.java;Plag-Plag;Base;Progpedia19;Base;66.25766871165644
