first;second;tupleType;plagType;plagTypeGroup;tool;similarity
gpt-1.java;gpt-38.java;Plag-Plag;Both;Progpedia19;Both;100.0
gpt-38.java;gpt-19.java;Plag-Plag;Both;Progpedia19;Both;100.0
gpt-1.java;gpt-19.java;Plag-Plag;Both;Progpedia19;Both;100.0
gpt-37.java;gpt-47.java;Plag-Plag;Both;Progpedia19;Both;100.0
gpt-17.java;gpt-2.java;Plag-Plag;Both;Progpedia19;Both;100.0
gpt-15.java;gpt-27.java;Plag-Plag;Both;Progpedia19;Both;100.0
gpt-33.java;gpt-46.java;Plag-Plag;Both;Progpedia19;Both;100.0
gpt-42.java;gpt-18.java;Plag-Plag;Both;Progpedia19;Both;100.0
gpt-30.java;gpt-34.java;Plag-Plag;Both;Progpedia19;Both;100.0
gpt-17.java;gpt-40.java;Plag-Plag;Both;Progpedia19;Both;100.0
gpt-2.java;gpt-40.java;Plag-Plag;Both;Progpedia19;Both;100.0
gpt-5.java;gpt-7.java;Plag-Plag;Both;Progpedia19;Both;99.40828402366864
gpt-9.java;gpt-16.java;Plag-Plag;Both;Progpedia19;Both;99.3103448275862
gpt-39.java;gpt-37.java;Plag-Plag;Both;Progpedia19;Both;98.91304347826086
gpt-39.java;gpt-47.java;Plag-Plag;Both;Progpedia19;Both;98.91304347826086
gpt-11.java;gpt-31.java;Plag-Plag;Both;Progpedia19;Both;98.86363636363636
gpt-19.java;gpt-5.java;Plag-Plag;Both;Progpedia19;Both;98.79518072289156
gpt-1.java;gpt-5.java;Plag-Plag;Both;Progpedia19;Both;98.73417721518987
gpt-42.java;gpt-30.java;Plag-Plag;Both;Progpedia19;Both;98.7012987012987
gpt-42.java;gpt-34.java;Plag-Plag;Both;Progpedia19;Both;98.55072463768117
gpt-30.java;gpt-18.java;Plag-Plag;Both;Progpedia19;Both;98.52941176470588
gpt-7.java;gpt-48.java;Plag-Plag;Both;Progpedia19;Both;98.34254143646409
gpt-19.java;gpt-7.java;Plag-Plag;Both;Progpedia19;Both;98.28571428571429
gpt-38.java;gpt-7.java;Plag-Plag;Both;Progpedia19;Both;98.26589595375722
gpt-1.java;gpt-7.java;Plag-Plag;Both;Progpedia19;Both;98.26589595375722
gpt-17.java;gpt-39.java;Plag-Plag;Both;Progpedia19;Both;97.75280898876404
gpt-2.java;gpt-39.java;Plag-Plag;Both;Progpedia19;Both;97.75280898876404
gpt-5.java;gpt-48.java;Plag-Plag;Both;Progpedia19;Both;97.72727272727273
gpt-39.java;gpt-40.java;Plag-Plag;Both;Progpedia19;Both;97.53086419753086
gpt-42.java;gpt-16.java;Plag-Plag;Both;Progpedia19;Both;97.26027397260275
gpt-37.java;gpt-31.java;Plag-Plag;Both;Progpedia19;Both;96.875
gpt-47.java;gpt-31.java;Plag-Plag;Both;Progpedia19;Both;96.875
gpt-12.java;gpt-10.java;Plag-Plag;Both;Progpedia19;Both;96.875
gpt-2.java;gpt-47.java;Plag-Plag;Both;Progpedia19;Both;96.7032967032967
gpt-42.java;gpt-9.java;Plag-Plag;Both;Progpedia19;Both;96.68874172185431
gpt-17.java;gpt-37.java;Plag-Plag;Both;Progpedia19;Both;96.66666666666667
gpt-17.java;gpt-47.java;Plag-Plag;Both;Progpedia19;Both;96.66666666666667
gpt-2.java;gpt-37.java;Plag-Plag;Both;Progpedia19;Both;96.66666666666667
gpt-11.java;gpt-47.java;Plag-Plag;Both;Progpedia19;Both;96.47058823529412
gpt-38.java;gpt-48.java;Plag-Plag;Both;Progpedia19;Both;96.34146341463415
gpt-40.java;gpt-37.java;Plag-Plag;Both;Progpedia19;Both;96.34146341463415
gpt-3.java;gpt-23.java;Plag-Plag;Both;Progpedia19;Both;96.11650485436894
gpt-9.java;gpt-30.java;Plag-Plag;Both;Progpedia19;Both;96.1038961038961
gpt-30.java;gpt-16.java;Plag-Plag;Both;Progpedia19;Both;95.94594594594594
gpt-39.java;gpt-31.java;Plag-Plag;Both;Progpedia19;Both;95.78947368421052
gpt-33.java;gpt-44.java;Plag-Plag;Both;Progpedia19;Both;95.60975609756098
gpt-32.java;gpt-46.java;Plag-Plag;Both;Progpedia19;Both;95.38461538461539
gpt-46.java;gpt-23.java;Plag-Plag;Both;Progpedia19;Both;94.44444444444444
gpt-33.java;gpt-23.java;Plag-Plag;Both;Progpedia19;Both;93.75
gpt-16.java;gpt-18.java;Plag-Plag;Both;Progpedia19;Both;93.67088607594937
gpt-17.java;gpt-31.java;Plag-Plag;Both;Progpedia19;Both;93.54838709677419
gpt-32.java;gpt-21.java;Plag-Plag;Both;Progpedia19;Both;92.78350515463917
gpt-38.java;gpt-49.java;Plag-Plag;Both;Progpedia19;Both;92.65536723163842
gpt-1.java;gpt-49.java;Plag-Plag;Both;Progpedia19;Both;92.65536723163842
gpt-17.java;gpt-43.java;Plag-Plag;Both;Progpedia19;Both;92.21556886227546
gpt-32.java;gpt-15.java;Plag-Plag;Both;Progpedia19;Both;92.15686274509804
gpt-2.java;gpt-43.java;Plag-Plag;Both;Progpedia19;Both;91.76470588235294
gpt-43.java;gpt-31.java;Plag-Plag;Both;Progpedia19;Both;91.62011173184358
gpt-44.java;gpt-41.java;Plag-Plag;Both;Progpedia19;Both;91.24423963133641
gpt-32.java;gpt-24.java;Plag-Plag;Both;Progpedia19;Both;91.16279069767442
gpt-9.java;gpt-18.java;Plag-Plag;Both;Progpedia19;Both;91.0344827586207
gpt-44.java;gpt-23.java;Plag-Plag;Both;Progpedia19;Both;90.9090909090909
gpt-4.java;gpt-15.java;Plag-Plag;Both;Progpedia19;Both;90.72164948453609
gpt-49.java;gpt-7.java;Plag-Plag;Both;Progpedia19;Both;90.60773480662984
gpt-18.java;gpt-5.java;Plag-Plag;Both;Progpedia19;Both;90.56603773584906
gpt-39.java;gpt-43.java;Plag-Plag;Both;Progpedia19;Both;90.05847953216374
gpt-21.java;gpt-46.java;Plag-Plag;Both;Progpedia19;Both;89.47368421052632
gpt-43.java;gpt-47.java;Plag-Plag;Both;Progpedia19;Both;89.3854748603352
gpt-40.java;gpt-14.java;Plag-Plag;Both;Progpedia19;Both;89.1566265060241
gpt-37.java;gpt-43.java;Plag-Plag;Both;Progpedia19;Both;89.01734104046243
gpt-32.java;gpt-44.java;Plag-Plag;Both;Progpedia19;Both;88.77551020408163
gpt-2.java;gpt-7.java;Plag-Plag;Both;Progpedia19;Both;88.63636363636364
gpt-5.java;gpt-49.java;Plag-Plag;Both;Progpedia19;Both;88.62275449101796
gpt-33.java;gpt-41.java;Plag-Plag;Both;Progpedia19;Both;88.57142857142857
gpt-21.java;gpt-24.java;Plag-Plag;Both;Progpedia19;Both;88.49557522123894
gpt-18.java;gpt-48.java;Plag-Plag;Both;Progpedia19;Both;88.48484848484848
gpt-21.java;gpt-15.java;Plag-Plag;Both;Progpedia19;Both;88.03827751196172
gpt-39.java;gpt-11.java;Plag-Plag;Both;Progpedia19;Both;88.0
gpt-32.java;gpt-13.java;Plag-Plag;Both;Progpedia19;Both;87.87878787878788
gpt-44.java;gpt-24.java;Plag-Plag;Both;Progpedia19;Both;87.38738738738738
gpt-12.java;gpt-19.java;Plag-Plag;Both;Progpedia19;Both;87.17948717948718
gpt-43.java;gpt-45.java;Plag-Plag;Both;Progpedia19;Both;87.04663212435233
gpt-10.java;gpt-34.java;Plag-Plag;Both;Progpedia19;Both;87.01298701298701
gpt-37.java;gpt-11.java;Plag-Plag;Both;Progpedia19;Both;87.00564971751412
gpt-12.java;gpt-38.java;Plag-Plag;Both;Progpedia19;Both;86.8421052631579
gpt-12.java;gpt-1.java;Plag-Plag;Both;Progpedia19;Both;86.8421052631579
gpt-49.java;gpt-48.java;Plag-Plag;Both;Progpedia19;Both;86.70520231213872
gpt-17.java;gpt-11.java;Plag-Plag;Both;Progpedia19;Both;85.38011695906432
gpt-10.java;gpt-39.java;Plag-Plag;Both;Progpedia19;Both;85.29411764705883
gpt-40.java;gpt-31.java;Plag-Plag;Both;Progpedia19;Both;84.91620111731844
gpt-13.java;gpt-24.java;Plag-Plag;Both;Progpedia19;Both;84.68468468468468
gpt-32.java;gpt-23.java;Plag-Plag;Both;Progpedia19;Both;84.61538461538461
gpt-10.java;gpt-37.java;Plag-Plag;Both;Progpedia19;Both;84.05797101449275
