first;second;tupleType;plagType;plagTypeGroup;tool;similarity
gpt-1.java;gpt-38.java;Plag-Plag;SMM;Progpedia19;SMM;100.0
gpt-37.java;gpt-47.java;Plag-Plag;SMM;Progpedia19;SMM;100.0
gpt-38.java;gpt-19.java;Plag-Plag;SMM;Progpedia19;SMM;100.0
gpt-1.java;gpt-19.java;Plag-Plag;SMM;Progpedia19;SMM;100.0
gpt-17.java;gpt-2.java;Plag-Plag;SMM;Progpedia19;SMM;100.0
gpt-15.java;gpt-27.java;Plag-Plag;SMM;Progpedia19;SMM;100.0
gpt-30.java;gpt-34.java;Plag-Plag;SMM;Progpedia19;SMM;100.0
gpt-2.java;gpt-40.java;Plag-Plag;SMM;Progpedia19;SMM;100.0
gpt-5.java;gpt-7.java;Plag-Plag;SMM;Progpedia19;SMM;99.37106918238993
gpt-39.java;gpt-37.java;Plag-Plag;SMM;Progpedia19;SMM;98.91304347826086
gpt-39.java;gpt-47.java;Plag-Plag;SMM;Progpedia19;SMM;98.91304347826086
gpt-11.java;gpt-31.java;Plag-Plag;SMM;Progpedia19;SMM;98.86363636363636
gpt-42.java;gpt-30.java;Plag-Plag;SMM;Progpedia19;SMM;98.7012987012987
gpt-38.java;gpt-5.java;Plag-Plag;SMM;Progpedia19;SMM;98.7012987012987
gpt-42.java;gpt-34.java;Plag-Plag;SMM;Progpedia19;SMM;98.55072463768117
gpt-38.java;gpt-7.java;Plag-Plag;SMM;Progpedia19;SMM;98.20359281437125
gpt-1.java;gpt-7.java;Plag-Plag;SMM;Progpedia19;SMM;98.20359281437125
gpt-17.java;gpt-39.java;Plag-Plag;SMM;Progpedia19;SMM;97.75280898876404
gpt-2.java;gpt-39.java;Plag-Plag;SMM;Progpedia19;SMM;97.75280898876404
gpt-39.java;gpt-40.java;Plag-Plag;SMM;Progpedia19;SMM;97.53086419753086
gpt-42.java;gpt-16.java;Plag-Plag;SMM;Progpedia19;SMM;97.26027397260275
gpt-37.java;gpt-31.java;Plag-Plag;SMM;Progpedia19;SMM;96.875
gpt-47.java;gpt-31.java;Plag-Plag;SMM;Progpedia19;SMM;96.875
gpt-9.java;gpt-30.java;Plag-Plag;SMM;Progpedia19;SMM;96.73202614379085
gpt-2.java;gpt-47.java;Plag-Plag;SMM;Progpedia19;SMM;96.7032967032967
gpt-42.java;gpt-9.java;Plag-Plag;SMM;Progpedia19;SMM;96.68874172185431
gpt-17.java;gpt-37.java;Plag-Plag;SMM;Progpedia19;SMM;96.66666666666667
gpt-17.java;gpt-47.java;Plag-Plag;SMM;Progpedia19;SMM;96.66666666666667
gpt-2.java;gpt-37.java;Plag-Plag;SMM;Progpedia19;SMM;96.66666666666667
gpt-40.java;gpt-47.java;Plag-Plag;SMM;Progpedia19;SMM;96.47058823529412
gpt-11.java;gpt-47.java;Plag-Plag;SMM;Progpedia19;SMM;96.47058823529412
gpt-40.java;gpt-37.java;Plag-Plag;SMM;Progpedia19;SMM;96.34146341463415
gpt-3.java;gpt-23.java;Plag-Plag;SMM;Progpedia19;SMM;96.11650485436894
gpt-1.java;gpt-48.java;Plag-Plag;SMM;Progpedia19;SMM;96.1038961038961
gpt-30.java;gpt-16.java;Plag-Plag;SMM;Progpedia19;SMM;95.94594594594594
gpt-39.java;gpt-31.java;Plag-Plag;SMM;Progpedia19;SMM;95.78947368421052
gpt-33.java;gpt-44.java;Plag-Plag;SMM;Progpedia19;SMM;95.60975609756098
gpt-46.java;gpt-23.java;Plag-Plag;SMM;Progpedia19;SMM;94.44444444444444
gpt-17.java;gpt-31.java;Plag-Plag;SMM;Progpedia19;SMM;93.54838709677419
gpt-32.java;gpt-21.java;Plag-Plag;SMM;Progpedia19;SMM;92.78350515463917
gpt-38.java;gpt-49.java;Plag-Plag;SMM;Progpedia19;SMM;92.65536723163842
gpt-1.java;gpt-49.java;Plag-Plag;SMM;Progpedia19;SMM;92.65536723163842
gpt-17.java;gpt-43.java;Plag-Plag;SMM;Progpedia19;SMM;92.21556886227546
gpt-32.java;gpt-15.java;Plag-Plag;SMM;Progpedia19;SMM;92.15686274509804
gpt-2.java;gpt-43.java;Plag-Plag;SMM;Progpedia19;SMM;91.76470588235294
gpt-44.java;gpt-41.java;Plag-Plag;SMM;Progpedia19;SMM;91.24423963133641
gpt-32.java;gpt-24.java;Plag-Plag;SMM;Progpedia19;SMM;91.16279069767442
gpt-18.java;gpt-5.java;Plag-Plag;SMM;Progpedia19;SMM;90.6832298136646
gpt-16.java;gpt-5.java;Plag-Plag;SMM;Progpedia19;SMM;90.19607843137256
gpt-39.java;gpt-43.java;Plag-Plag;SMM;Progpedia19;SMM;90.05847953216374
gpt-38.java;gpt-17.java;Plag-Plag;SMM;Progpedia19;SMM;89.87341772151899
