first;second;tupleType;plagType;plagTypeGroup;tool;similarity
gpt-1.java;gpt-38.java;Plag-Plag;TSN;Progpedia19;TSN;100.0
gpt-39.java;gpt-37.java;Plag-Plag;TSN;Progpedia19;TSN;98.91304347826086
gpt-42.java;gpt-30.java;Plag-Plag;TSN;Progpedia19;TSN;98.7012987012987
gpt-17.java;gpt-39.java;Plag-Plag;TSN;Progpedia19;TSN;97.75280898876404
gpt-37.java;gpt-31.java;Plag-Plag;TSN;Progpedia19;TSN;96.875
gpt-17.java;gpt-37.java;Plag-Plag;TSN;Progpedia19;TSN;96.66666666666667
gpt-9.java;gpt-30.java;Plag-Plag;TSN;Progpedia19;TSN;96.1038961038961
gpt-42.java;gpt-9.java;Plag-Plag;TSN;Progpedia19;TSN;96.05263157894737
gpt-39.java;gpt-31.java;Plag-Plag;TSN;Progpedia19;TSN;95.78947368421052
gpt-17.java;gpt-31.java;Plag-Plag;TSN;Progpedia19;TSN;93.54838709677419
gpt-38.java;gpt-49.java;Plag-Plag;TSN;Progpedia19;TSN;92.65536723163842
gpt-1.java;gpt-49.java;Plag-Plag;TSN;Progpedia19;TSN;92.65536723163842
gpt-5.java;gpt-48.java;Plag-Plag;TSN;Progpedia19;TSN;91.11111111111111
gpt-38.java;gpt-19.java;Plag-Plag;TSN;Progpedia19;TSN;90.05847953216374
gpt-1.java;gpt-19.java;Plag-Plag;TSN;Progpedia19;TSN;90.05847953216374
gpt-37.java;gpt-47.java;Plag-Plag;TSN;Progpedia19;TSN;86.77248677248677
gpt-16.java;gpt-18.java;Plag-Plag;TSN;Progpedia19;TSN;86.06060606060606
gpt-39.java;gpt-47.java;Plag-Plag;TSN;Progpedia19;TSN;85.56149732620321
gpt-47.java;gpt-31.java;Plag-Plag;TSN;Progpedia19;TSN;84.1025641025641
gpt-19.java;gpt-49.java;Plag-Plag;TSN;Progpedia19;TSN;83.14606741573034
gpt-19.java;gpt-7.java;Plag-Plag;TSN;Progpedia19;TSN;82.68156424581005
gpt-38.java;gpt-7.java;Plag-Plag;TSN;Progpedia19;TSN;82.02247191011236
gpt-1.java;gpt-7.java;Plag-Plag;TSN;Progpedia19;TSN;82.02247191011236
gpt-3.java;gpt-23.java;Plag-Plag;TSN;Progpedia19;TSN;81.81818181818183
gpt-2.java;gpt-47.java;Plag-Plag;TSN;Progpedia19;TSN;81.72043010752688
gpt-7.java;gpt-48.java;Plag-Plag;TSN;Progpedia19;TSN;81.28342245989305
gpt-19.java;gpt-5.java;Plag-Plag;TSN;Progpedia19;TSN;80.23255813953489
gpt-33.java;gpt-44.java;Plag-Plag;TSN;Progpedia19;TSN;80.18433179723502
gpt-11.java;gpt-31.java;Plag-Plag;TSN;Progpedia19;TSN;78.75647668393782
gpt-17.java;gpt-47.java;Plag-Plag;TSN;Progpedia19;TSN;74.31693989071039
