first;second;tupleType;plagType;plagTypeGroup;tool;similarity
subm130;subm97;Original-Original;Base;Progpedia19;Base;26.89655172413793
subm44;subm193;Original-Original;Base;Progpedia19;Base;26.060606060606062
subm183;subm191;Original-Original;Base;Progpedia19;Base;25.733634311512414
subm130;subm115;Original-Original;Base;Progpedia19;Base;24.22145328719723
subm130;subm135;Original-Original;Base;Progpedia19;Base;23.92638036809816
subm109;plag-subm109;Plag-Original;Base;Progpedia19;Base;23.696682464454977
subm5;plag-subm5;Plag-Original;Base;Progpedia19;Base;22.727272727272727
subm195;subm44;Original-Original;Base;Progpedia19;Base;22.006472491909385
subm201;subm191;Original-Original;Base;Progpedia19;Base;21.0
subm44;subm136;Original-Original;Base;Progpedia19;Base;20.8
subm31;subm44;Original-Original;Base;Progpedia19;Base;20.74074074074074
subm0;subm44;Original-Original;Base;Progpedia19;Base;20.394736842105264
subm130;subm201;Original-Original;Base;Progpedia19;Base;19.867549668874172
subm31;subm135;Original-Original;Base;Progpedia19;Base;18.892508143322477
subm130;subm195;Original-Original;Base;Progpedia19;Base;18.88111888111888
subm201;subm198;Original-Original;Base;Progpedia19;Base;18.56763925729443
subm13;subm135;Original-Original;Base;Progpedia19;Base;18.404907975460123
subm100;subm130;Original-Original;Base;Progpedia19;Base;18.2648401826484
subm130;subm44;Original-Original;Base;Progpedia19;Base;17.99307958477509
subm13;subm201;Original-Original;Base;Progpedia19;Base;17.880794701986755
subm31;subm13;Original-Original;Base;Progpedia19;Base;17.813765182186234
subm13;subm193;Original-Original;Base;Progpedia19;Base;17.58957654723127
subm156;subm135;Original-Original;Base;Progpedia19;Base;17.25067385444744
subm13;subm198;Original-Original;Base;Progpedia19;Base;17.008797653958943
subm44;subm183;Original-Original;Base;Progpedia19;Base;16.304347826086957
subm33;subm31;Original-Original;Base;Progpedia19;Base;16.289592760180994
subm193;subm198;Original-Original;Base;Progpedia19;Base;16.230366492146597
subm188;plag-subm188;Plag-Original;Base;Progpedia19;Base;15.81196581196581
subm33;subm44;Original-Original;Base;Progpedia19;Base;15.209125475285171
subm193;plag-subm193;Plag-Original;Base;Progpedia19;Base;15.165876777251185
subm13;subm129;Original-Original;Base;Progpedia19;Base;15.09433962264151
subm115;plag-subm115;Plag-Original;Base;Progpedia19;Base;15.0
subm196;subm109;Original-Original;Base;Progpedia19;Base;14.928649835345773
subm156;subm136;Original-Original;Base;Progpedia19;Base;14.609571788413097
subm201;subm193;Original-Original;Base;Progpedia19;Base;14.577259475218659
subm44;subm95;Original-Original;Base;Progpedia19;Base;14.52513966480447
subm33;subm97;Original-Original;Base;Progpedia19;Base;14.393939393939394
subm135;subm198;Original-Original;Base;Progpedia19;Base;13.96508728179551
subm44;subm129;Original-Original;Base;Progpedia19;Base;13.870246085011187
subm116;subm201;Original-Original;Base;Progpedia19;Base;13.77049180327869
subm116;subm115;Original-Original;Base;Progpedia19;Base;13.698630136986301
subm115;subm201;Original-Original;Base;Progpedia19;Base;13.538461538461538
subm116;plag-subm116;Plag-Original;Base;Progpedia19;Base;13.450292397660817
subm31;subm201;Original-Original;Base;Progpedia19;Base;13.427561837455832
subm130;subm183;Original-Original;Base;Progpedia19;Base;13.333333333333334
subm31;subm5;Original-Original;Base;Progpedia19;Base;13.2013201320132
subm31;subm193;Original-Original;Base;Progpedia19;Base;13.194444444444445
subm201;subm183;Original-Original;Base;Progpedia19;Base;13.123359580052494
subm31;subm156;Original-Original;Base;Progpedia19;Base;13.013698630136986
subm116;subm97;Original-Original;Base;Progpedia19;Base;12.969283276450511
subm31;subm183;Original-Original;Base;Progpedia19;Base;12.883435582822086
subm195;subm193;Original-Original;Base;Progpedia19;Base;12.844036697247708
subm196;plag-subm196;Plag-Original;Base;Progpedia19;Base;12.78825995807128
subm198;subm191;Original-Original;Base;Progpedia19;Base;12.756264236902052
subm201;subm135;Original-Original;Base;Progpedia19;Base;12.70718232044199
subm193;subm5;Original-Original;Base;Progpedia19;Base;12.672176308539946
subm115;subm135;Original-Original;Base;Progpedia19;Base;12.607449856733524
subm97;subm135;Original-Original;Base;Progpedia19;Base;12.571428571428573
subm191;plag-subm191;Plag-Original;Base;Progpedia19;Base;12.544802867383511
subm156;plag-subm156;Plag-Original;Base;Progpedia19;Base;12.473118279569892
subm31;subm198;Original-Original;Base;Progpedia19;Base;12.422360248447205
subm147;subm195;Original-Original;Base;Progpedia19;Base;12.121212121212121
subm147;subm136;Original-Original;Base;Progpedia19;Base;12.121212121212121
subm13;plag-subm13;Plag-Original;Base;Progpedia19;Base;11.987381703470032
subm201;plag-subm201;Plag-Original;Base;Progpedia19;Base;11.793611793611793
subm0;subm135;Original-Original;Base;Progpedia19;Base;11.730205278592376
subm195;subm5;Original-Original;Base;Progpedia19;Base;11.695906432748536
subm44;subm201;Original-Original;Base;Progpedia19;Base;11.692307692307692
subm44;subm135;Original-Original;Base;Progpedia19;Base;11.461318051575931
subm0;subm95;Original-Original;Base;Progpedia19;Base;11.428571428571429
subm183;plag-subm183;Plag-Original;Base;Progpedia19;Base;11.428571428571429
subm31;subm136;Original-Original;Base;Progpedia19;Base;11.411411411411411
subm31;subm130;Original-Original;Base;Progpedia19;Base;11.336032388663968
subm5;subm136;Original-Original;Base;Progpedia19;Base;11.27450980392157
subm97;subm129;Original-Original;Base;Progpedia19;Base;11.160714285714286
subm115;subm196;Original-Original;Base;Progpedia19;Base;11.152416356877323
subm115;subm188;Original-Original;Base;Progpedia19;Base;11.143695014662756
subm44;subm5;Original-Original;Base;Progpedia19;Base;11.014492753623188
subm100;subm195;Original-Original;Base;Progpedia19;Base;10.87866108786611
subm147;subm5;Original-Original;Base;Progpedia19;Base;10.81081081081081
subm135;subm196;Original-Original;Base;Progpedia19;Base;10.782608695652174
subm44;subm156;Original-Original;Base;Progpedia19;Base;10.778443113772456
subm40;plag-subm40;Plag-Original;Base;Progpedia19;Base;10.682492581602373
subm33;subm191;Original-Original;Base;Progpedia19;Base;10.650887573964498
subm44;plag-subm44;Plag-Original;Base;Progpedia19;Base;10.610079575596817
subm95;subm129;Original-Original;Base;Progpedia19;Base;10.547667342799189
subm31;subm195;Original-Original;Base;Progpedia19;Base;10.486891385767791
subm129;plag-subm129;Plag-Original;Base;Progpedia19;Base;10.483870967741936
subm130;subm129;Original-Original;Base;Progpedia19;Base;10.377358490566039
subm191;subm109;Original-Original;Base;Progpedia19;Base;10.263157894736842
subm201;subm188;Original-Original;Base;Progpedia19;Base;10.16949152542373
subm201;subm196;Original-Original;Base;Progpedia19;Base;10.163339382940109
subm31;plag-subm31;Plag-Original;Base;Progpedia19;Base;10.108303249097473
subm33;subm198;Original-Original;Base;Progpedia19;Base;9.523809523809524
subm198;subm183;Original-Original;Base;Progpedia19;Base;9.523809523809524
subm135;subm129;Original-Original;Base;Progpedia19;Base;9.50413223140496
subm5;subm135;Original-Original;Base;Progpedia19;Base;9.424083769633508
subm135;plag-subm135;Plag-Original;Base;Progpedia19;Base;9.387755102040817
subm193;subm183;Original-Original;Base;Progpedia19;Base;9.32642487046632
subm156;subm198;Original-Original;Base;Progpedia19;Base;9.32642487046632
subm100;subm44;Original-Original;Base;Progpedia19;Base;9.090909090909092
subm95;subm136;Original-Original;Base;Progpedia19;Base;9.026128266033254
subm115;subm156;Original-Original;Base;Progpedia19;Base;8.982035928143713
subm5;subm183;Original-Original;Base;Progpedia19;Base;8.977556109725686
subm0;plag-subm0;Plag-Original;Base;Progpedia19;Base;8.96358543417367
subm129;subm196;Original-Original;Base;Progpedia19;Base;8.915304606240714
subm147;subm135;Original-Original;Base;Progpedia19;Base;8.902077151335313
subm44;subm198;Original-Original;Base;Progpedia19;Base;8.791208791208792
subm33;plag-subm33;Plag-Original;Base;Progpedia19;Base;8.527131782945736
subm100;plag-subm100;Plag-Original;Base;Progpedia19;Base;8.49056603773585
subm13;subm115;Original-Original;Base;Progpedia19;Base;8.304498269896193
subm13;subm130;Original-Original;Base;Progpedia19;Base;8.270676691729323
subm100;subm97;Original-Original;Base;Progpedia19;Base;8.23045267489712
subm100;subm13;Original-Original;Base;Progpedia19;Base;8.21917808219178
subm0;subm201;Original-Original;Base;Progpedia19;Base;8.201892744479496
