first;second;tupleType;plagType;plagTypeGroup;tool;similarity
subm193;plag-subm193;Plag-Original;Both;Progpedia19;Both;100.0
subm195;plag-subm195;Plag-Original;Both;Progpedia19;Both;100.0
subm44;plag-subm44;Plag-Original;Both;Progpedia19;Both;100.0
subm95;plag-subm95;Plag-Original;Both;Progpedia19;Both;100.0
subm147;plag-subm147;Plag-Original;Both;Progpedia19;Both;100.0
subm13;plag-subm13;Plag-Original;Both;Progpedia19;Both;100.0
subm188;plag-subm188;Plag-Original;Both;Progpedia19;Both;100.0
subm109;plag-subm109;Plag-Original;Both;Progpedia19;Both;100.0
subm201;plag-subm201;Plag-Original;Both;Progpedia19;Both;100.0
subm129;plag-subm129;Plag-Original;Both;Progpedia19;Both;100.0
subm5;plag-subm5;Plag-Original;Both;Progpedia19;Both;100.0
subm156;plag-subm156;Plag-Original;Both;Progpedia19;Both;100.0
subm0;plag-subm0;Plag-Original;Both;Progpedia19;Both;100.0
subm196;plag-subm196;Plag-Original;Both;Progpedia19;Both;100.0
subm198;plag-subm198;Plag-Original;Both;Progpedia19;Both;100.0
subm136;plag-subm136;Plag-Original;Both;Progpedia19;Both;100.0
subm135;plag-subm135;Plag-Original;Both;Progpedia19;Both;100.0
subm116;plag-subm116;Plag-Original;Both;Progpedia19;Both;100.0
subm183;plag-subm183;Plag-Original;Both;Progpedia19;Both;100.0
subm31;plag-subm31;Plag-Original;Both;Progpedia19;Both;100.0
subm33;plag-subm33;Plag-Original;Both;Progpedia19;Both;100.0
subm40;plag-subm40;Plag-Original;Both;Progpedia19;Both;100.0
subm191;plag-subm191;Plag-Original;Both;Progpedia19;Both;99.78308026030369
subm115;plag-subm115;Plag-Original;Both;Progpedia19;Both;99.6742671009772
subm130;plag-subm130;Plag-Original;Both;Progpedia19;Both;99.625468164794
subm100;plag-subm100;Plag-Original;Both;Progpedia19;Both;99.42196531791907
subm97;plag-subm97;Plag-Original;Both;Progpedia19;Both;98.10126582278481
subm130;subm97;Original-Original;Both;Progpedia19;Both;55.47445255474452
subm31;subm13;Original-Original;Both;Progpedia19;Both;55.41125541125541
subm130;subm135;Original-Original;Both;Progpedia19;Both;53.333333333333336
subm44;subm201;Original-Original;Both;Progpedia19;Both;41.07744107744108
subm44;subm193;Original-Original;Both;Progpedia19;Both;38.095238095238095
subm33;subm0;Original-Original;Both;Progpedia19;Both;37.65690376569037
subm33;subm31;Original-Original;Both;Progpedia19;Both;37.2093023255814
subm31;subm130;Original-Original;Both;Progpedia19;Both;36.82008368200837
subm31;subm44;Original-Original;Both;Progpedia19;Both;36.15384615384615
subm13;subm198;Original-Original;Both;Progpedia19;Both;35.25835866261398
subm0;subm44;Original-Original;Both;Progpedia19;Both;34.602076124567475
subm97;subm135;Original-Original;Both;Progpedia19;Both;34.104046242774565
subm44;subm97;Original-Original;Both;Progpedia19;Both;33.116883116883116
subm31;subm0;Original-Original;Both;Progpedia19;Both;32.8125
subm33;subm130;Original-Original;Both;Progpedia19;Both;29.955947136563875
subm183;subm191;Original-Original;Both;Progpedia19;Both;29.74828375286041
subm13;subm135;Original-Original;Both;Progpedia19;Both;29.677419354838708
subm13;subm129;Original-Original;Both;Progpedia19;Both;28.502415458937197
subm44;subm183;Original-Original;Both;Progpedia19;Both;28.412256267409468
subm100;subm195;Original-Original;Both;Progpedia19;Both;28.07017543859649
subm201;subm191;Original-Original;Both;Progpedia19;Both;26.735218508997427
subm115;subm201;Original-Original;Both;Progpedia19;Both;26.666666666666668
subm33;subm198;Original-Original;Both;Progpedia19;Both;26.490066225165563
subm33;subm97;Original-Original;Both;Progpedia19;Both;26.400000000000002
subm130;subm44;Original-Original;Both;Progpedia19;Both;26.24113475177305
subm33;subm44;Original-Original;Both;Progpedia19;Both;25.53191489361702
subm97;subm193;Original-Original;Both;Progpedia19;Both;24.922118380062305
subm13;subm193;Original-Original;Both;Progpedia19;Both;24.666666666666668
subm130;subm115;Original-Original;Both;Progpedia19;Both;24.475524475524477
subm97;subm156;Original-Original;Both;Progpedia19;Both;23.92638036809816
subm44;subm129;Original-Original;Both;Progpedia19;Both;22.377622377622377
subm130;subm201;Original-Original;Both;Progpedia19;Both;21.92691029900332
subm5;subm136;Original-Original;Both;Progpedia19;Both;21.882951653944023
subm31;subm195;Original-Original;Both;Progpedia19;Both;21.875
subm201;subm183;Original-Original;Both;Progpedia19;Both;21.808510638297875
subm115;subm191;Original-Original;Both;Progpedia19;Both;21.487603305785125
subm193;subm135;Original-Original;Both;Progpedia19;Both;21.38728323699422
subm33;subm135;Original-Original;Both;Progpedia19;Both;21.305841924398624
subm44;subm136;Original-Original;Both;Progpedia19;Both;20.8
subm193;subm95;Original-Original;Both;Progpedia19;Both;20.555555555555554
subm0;subm97;Original-Original;Both;Progpedia19;Both;19.93127147766323
subm97;subm95;Original-Original;Both;Progpedia19;Both;19.825072886297377
subm183;subm129;Original-Original;Both;Progpedia19;Both;19.583333333333332
subm130;subm195;Original-Original;Both;Progpedia19;Both;19.58041958041958
subm31;subm156;Original-Original;Both;Progpedia19;Both;19.310344827586206
subm196;subm109;Original-Original;Both;Progpedia19;Both;19.24778761061947
subm188;subm136;Original-Original;Both;Progpedia19;Both;19.047619047619047
subm31;subm135;Original-Original;Both;Progpedia19;Both;18.892508143322477
subm201;subm198;Original-Original;Both;Progpedia19;Both;18.666666666666668
subm13;subm0;Original-Original;Both;Progpedia19;Both;18.587360594795538
subm188;subm5;Original-Original;Both;Progpedia19;Both;18.487394957983195
subm195;subm193;Original-Original;Both;Progpedia19;Both;18.471337579617835
subm193;subm156;Original-Original;Both;Progpedia19;Both;18.34319526627219
subm100;subm130;Original-Original;Both;Progpedia19;Both;18.2648401826484
subm97;subm201;Original-Original;Both;Progpedia19;Both;18.125
subm195;subm5;Original-Original;Both;Progpedia19;Both;17.91044776119403
subm44;subm135;Original-Original;Both;Progpedia19;Both;17.765042979942695
