first;second;tupleType;plagType;plagTypeGroup;tool;similarity
subm201;plag-subm201;Plag-Original;SMM;Progpedia19;SMM;67.2566371681416
subm0;plag-subm0;Plag-Original;SMM;Progpedia19;SMM;62.98701298701299
subm130;subm97;Original-Original;SMM;Progpedia19;SMM;59.12408759124088
subm193;plag-subm193;Plag-Original;SMM;Progpedia19;SMM;58.620689655172406
subm95;plag-subm95;Plag-Original;SMM;Progpedia19;SMM;58.44748858447488
subm5;plag-subm5;Plag-Original;SMM;Progpedia19;SMM;55.529411764705884
subm31;subm13;Original-Original;SMM;Progpedia19;SMM;54.93562231759657
subm130;subm135;Original-Original;SMM;Progpedia19;SMM;54.662379421221864
subm33;plag-subm33;Plag-Original;SMM;Progpedia19;SMM;54.46428571428571
subm195;plag-subm195;Plag-Original;SMM;Progpedia19;SMM;48.231511254019296
subm97;plag-subm97;Plag-Original;SMM;Progpedia19;SMM;47.647058823529406
subm13;subm198;Original-Original;SMM;Progpedia19;SMM;40.97859327217125
subm196;plag-subm196;Plag-Original;SMM;Progpedia19;SMM;40.094899169632264
subm44;plag-subm44;Plag-Original;SMM;Progpedia19;SMM;38.80597014925373
subm183;subm191;Original-Original;SMM;Progpedia19;SMM;38.160919540229884
subm33;subm31;Original-Original;SMM;Progpedia19;SMM;38.139534883720934
subm44;subm97;Original-Original;SMM;Progpedia19;SMM;37.62376237623762
subm116;plag-subm116;Plag-Original;SMM;Progpedia19;SMM;37.37704918032787
subm31;subm44;Original-Original;SMM;Progpedia19;SMM;36.92307692307693
subm31;subm130;Original-Original;SMM;Progpedia19;SMM;36.82008368200837
subm136;plag-subm136;Plag-Original;SMM;Progpedia19;SMM;36.61971830985916
subm191;plag-subm191;Plag-Original;SMM;Progpedia19;SMM;35.5899419729207
subm31;plag-subm31;Plag-Original;SMM;Progpedia19;SMM;35.10204081632653
subm201;subm198;Original-Original;SMM;Progpedia19;SMM;34.5945945945946
subm0;subm44;Original-Original;SMM;Progpedia19;SMM;34.48275862068966
subm44;subm183;Original-Original;SMM;Progpedia19;SMM;33.98328690807799
subm129;plag-subm129;Plag-Original;SMM;Progpedia19;SMM;33.18777292576419
subm31;subm0;Original-Original;SMM;Progpedia19;SMM;32.8125
subm13;subm193;Original-Original;SMM;Progpedia19;SMM;32.432432432432435
subm109;plag-subm109;Plag-Original;SMM;Progpedia19;SMM;32.326530612244895
subm44;subm193;Original-Original;SMM;Progpedia19;SMM;31.746031746031743
subm115;plag-subm115;Plag-Original;SMM;Progpedia19;SMM;31.024930747922436
subm100;subm195;Original-Original;SMM;Progpedia19;SMM;30.8411214953271
subm100;plag-subm100;Plag-Original;SMM;Progpedia19;SMM;30.208333333333332
subm33;subm0;Original-Original;SMM;Progpedia19;SMM;30.125523012552303
subm97;subm135;Original-Original;SMM;Progpedia19;SMM;29.971181556195965
subm33;subm130;Original-Original;SMM;Progpedia19;SMM;29.955947136563875
subm135;plag-subm135;Plag-Original;SMM;Progpedia19;SMM;29.74828375286041
subm13;subm129;Original-Original;SMM;Progpedia19;SMM;29.04761904761905
subm13;plag-subm13;Plag-Original;SMM;Progpedia19;SMM;29.03225806451613
