first;second;tupleType;plagType;plagTypeGroup;tool;similarity
subm193;plag-subm193;Plag-Original;TSN;Progpedia19;TSN;100.0
subm195;plag-subm195;Plag-Original;TSN;Progpedia19;TSN;100.0
subm44;plag-subm44;Plag-Original;TSN;Progpedia19;TSN;100.0
subm95;plag-subm95;Plag-Original;TSN;Progpedia19;TSN;100.0
subm147;plag-subm147;Plag-Original;TSN;Progpedia19;TSN;100.0
subm13;plag-subm13;Plag-Original;TSN;Progpedia19;TSN;100.0
subm188;plag-subm188;Plag-Original;TSN;Progpedia19;TSN;100.0
subm109;plag-subm109;Plag-Original;TSN;Progpedia19;TSN;100.0
subm201;plag-subm201;Plag-Original;TSN;Progpedia19;TSN;100.0
subm129;plag-subm129;Plag-Original;TSN;Progpedia19;TSN;100.0
subm5;plag-subm5;Plag-Original;TSN;Progpedia19;TSN;100.0
subm156;plag-subm156;Plag-Original;TSN;Progpedia19;TSN;100.0
subm0;plag-subm0;Plag-Original;TSN;Progpedia19;TSN;100.0
subm196;plag-subm196;Plag-Original;TSN;Progpedia19;TSN;100.0
subm198;plag-subm198;Plag-Original;TSN;Progpedia19;TSN;100.0
subm136;plag-subm136;Plag-Original;TSN;Progpedia19;TSN;100.0
subm135;plag-subm135;Plag-Original;TSN;Progpedia19;TSN;100.0
subm116;plag-subm116;Plag-Original;TSN;Progpedia19;TSN;100.0
subm183;plag-subm183;Plag-Original;TSN;Progpedia19;TSN;100.0
subm31;plag-subm31;Plag-Original;TSN;Progpedia19;TSN;100.0
subm33;plag-subm33;Plag-Original;TSN;Progpedia19;TSN;100.0
subm40;plag-subm40;Plag-Original;TSN;Progpedia19;TSN;100.0
subm191;plag-subm191;Plag-Original;TSN;Progpedia19;TSN;99.78308026030369
subm115;plag-subm115;Plag-Original;TSN;Progpedia19;TSN;99.6742671009772
subm130;plag-subm130;Plag-Original;TSN;Progpedia19;TSN;99.625468164794
subm100;plag-subm100;Plag-Original;TSN;Progpedia19;TSN;99.42196531791907
subm97;plag-subm97;Plag-Original;TSN;Progpedia19;TSN;98.10126582278481
subm130;subm97;Original-Original;TSN;Progpedia19;TSN;26.89655172413793
subm44;subm193;Original-Original;TSN;Progpedia19;TSN;26.461538461538463
subm13;subm193;Original-Original;TSN;Progpedia19;TSN;24.666666666666668
subm130;subm115;Original-Original;TSN;Progpedia19;TSN;24.475524475524477
subm130;subm135;Original-Original;TSN;Progpedia19;TSN;23.31288343558282
subm130;subm201;Original-Original;TSN;Progpedia19;TSN;21.92691029900332
subm201;subm191;Original-Original;TSN;Progpedia19;TSN;21.105527638190953
subm183;subm191;Original-Original;TSN;Progpedia19;TSN;20.81447963800905
subm44;subm136;Original-Original;TSN;Progpedia19;TSN;20.8
subm0;subm44;Original-Original;TSN;Progpedia19;TSN;20.394736842105264
subm31;subm44;Original-Original;TSN;Progpedia19;TSN;20.0
subm130;subm195;Original-Original;TSN;Progpedia19;TSN;19.58041958041958
subm31;subm156;Original-Original;TSN;Progpedia19;TSN;19.310344827586206
subm31;subm135;Original-Original;TSN;Progpedia19;TSN;18.892508143322477
subm201;subm198;Original-Original;TSN;Progpedia19;TSN;18.666666666666668
subm100;subm130;Original-Original;TSN;Progpedia19;TSN;18.2648401826484
subm31;subm13;Original-Original;TSN;Progpedia19;TSN;17.959183673469386
subm44;subm135;Original-Original;TSN;Progpedia19;TSN;17.765042979942695
subm156;subm135;Original-Original;TSN;Progpedia19;TSN;17.344173441734416
subm196;subm109;Original-Original;TSN;Progpedia19;TSN;17.199558985667036
subm195;subm44;Original-Original;TSN;Progpedia19;TSN;16.828478964401295
subm193;subm198;Original-Original;TSN;Progpedia19;TSN;16.48936170212766
subm5;subm136;Original-Original;TSN;Progpedia19;TSN;16.176470588235293
subm44;subm183;Original-Original;TSN;Progpedia19;TSN;15.760869565217392
subm201;subm193;Original-Original;TSN;Progpedia19;TSN;15.43026706231454
subm13;subm201;Original-Original;TSN;Progpedia19;TSN;15.384615384615385
subm13;subm129;Original-Original;TSN;Progpedia19;TSN;15.347721822541965
subm33;subm44;Original-Original;TSN;Progpedia19;TSN;15.209125475285171
subm156;subm136;Original-Original;TSN;Progpedia19;TSN;14.683544303797468
subm44;subm95;Original-Original;TSN;Progpedia19;TSN;14.565826330532214
subm33;subm97;Original-Original;TSN;Progpedia19;TSN;14.393939393939394
subm97;subm135;Original-Original;TSN;Progpedia19;TSN;14.285714285714285
subm44;subm97;Original-Original;TSN;Progpedia19;TSN;14.057507987220447
subm44;subm129;Original-Original;TSN;Progpedia19;TSN;14.027149321266968
subm116;subm115;Original-Original;TSN;Progpedia19;TSN;13.937282229965156
subm116;subm201;Original-Original;TSN;Progpedia19;TSN;13.90728476821192
subm31;subm5;Original-Original;TSN;Progpedia19;TSN;13.861386138613863
subm201;subm183;Original-Original;TSN;Progpedia19;TSN;13.684210526315791
subm44;subm201;Original-Original;TSN;Progpedia19;TSN;13.580246913580247
subm31;subm201;Original-Original;TSN;Progpedia19;TSN;13.47517730496454
subm31;subm193;Original-Original;TSN;Progpedia19;TSN;13.427561837455832
subm116;subm193;Original-Original;TSN;Progpedia19;TSN;13.2013201320132
subm116;subm97;Original-Original;TSN;Progpedia19;TSN;13.058419243986256
subm195;subm193;Original-Original;TSN;Progpedia19;TSN;13.043478260869565
subm13;subm135;Original-Original;TSN;Progpedia19;TSN;12.962962962962962
subm193;subm5;Original-Original;TSN;Progpedia19;TSN;12.849162011173185
subm156;subm188;Original-Original;TSN;Progpedia19;TSN;12.849162011173185
subm130;subm183;Original-Original;TSN;Progpedia19;TSN;12.753623188405797
subm115;subm135;Original-Original;TSN;Progpedia19;TSN;12.716763005780345
subm31;subm198;Original-Original;TSN;Progpedia19;TSN;12.461059190031152
subm198;subm191;Original-Original;TSN;Progpedia19;TSN;12.356979405034325
subm31;subm183;Original-Original;TSN;Progpedia19;TSN;12.269938650306749
subm147;subm195;Original-Original;TSN;Progpedia19;TSN;12.121212121212121
subm147;subm136;Original-Original;TSN;Progpedia19;TSN;12.121212121212121
subm0;subm135;Original-Original;TSN;Progpedia19;TSN;11.730205278592376
subm195;subm5;Original-Original;TSN;Progpedia19;TSN;11.695906432748536
subm0;subm95;Original-Original;TSN;Progpedia19;TSN;11.461318051575931
subm147;subm5;Original-Original;TSN;Progpedia19;TSN;11.411411411411411
subm31;subm136;Original-Original;TSN;Progpedia19;TSN;11.411411411411411
subm115;subm188;Original-Original;TSN;Progpedia19;TSN;11.343283582089553
subm31;subm130;Original-Original;TSN;Progpedia19;TSN;11.336032388663968
subm97;subm129;Original-Original;TSN;Progpedia19;TSN;11.286681715575622
subm115;subm196;Original-Original;TSN;Progpedia19;TSN;11.278195488721805
subm13;subm198;Original-Original;TSN;Progpedia19;TSN;11.242603550295858
subm201;subm135;Original-Original;TSN;Progpedia19;TSN;11.080332409972298
subm130;subm44;Original-Original;TSN;Progpedia19;TSN;11.072664359861593
subm44;subm5;Original-Original;TSN;Progpedia19;TSN;11.014492753623188
subm44;subm156;Original-Original;TSN;Progpedia19;TSN;10.843373493975903
subm97;subm183;Original-Original;TSN;Progpedia19;TSN;10.840108401084011
subm33;subm191;Original-Original;TSN;Progpedia19;TSN;10.682492581602373
subm95;subm129;Original-Original;TSN;Progpedia19;TSN;10.677618069815194
subm130;subm129;Original-Original;TSN;Progpedia19;TSN;10.501193317422434
subm31;subm195;Original-Original;TSN;Progpedia19;TSN;10.486891385767791
subm201;subm156;Original-Original;TSN;Progpedia19;TSN;10.465116279069768
subm191;subm109;Original-Original;TSN;Progpedia19;TSN;10.29023746701847
subm201;subm188;Original-Original;TSN;Progpedia19;TSN;10.285714285714285
subm100;subm195;Original-Original;TSN;Progpedia19;TSN;10.0418410041841
subm115;subm198;Original-Original;TSN;Progpedia19;TSN;10.0
subm5;subm135;Original-Original;TSN;Progpedia19;TSN;9.947643979057592
subm135;subm129;Original-Original;TSN;Progpedia19;TSN;9.603340292275574
subm33;subm198;Original-Original;TSN;Progpedia19;TSN;9.554140127388536
subm135;subm198;Original-Original;TSN;Progpedia19;TSN;9.5
subm156;subm198;Original-Original;TSN;Progpedia19;TSN;9.39947780678851
subm183;subm196;Original-Original;TSN;Progpedia19;TSN;9.137055837563452
subm115;subm156;Original-Original;TSN;Progpedia19;TSN;9.118541033434651
subm95;subm136;Original-Original;TSN;Progpedia19;TSN;9.047619047619047
subm129;subm196;Original-Original;TSN;Progpedia19;TSN;9.022556390977442
subm5;subm183;Original-Original;TSN;Progpedia19;TSN;8.977556109725686
subm147;subm135;Original-Original;TSN;Progpedia19;TSN;8.902077151335313
subm44;subm198;Original-Original;TSN;Progpedia19;TSN;8.81542699724518
subm13;subm115;Original-Original;TSN;Progpedia19;TSN;8.450704225352112
subm193;subm135;Original-Original;TSN;Progpedia19;TSN;8.287292817679557
subm100;subm44;Original-Original;TSN;Progpedia19;TSN;8.264462809917356
subm100;subm97;Original-Original;TSN;Progpedia19;TSN;8.23045267489712
subm0;subm201;Original-Original;TSN;Progpedia19;TSN;8.227848101265822
subm33;subm31;Original-Original;TSN;Progpedia19;TSN;8.144796380090497
subm33;subm201;Original-Original;TSN;Progpedia19;TSN;8.0
subm130;subm193;Original-Original;TSN;Progpedia19;TSN;7.9470198675496695
subm136;subm129;Original-Original;TSN;Progpedia19;TSN;7.920792079207921
subm115;subm191;Original-Original;TSN;Progpedia19;TSN;7.83289817232376
subm33;subm156;Original-Original;TSN;Progpedia19;TSN;7.773851590106007
subm130;subm156;Original-Original;TSN;Progpedia19;TSN;7.766990291262135
subm31;subm147;Original-Original;TSN;Progpedia19;TSN;7.751937984496124
subm100;subm0;Original-Original;TSN;Progpedia19;TSN;7.6923076923076925
subm135;subm196;Original-Original;TSN;Progpedia19;TSN;7.6923076923076925
subm31;subm0;Original-Original;TSN;Progpedia19;TSN;7.633587786259542
subm183;subm129;Original-Original;TSN;Progpedia19;TSN;7.630522088353414
subm31;subm95;Original-Original;TSN;Progpedia19;TSN;7.6190476190476195
subm33;subm13;Original-Original;TSN;Progpedia19;TSN;7.563025210084033
subm130;subm116;Original-Original;TSN;Progpedia19;TSN;7.490636704119851
subm130;subm5;Original-Original;TSN;Progpedia19;TSN;7.453416149068323
subm116;subm196;Original-Original;TSN;Progpedia19;TSN;7.4074074074074066
subm13;subm147;Original-Original;TSN;Progpedia19;TSN;7.2727272727272725
subm97;subm156;Original-Original;TSN;Progpedia19;TSN;7.207207207207207
subm130;subm95;Original-Original;TSN;Progpedia19;TSN;7.18562874251497
subm33;subm147;Original-Original;TSN;Progpedia19;TSN;7.171314741035857
subm100;subm201;Original-Original;TSN;Progpedia19;TSN;7.086614173228346
subm130;subm198;Original-Original;TSN;Progpedia19;TSN;7.0588235294117645
subm33;subm0;Original-Original;TSN;Progpedia19;TSN;7.0588235294117645
subm40;subm109;Original-Original;TSN;Progpedia19;TSN;7.051282051282051
subm193;subm156;Original-Original;TSN;Progpedia19;TSN;6.956521739130435
subm13;subm97;Original-Original;TSN;Progpedia19;TSN;6.944444444444445
subm0;subm193;Original-Original;TSN;Progpedia19;TSN;6.940063091482649
subm116;subm183;Original-Original;TSN;Progpedia19;TSN;6.9364161849710975
subm129;subm109;Original-Original;TSN;Progpedia19;TSN;6.87960687960688
subm147;subm156;Original-Original;TSN;Progpedia19;TSN;6.875000000000001
subm13;subm5;Original-Original;TSN;Progpedia19;TSN;6.875000000000001
subm13;subm130;Original-Original;TSN;Progpedia19;TSN;6.8181818181818175
subm195;subm95;Original-Original;TSN;Progpedia19;TSN;6.779661016949152
subm147;subm44;Original-Original;TSN;Progpedia19;TSN;6.666666666666667
subm0;subm195;Original-Original;TSN;Progpedia19;TSN;6.64451827242525
subm116;subm191;Original-Original;TSN;Progpedia19;TSN;6.593406593406594
subm201;subm196;Original-Original;TSN;Progpedia19;TSN;6.581352833638025
subm13;subm156;Original-Original;TSN;Progpedia19;TSN;6.514657980456026
subm31;subm129;Original-Original;TSN;Progpedia19;TSN;6.5
subm156;subm196;Original-Original;TSN;Progpedia19;TSN;6.486486486486487
subm195;subm136;Original-Original;TSN;Progpedia19;TSN;6.451612903225806
subm13;subm0;Original-Original;TSN;Progpedia19;TSN;6.451612903225806
subm147;subm95;Original-Original;TSN;Progpedia19;TSN;6.3768115942028984
subm130;subm188;Original-Original;TSN;Progpedia19;TSN;6.349206349206349
subm13;subm195;Original-Original;TSN;Progpedia19;TSN;6.338028169014084
subm201;subm40;Original-Original;TSN;Progpedia19;TSN;6.25
subm130;subm136;Original-Original;TSN;Progpedia19;TSN;6.25
subm191;subm196;Original-Original;TSN;Progpedia19;TSN;6.239737274220033
subm115;subm201;Original-Original;TSN;Progpedia19;TSN;6.230529595015576
subm0;subm198;Original-Original;TSN;Progpedia19;TSN;6.197183098591549
subm116;subm5;Original-Original;TSN;Progpedia19;TSN;6.191950464396285
subm156;subm183;Original-Original;TSN;Progpedia19;TSN;6.185567010309279
subm100;subm198;Original-Original;TSN;Progpedia19;TSN;6.143344709897611
subm116;subm135;Original-Original;TSN;Progpedia19;TSN;6.116207951070336
subm31;subm188;Original-Original;TSN;Progpedia19;TSN;6.081081081081082
subm33;subm5;Original-Original;TSN;Progpedia19;TSN;6.081081081081082
subm129;subm40;Original-Original;TSN;Progpedia19;TSN;6.051873198847262
subm13;subm95;Original-Original;TSN;Progpedia19;TSN;6.024096385542169
subm33;subm135;Original-Original;TSN;Progpedia19;TSN;6.0
subm0;subm191;Original-Original;TSN;Progpedia19;TSN;5.82010582010582
subm115;subm97;Original-Original;TSN;Progpedia19;TSN;5.806451612903226
subm116;subm156;Original-Original;TSN;Progpedia19;TSN;5.806451612903226
subm147;subm198;Original-Original;TSN;Progpedia19;TSN;5.698005698005698
subm195;subm201;Original-Original;TSN;Progpedia19;TSN;5.607476635514018
subm115;subm109;Original-Original;TSN;Progpedia19;TSN;5.580029368575625
subm0;subm156;Original-Original;TSN;Progpedia19;TSN;5.555555555555555
subm97;subm201;Original-Original;TSN;Progpedia19;TSN;5.538461538461538
subm97;subm193;Original-Original;TSN;Progpedia19;TSN;5.521472392638037
subm147;subm188;Original-Original;TSN;Progpedia19;TSN;5.521472392638037
subm156;subm5;Original-Original;TSN;Progpedia19;TSN;5.47945205479452
subm195;subm129;Original-Original;TSN;Progpedia19;TSN;5.466970387243736
subm198;subm109;Original-Original;TSN;Progpedia19;TSN;5.442176870748299
subm135;subm183;Original-Original;TSN;Progpedia19;TSN;5.432098765432099
subm115;subm136;Original-Original;TSN;Progpedia19;TSN;5.376344086021505
subm0;subm5;Original-Original;TSN;Progpedia19;TSN;5.341246290801187
subm195;subm135;Original-Original;TSN;Progpedia19;TSN;5.202312138728324
subm201;subm109;Original-Original;TSN;Progpedia19;TSN;5.172413793103448
subm193;subm136;Original-Original;TSN;Progpedia19;TSN;5.154639175257731
subm13;subm136;Original-Original;TSN;Progpedia19;TSN;5.142857142857142
subm193;subm188;Original-Original;TSN;Progpedia19;TSN;5.128205128205128
subm5;subm95;Original-Original;TSN;Progpedia19;TSN;5.128205128205128
subm156;subm109;Original-Original;TSN;Progpedia19;TSN;5.113636363636364
subm135;subm95;Original-Original;TSN;Progpedia19;TSN;5.0761421319796955
subm195;subm198;Original-Original;TSN;Progpedia19;TSN;5.0
subm130;subm191;Original-Original;TSN;Progpedia19;TSN;4.958677685950414
subm97;subm198;Original-Original;TSN;Progpedia19;TSN;4.945054945054945
subm0;subm136;Original-Original;TSN;Progpedia19;TSN;4.904632152588556
subm188;subm191;Original-Original;TSN;Progpedia19;TSN;4.854368932038835
subm188;subm5;Original-Original;TSN;Progpedia19;TSN;4.8517520215633425
subm100;subm129;Original-Original;TSN;Progpedia19;TSN;4.838709677419355
subm97;subm136;Original-Original;TSN;Progpedia19;TSN;4.787234042553192
subm156;subm95;Original-Original;TSN;Progpedia19;TSN;4.774535809018567
subm193;subm183;Original-Original;TSN;Progpedia19;TSN;4.724409448818897
subm188;subm95;Original-Original;TSN;Progpedia19;TSN;4.699738903394255
subm188;subm198;Original-Original;TSN;Progpedia19;TSN;4.627249357326478
subm188;subm183;Original-Original;TSN;Progpedia19;TSN;4.568527918781726
subm115;subm129;Original-Original;TSN;Progpedia19;TSN;4.555808656036446
subm5;subm198;Original-Original;TSN;Progpedia19;TSN;4.545454545454546
subm198;subm196;Original-Original;TSN;Progpedia19;TSN;4.436860068259386
subm135;subm136;Original-Original;TSN;Progpedia19;TSN;4.368932038834951
subm116;subm129;Original-Original;TSN;Progpedia19;TSN;4.285714285714286
subm198;subm136;Original-Original;TSN;Progpedia19;TSN;4.225352112676056
subm5;subm129;Original-Original;TSN;Progpedia19;TSN;4.2105263157894735
