first;second;tupleType;plagType;plagTypeGroup;tool;similarity
gpt10-subm98;subm98;Plag-Original;Base;Progpedia56;Base;98.4251968503937
gpt10-subm7;subm7;Plag-Original;Base;Progpedia56;Base;97.6
gpt3-subm98;subm98;Plag-Original;Base;Progpedia56;Base;96.06299212598425
gpt10-subm20;subm20;Plag-Original;Base;Progpedia56;Base;94.76439790575915
gpt9-subm63;subm63;Plag-Original;Base;Progpedia56;Base;92.7536231884058
subm1;gpt13-subm1;Plag-Original;Base;Progpedia56;Base;92.5925925925926
subm98;gpt12-subm98;Plag-Original;Base;Progpedia56;Base;91.53846153846153
gpt5-subm98;subm98;Plag-Original;Base;Progpedia56;Base;88.8
gpt9-subm7;subm7;Plag-Original;Base;Progpedia56;Base;88.23529411764706
subm20;gpt7-subm20;Plag-Original;Base;Progpedia56;Base;87.84119106699751
gpt1-subm98;subm98;Plag-Original;Base;Progpedia56;Base;87.8048780487805
gpt9-subm1;subm1;Plag-Original;Base;Progpedia56;Base;87.5
gpt4-subm98;subm98;Plag-Original;Base;Progpedia56;Base;85.49019607843137
subm1;gpt8-subm1;Plag-Original;Base;Progpedia56;Base;85.02994011976048
gpt10-subm1;subm1;Plag-Original;Base;Progpedia56;Base;84.42906574394463
subm20;gpt8-subm20;Plag-Original;Base;Progpedia56;Base;81.9047619047619
gpt0-subm20;subm20;Plag-Original;Base;Progpedia56;Base;79.42857142857143
subm7;gpt7-subm7;Plag-Original;Base;Progpedia56;Base;78.59649122807018
gpt4-subm20;subm20;Plag-Original;Base;Progpedia56;Base;78.2122905027933
gpt10-subm63;subm63;Plag-Original;Base;Progpedia56;Base;77.6978417266187
gpt5-subm20;subm20;Plag-Original;Base;Progpedia56;Base;77.58620689655173
gpt12-subm20;subm20;Plag-Original;Base;Progpedia56;Base;75.40983606557377
gpt9-subm20;subm20;Plag-Original;Base;Progpedia56;Base;73.5632183908046
subm63;gpt7-subm63;Plag-Original;Base;Progpedia56;Base;73.37662337662337
subm7;gpt12-subm7;Plag-Original;Base;Progpedia56;Base;73.22834645669292
subm7;gpt14-subm7;Plag-Original;Base;Progpedia56;Base;72.58687258687259
gpt0-subm98;subm98;Plag-Original;Base;Progpedia56;Base;72.37354085603113
gpt13-subm7;subm7;Plag-Original;Base;Progpedia56;Base;72.28915662650603
gpt3-subm1;subm1;Plag-Original;Base;Progpedia56;Base;72.11895910780669
gpt14-subm1;subm1;Plag-Original;Base;Progpedia56;Base;71.63120567375887
