first;second;tupleType;plagType;plagTypeGroup;tool;similarity
gpt3-subm98;subm98;Plag-Original;Both;Progpedia56;Both;100.0
subm20;gpt7-subm20;Plag-Original;Both;Progpedia56;Both;100.0
gpt9-subm63;subm63;Plag-Original;Both;Progpedia56;Both;100.0
gpt5-subm98;subm98;Plag-Original;Both;Progpedia56;Both;100.0
gpt1-subm98;subm98;Plag-Original;Both;Progpedia56;Both;100.0
subm63;gpt7-subm63;Plag-Original;Both;Progpedia56;Both;100.0
subm1;gpt8-subm1;Plag-Original;Both;Progpedia56;Both;100.0
gpt4-subm98;subm98;Plag-Original;Both;Progpedia56;Both;100.0
subm7;gpt8-subm7;Plag-Original;Both;Progpedia56;Both;100.0
subm20;gpt8-subm20;Plag-Original;Both;Progpedia56;Both;100.0
subm98;gpt8-subm98;Plag-Original;Both;Progpedia56;Both;100.0
gpt9-subm98;subm98;Plag-Original;Both;Progpedia56;Both;99.52606635071089
gpt10-subm98;subm98;Plag-Original;Both;Progpedia56;Both;98.4251968503937
gpt10-subm7;subm7;Plag-Original;Both;Progpedia56;Both;97.99196787148594
subm1;gpt13-subm1;Plag-Original;Both;Progpedia56;Both;95.51282051282051
gpt10-subm20;subm20;Plag-Original;Both;Progpedia56;Both;94.76439790575915
subm1;gpt7-subm1;Plag-Original;Both;Progpedia56;Both;94.0809968847352
gpt12-subm1;subm1;Plag-Original;Both;Progpedia56;Both;93.60000000000001
subm98;gpt7-subm98;Plag-Original;Both;Progpedia56;Both;92.60700389105058
gpt9-subm7;subm7;Plag-Original;Both;Progpedia56;Both;92.57641921397381
gpt0-subm98;subm98;Plag-Original;Both;Progpedia56;Both;92.56198347107438
subm98;gpt12-subm98;Plag-Original;Both;Progpedia56;Both;91.8918918918919
subm63;gpt8-subm63;Plag-Original;Both;Progpedia56;Both;91.54929577464789
gpt12-subm63;subm63;Plag-Original;Both;Progpedia56;Both;90.83969465648855
gpt13-subm7;subm7;Plag-Original;Both;Progpedia56;Both;90.0
gpt14-subm7;subm7;Plag-Original;Both;Progpedia56;Both;88.8
subm20;gpt14-subm20;Plag-Original;Both;Progpedia56;Both;88.48167539267016
subm7;gpt7-subm7;Plag-Original;Both;Progpedia56;Both;88.32116788321169
gpt0-subm20;subm20;Plag-Original;Both;Progpedia56;Both;87.76119402985074
gpt9-subm1;subm1;Plag-Original;Both;Progpedia56;Both;87.41258741258741
subm98;gpt13-subm98;Plag-Original;Both;Progpedia56;Both;86.71875
gpt2-subm98;subm98;Plag-Original;Both;Progpedia56;Both;85.94377510040161
gpt5-subm20;subm20;Plag-Original;Both;Progpedia56;Both;85.88235294117646
gpt9-subm20;subm20;Plag-Original;Both;Progpedia56;Both;85.18518518518519
gpt10-subm1;subm1;Plag-Original;Both;Progpedia56;Both;84.3205574912892
subm63;gpt13-subm63;Plag-Original;Both;Progpedia56;Both;84.13793103448276
gpt10-subm63;subm63;Plag-Original;Both;Progpedia56;Both;84.05797101449275
subm20;gpt13-subm20;Plag-Original;Both;Progpedia56;Both;83.06878306878306
gpt4-subm63;subm63;Plag-Original;Both;Progpedia56;Both;82.3076923076923
subm7;gpt12-subm7;Plag-Original;Both;Progpedia56;Both;80.95238095238095
gpt12-subm20;subm20;Plag-Original;Both;Progpedia56;Both;80.54794520547945
gpt4-subm20;subm20;Plag-Original;Both;Progpedia56;Both;79.3296089385475
gpt14-subm63;subm63;Plag-Original;Both;Progpedia56;Both;77.53623188405797
gpt14-subm98;subm98;Plag-Original;Both;Progpedia56;Both;75.1937984496124
gpt11-subm63;subm63;Plag-Original;Both;Progpedia56;Both;75.0
gpt6-subm98;subm98;Plag-Original;Both;Progpedia56;Both;74.8936170212766
gpt14-subm1;subm1;Plag-Original;Both;Progpedia56;Both;72.0
gpt3-subm1;subm1;Plag-Original;Both;Progpedia56;Both;71.91011235955057
gpt4-subm1;subm1;Plag-Original;Both;Progpedia56;Both;71.83673469387755
gpt2-subm20;subm20;Plag-Original;Both;Progpedia56;Both;70.63197026022306
gpt3-subm7;subm7;Plag-Original;Both;Progpedia56;Both;69.44444444444444
gpt5-subm7;subm7;Plag-Original;Both;Progpedia56;Both;69.02654867256636
gpt0-subm1;subm1;Plag-Original;Both;Progpedia56;Both;68.13186813186813
gpt11-subm98;subm98;Plag-Original;Both;Progpedia56;Both;67.72908366533864
gpt5-subm1;subm1;Plag-Original;Both;Progpedia56;Both;66.90140845070422
gpt11-subm7;subm7;Plag-Original;Both;Progpedia56;Both;63.41463414634146
gpt2-subm63;subm63;Plag-Original;Both;Progpedia56;Both;62.8099173553719
gpt11-subm1;subm1;Plag-Original;Both;Progpedia56;Both;62.758620689655174
gpt4-subm7;subm7;Plag-Original;Both;Progpedia56;Both;61.83574879227053
gpt5-subm63;subm63;Plag-Original;Both;Progpedia56;Both;59.77011494252874
gpt1-subm1;subm1;Plag-Original;Both;Progpedia56;Both;55.06072874493927
gpt3-subm20;subm20;Plag-Original;Both;Progpedia56;Both;53.41246290801187
gpt11-subm20;subm20;Plag-Original;Both;Progpedia56;Both;48.837209302325576
subm55;subm56;Original-Original;Both;Progpedia56;Both;45.0
subm63;gpt1-subm63;Plag-Original;Both;Progpedia56;Both;44.36619718309859
gpt2-subm7;subm7;Plag-Original;Both;Progpedia56;Both;43.83561643835616
subm56;subm33;Original-Original;Both;Progpedia56;Both;43.386243386243386
gpt1-subm20;subm20;Plag-Original;Both;Progpedia56;Both;42.244224422442244
subm98;subm25;Original-Original;Both;Progpedia56;Both;41.947565543071164
subm55;subm48;Original-Original;Both;Progpedia56;Both;41.05960264900662
gpt2-subm1;subm1;Plag-Original;Both;Progpedia56;Both;41.04477611940299
gpt6-subm63;subm63;Plag-Original;Both;Progpedia56;Both;40.963855421686745
gpt3-subm63;subm63;Plag-Original;Both;Progpedia56;Both;40.33613445378151
subm38;subm67;Original-Original;Both;Progpedia56;Both;40.0
subm56;subm85;Original-Original;Both;Progpedia56;Both;39.10614525139665
subm34;subm40;Original-Original;Both;Progpedia56;Both;37.95620437956204
subm55;subm33;Original-Original;Both;Progpedia56;Both;37.77777777777778
subm38;subm62;Original-Original;Both;Progpedia56;Both;35.4978354978355
subm85;subm63;Original-Original;Both;Progpedia56;Both;35.24229074889868
subm26;subm16;Original-Original;Both;Progpedia56;Both;33.62068965517241
gpt6-subm1;subm1;Plag-Original;Both;Progpedia56;Both;33.07692307692307
subm5;subm74;Original-Original;Both;Progpedia56;Both;32.69230769230769
subm33;subm11;Original-Original;Both;Progpedia56;Both;32.669322709163346
subm74;subm98;Original-Original;Both;Progpedia56;Both;32.61802575107296
gpt0-subm63;subm63;Plag-Original;Both;Progpedia56;Both;31.70731707317073
subm69;subm1;Original-Original;Both;Progpedia56;Both;31.40495867768595
subm34;subm38;Original-Original;Both;Progpedia56;Both;31.03448275862069
subm38;subm11;Original-Original;Both;Progpedia56;Both;30.89430894308943
subm55;subm25;Original-Original;Both;Progpedia56;Both;30.476190476190478
subm13;subm38;Original-Original;Both;Progpedia56;Both;30.337078651685395
subm56;subm7;Original-Original;Both;Progpedia56;Both;30.303030303030305
subm69;subm85;Original-Original;Both;Progpedia56;Both;30.16759776536313
subm55;subm67;Original-Original;Both;Progpedia56;Both;29.78723404255319
subm5;subm25;Original-Original;Both;Progpedia56;Both;29.629629629629626
subm13;subm69;Original-Original;Both;Progpedia56;Both;28.24858757062147
subm55;subm62;Original-Original;Both;Progpedia56;Both;28.125
subm38;subm9;Original-Original;Both;Progpedia56;Both;27.947598253275107
subm85;subm26;Original-Original;Both;Progpedia56;Both;27.722772277227726
subm34;subm56;Original-Original;Both;Progpedia56;Both;27.586206896551722
subm85;subm7;Original-Original;Both;Progpedia56;Both;26.851851851851855
subm26;subm58;Original-Original;Both;Progpedia56;Both;26.720647773279353
subm85;subm67;Original-Original;Both;Progpedia56;Both;26.41509433962264
subm56;subm62;Original-Original;Both;Progpedia56;Both;25.806451612903224
subm11;subm58;Original-Original;Both;Progpedia56;Both;25.547445255474454
subm40;subm67;Original-Original;Both;Progpedia56;Both;25.396825396825395
subm74;subm1;Original-Original;Both;Progpedia56;Both;25.101214574898783
subm85;subm16;Original-Original;Both;Progpedia56;Both;24.413145539906104
subm55;subm98;Original-Original;Both;Progpedia56;Both;24.271844660194176
subm55;subm40;Original-Original;Both;Progpedia56;Both;23.841059602649008
subm40;subm9;Original-Original;Both;Progpedia56;Both;23.595505617977526
subm13;subm1;Original-Original;Both;Progpedia56;Both;23.580786026200872
gpt0-subm7;subm7;Plag-Original;Both;Progpedia56;Both;23.474178403755868
subm40;subm56;Original-Original;Both;Progpedia56;Both;23.121387283236995
subm34;subm1;Original-Original;Both;Progpedia56;Both;22.660098522167488
subm67;subm25;Original-Original;Both;Progpedia56;Both;22.393822393822393
subm48;subm33;Original-Original;Both;Progpedia56;Both;21.73913043478261
subm33;subm98;Original-Original;Both;Progpedia56;Both;21.551724137931032
subm5;subm38;Original-Original;Both;Progpedia56;Both;21.3953488372093
subm74;subm25;Original-Original;Both;Progpedia56;Both;21.138211382113823
subm48;subm62;Original-Original;Both;Progpedia56;Both;20.8955223880597
subm13;subm58;Original-Original;Both;Progpedia56;Both;20.81447963800905
subm13;subm63;Original-Original;Both;Progpedia56;Both;20.46511627906977
subm40;subm62;Original-Original;Both;Progpedia56;Both;20.388349514563107
subm5;subm67;Original-Original;Both;Progpedia56;Both;19.383259911894275
subm7;subm11;Original-Original;Both;Progpedia56;Both;18.796992481203006
subm25;subm20;Original-Original;Both;Progpedia56;Both;18.67469879518072
subm69;subm98;Original-Original;Both;Progpedia56;Both;18.627450980392158
gpt6-subm20;subm20;Plag-Original;Both;Progpedia56;Both;18.58974358974359
subm13;subm11;Original-Original;Both;Progpedia56;Both;18.502202643171806
subm33;subm67;Original-Original;Both;Progpedia56;Both;18.421052631578945
subm70;subm74;Original-Original;Both;Progpedia56;Both;18.37837837837838
subm38;subm7;Original-Original;Both;Progpedia56;Both;17.72151898734177
subm16;subm24;Original-Original;Both;Progpedia56;Both;17.322834645669293
subm5;subm20;Original-Original;Both;Progpedia56;Both;17.26618705035971
subm48;subm56;Original-Original;Both;Progpedia56;Both;17.24137931034483
subm34;subm69;Original-Original;Both;Progpedia56;Both;17.073170731707318
subm38;subm20;Original-Original;Both;Progpedia56;Both;17.064846416382252
subm9;subm62;Original-Original;Both;Progpedia56;Both;17.00404858299595
subm9;subm63;Original-Original;Both;Progpedia56;Both;17.00404858299595
subm85;subm11;Original-Original;Both;Progpedia56;Both;16.80672268907563
subm74;subm58;Original-Original;Both;Progpedia56;Both;16.528925619834713
subm7;subm58;Original-Original;Both;Progpedia56;Both;16.117216117216117
subm85;subm98;Original-Original;Both;Progpedia56;Both;15.929203539823009
subm98;subm1;Original-Original;Both;Progpedia56;Both;15.658362989323843
subm26;subm11;Original-Original;Both;Progpedia56;Both;15.56420233463035
subm9;subm58;Original-Original;Both;Progpedia56;Both;15.56420233463035
gpt6-subm7;subm7;Plag-Original;Both;Progpedia56;Both;15.52511415525114
subm67;subm62;Original-Original;Both;Progpedia56;Both;15.510204081632653
subm70;subm48;Original-Original;Both;Progpedia56;Both;15.492957746478872
subm26;subm67;Original-Original;Both;Progpedia56;Both;15.384615384615385
subm58;subm1;Original-Original;Both;Progpedia56;Both;15.333333333333332
subm40;subm48;Original-Original;Both;Progpedia56;Both;15.18987341772152
subm98;subm62;Original-Original;Both;Progpedia56;Both;15.139442231075698
subm67;subm16;Original-Original;Both;Progpedia56;Both;14.87603305785124
subm34;subm85;Original-Original;Both;Progpedia56;Both;14.545454545454545
subm40;subm38;Original-Original;Both;Progpedia56;Both;14.358974358974358
subm40;subm11;Original-Original;Both;Progpedia56;Both;14.285714285714285
subm67;subm11;Original-Original;Both;Progpedia56;Both;14.173228346456693
subm55;subm11;Original-Original;Both;Progpedia56;Both;14.07035175879397
subm62;subm58;Original-Original;Both;Progpedia56;Both;14.022140221402212
subm34;subm70;Original-Original;Both;Progpedia56;Both;13.846153846153847
subm9;subm1;Original-Original;Both;Progpedia56;Both;13.636363636363635
subm11;subm25;Original-Original;Both;Progpedia56;Both;13.523131672597867
subm56;subm74;Original-Original;Both;Progpedia56;Both;13.333333333333334
subm13;subm85;Original-Original;Both;Progpedia56;Both;13.114754098360656
subm13;subm16;Original-Original;Both;Progpedia56;Both;12.935323383084576
subm33;subm58;Original-Original;Both;Progpedia56;Both;12.851405622489958
subm24;subm58;Original-Original;Both;Progpedia56;Both;12.76595744680851
subm58;subm20;Original-Original;Both;Progpedia56;Both;12.650602409638553
subm56;subm67;Original-Original;Both;Progpedia56;Both;12.5
subm67;subm20;Original-Original;Both;Progpedia56;Both;12.297734627831716
subm38;subm74;Original-Original;Both;Progpedia56;Both;12.264150943396226
subm55;subm16;Original-Original;Both;Progpedia56;Both;11.940298507462686
subm40;subm1;Original-Original;Both;Progpedia56;Both;11.914893617021278
subm56;subm26;Original-Original;Both;Progpedia56;Both;11.650485436893204
subm34;subm63;Original-Original;Both;Progpedia56;Both;11.650485436893204
subm13;subm56;Original-Original;Both;Progpedia56;Both;11.363636363636363
subm5;subm33;Original-Original;Both;Progpedia56;Both;11.320754716981133
subm70;subm56;Original-Original;Both;Progpedia56;Both;11.25
subm11;subm20;Original-Original;Both;Progpedia56;Both;11.214953271028037
subm13;subm98;Original-Original;Both;Progpedia56;Both;11.162790697674419
subm62;subm65;Original-Original;Both;Progpedia56;Both;10.9717868338558
subm24;subm11;Original-Original;Both;Progpedia56;Both;10.76923076923077
subm33;subm26;Original-Original;Both;Progpedia56;Both;10.619469026548673
subm55;subm5;Original-Original;Both;Progpedia56;Both;10.526315789473683
subm98;subm20;Original-Original;Both;Progpedia56;Both;10.32258064516129
subm48;subm16;Original-Original;Both;Progpedia56;Both;10.2803738317757
subm16;subm98;Original-Original;Both;Progpedia56;Both;10.276679841897234
subm33;subm16;Original-Original;Both;Progpedia56;Both;10.256410256410255
subm69;subm63;Original-Original;Both;Progpedia56;Both;10.256410256410255
subm13;subm33;Original-Original;Both;Progpedia56;Both;10.204081632653061
subm38;subm25;Original-Original;Both;Progpedia56;Both;10.038610038610038
subm56;subm38;Original-Original;Both;Progpedia56;Both;9.900990099009901
subm63;subm20;Original-Original;Both;Progpedia56;Both;9.72644376899696
subm56;subm69;Original-Original;Both;Progpedia56;Both;9.67741935483871
subm85;subm33;Original-Original;Both;Progpedia56;Both;9.66183574879227
subm5;subm9;Original-Original;Both;Progpedia56;Both;9.606986899563319
subm38;subm63;Original-Original;Both;Progpedia56;Both;9.6
subm11;subm65;Original-Original;Both;Progpedia56;Both;9.582689335394127
subm63;subm62;Original-Original;Both;Progpedia56;Both;9.386281588447654
subm40;subm33;Original-Original;Both;Progpedia56;Both;9.32642487046632
subm34;subm20;Original-Original;Both;Progpedia56;Both;9.266409266409266
subm85;subm1;Original-Original;Both;Progpedia56;Both;9.205020920502092
subm40;subm74;Original-Original;Both;Progpedia56;Both;9.183673469387756
subm55;subm7;Original-Original;Both;Progpedia56;Both;9.183673469387756
subm56;subm98;Original-Original;Both;Progpedia56;Both;9.1324200913242
subm40;subm63;Original-Original;Both;Progpedia56;Both;9.049773755656108
subm58;subm65;Original-Original;Both;Progpedia56;Both;9.006211180124224
subm85;subm58;Original-Original;Both;Progpedia56;Both;8.979591836734693
subm70;subm58;Original-Original;Both;Progpedia56;Both;8.849557522123893
subm26;subm24;Original-Original;Both;Progpedia56;Both;8.799999999999999
subm38;subm26;Original-Original;Both;Progpedia56;Both;8.771929824561402
subm56;subm63;Original-Original;Both;Progpedia56;Both;8.771929824561402
subm48;subm98;Original-Original;Both;Progpedia56;Both;8.695652173913043
