first;second;tupleType;plagType;plagTypeGroup;tool;similarity
gpt10-subm98;subm98;Plag-Original;TSN;Progpedia56;TSN;98.4251968503937
gpt10-subm7;subm7;Plag-Original;TSN;Progpedia56;TSN;97.99196787148594
gpt3-subm98;subm98;Plag-Original;TSN;Progpedia56;TSN;96.06299212598425
subm1;gpt13-subm1;Plag-Original;TSN;Progpedia56;TSN;95.51282051282051
gpt10-subm20;subm20;Plag-Original;TSN;Progpedia56;TSN;94.76439790575915
subm20;gpt7-subm20;Plag-Original;TSN;Progpedia56;TSN;93.4010152284264
subm98;gpt12-subm98;Plag-Original;TSN;Progpedia56;TSN;91.8918918918919
gpt9-subm63;subm63;Plag-Original;TSN;Progpedia56;TSN;90.18181818181819
gpt14-subm7;subm7;Plag-Original;TSN;Progpedia56;TSN;88.8
gpt5-subm98;subm98;Plag-Original;TSN;Progpedia56;TSN;88.8
gpt9-subm7;subm7;Plag-Original;TSN;Progpedia56;TSN;88.13559322033898
gpt1-subm98;subm98;Plag-Original;TSN;Progpedia56;TSN;87.8048780487805
gpt9-subm1;subm1;Plag-Original;TSN;Progpedia56;TSN;87.41258741258741
gpt13-subm7;subm7;Plag-Original;TSN;Progpedia56;TSN;87.24279835390946
subm63;gpt7-subm63;Plag-Original;TSN;Progpedia56;TSN;86.98630136986301
subm1;gpt8-subm1;Plag-Original;TSN;Progpedia56;TSN;85.97560975609755
gpt4-subm98;subm98;Plag-Original;TSN;Progpedia56;TSN;85.49019607843137
gpt10-subm1;subm1;Plag-Original;TSN;Progpedia56;TSN;84.3205574912892
gpt10-subm63;subm63;Plag-Original;TSN;Progpedia56;TSN;84.05797101449275
subm7;gpt8-subm7;Plag-Original;TSN;Progpedia56;TSN;83.77358490566039
subm7;gpt12-subm7;Plag-Original;TSN;Progpedia56;TSN;80.95238095238095
gpt12-subm20;subm20;Plag-Original;TSN;Progpedia56;TSN;80.54794520547945
subm20;gpt8-subm20;Plag-Original;TSN;Progpedia56;TSN;80.19323671497585
subm20;gpt14-subm20;Plag-Original;TSN;Progpedia56;TSN;79.58656330749353
gpt0-subm20;subm20;Plag-Original;TSN;Progpedia56;TSN;79.42857142857143
gpt4-subm20;subm20;Plag-Original;TSN;Progpedia56;TSN;79.3296089385475
subm7;gpt7-subm7;Plag-Original;TSN;Progpedia56;TSN;78.72340425531915
gpt5-subm20;subm20;Plag-Original;TSN;Progpedia56;TSN;78.16091954022988
subm20;gpt13-subm20;Plag-Original;TSN;Progpedia56;TSN;77.9746835443038
gpt14-subm63;subm63;Plag-Original;TSN;Progpedia56;TSN;77.53623188405797
gpt14-subm98;subm98;Plag-Original;TSN;Progpedia56;TSN;75.1937984496124
subm98;gpt8-subm98;Plag-Original;TSN;Progpedia56;TSN;73.83512544802868
gpt9-subm20;subm20;Plag-Original;TSN;Progpedia56;TSN;73.5632183908046
subm1;gpt7-subm1;Plag-Original;TSN;Progpedia56;TSN;72.88135593220339
gpt0-subm98;subm98;Plag-Original;TSN;Progpedia56;TSN;72.37354085603113
gpt14-subm1;subm1;Plag-Original;TSN;Progpedia56;TSN;72.0
gpt3-subm1;subm1;Plag-Original;TSN;Progpedia56;TSN;71.91011235955057
subm98;gpt13-subm98;Plag-Original;TSN;Progpedia56;TSN;69.40298507462687
gpt0-subm1;subm1;Plag-Original;TSN;Progpedia56;TSN;68.13186813186813
gpt11-subm98;subm98;Plag-Original;TSN;Progpedia56;TSN;67.72908366533864
gpt9-subm98;subm98;Plag-Original;TSN;Progpedia56;TSN;67.21311475409836
gpt5-subm1;subm1;Plag-Original;TSN;Progpedia56;TSN;66.90140845070422
gpt2-subm98;subm98;Plag-Original;TSN;Progpedia56;TSN;66.40625
subm63;gpt8-subm63;Plag-Original;TSN;Progpedia56;TSN;65.33333333333333
subm63;gpt13-subm63;Plag-Original;TSN;Progpedia56;TSN;63.51351351351351
gpt11-subm1;subm1;Plag-Original;TSN;Progpedia56;TSN;62.758620689655174
gpt12-subm1;subm1;Plag-Original;TSN;Progpedia56;TSN;62.63345195729537
gpt12-subm63;subm63;Plag-Original;TSN;Progpedia56;TSN;61.59420289855072
gpt6-subm98;subm98;Plag-Original;TSN;Progpedia56;TSN;59.43775100401606
gpt5-subm7;subm7;Plag-Original;TSN;Progpedia56;TSN;58.82352941176471
gpt4-subm1;subm1;Plag-Original;TSN;Progpedia56;TSN;58.68725868725869
subm98;gpt7-subm98;Plag-Original;TSN;Progpedia56;TSN;58.57142857142858
gpt4-subm63;subm63;Plag-Original;TSN;Progpedia56;TSN;56.41025641025641
gpt11-subm20;subm20;Plag-Original;TSN;Progpedia56;TSN;48.837209302325576
gpt5-subm63;subm63;Plag-Original;TSN;Progpedia56;TSN;46.666666666666664
gpt2-subm63;subm63;Plag-Original;TSN;Progpedia56;TSN;45.73643410852713
subm63;gpt1-subm63;Plag-Original;TSN;Progpedia56;TSN;44.36619718309859
gpt3-subm7;subm7;Plag-Original;TSN;Progpedia56;TSN;44.15584415584416
gpt1-subm1;subm1;Plag-Original;TSN;Progpedia56;TSN;42.585551330798474
gpt11-subm63;subm63;Plag-Original;TSN;Progpedia56;TSN;41.66666666666667
gpt3-subm20;subm20;Plag-Original;TSN;Progpedia56;TSN;41.15942028985507
gpt6-subm63;subm63;Plag-Original;TSN;Progpedia56;TSN;40.963855421686745
gpt2-subm1;subm1;Plag-Original;TSN;Progpedia56;TSN;35.46099290780142
gpt6-subm1;subm1;Plag-Original;TSN;Progpedia56;TSN;33.07692307692307
subm33;subm11;Original-Original;TSN;Progpedia56;TSN;32.669322709163346
gpt11-subm7;subm7;Plag-Original;TSN;Progpedia56;TSN;30.414746543778804
gpt2-subm20;subm20;Plag-Original;TSN;Progpedia56;TSN;29.20634920634921
gpt4-subm7;subm7;Plag-Original;TSN;Progpedia56;TSN;29.09090909090909
subm56;subm33;Original-Original;TSN;Progpedia56;TSN;28.999999999999996
gpt3-subm63;subm63;Plag-Original;TSN;Progpedia56;TSN;27.309236947791167
subm98;subm25;Original-Original;TSN;Progpedia56;TSN;26.08695652173913
subm85;subm63;Original-Original;TSN;Progpedia56;TSN;24.680851063829788
subm55;subm98;Original-Original;TSN;Progpedia56;TSN;24.271844660194176
gpt2-subm7;subm7;Plag-Original;TSN;Progpedia56;TSN;24.2152466367713
subm56;subm85;Original-Original;TSN;Progpedia56;TSN;23.52941176470588
gpt0-subm7;subm7;Plag-Original;TSN;Progpedia56;TSN;23.474178403755868
subm40;subm56;Original-Original;TSN;Progpedia56;TSN;23.121387283236995
subm55;subm56;Original-Original;TSN;Progpedia56;TSN;22.75449101796407
subm55;subm33;Original-Original;TSN;Progpedia56;TSN;21.390374331550802
subm5;subm67;Original-Original;TSN;Progpedia56;TSN;19.383259911894275
subm74;subm98;Original-Original;TSN;Progpedia56;TSN;19.00826446280992
subm7;subm11;Original-Original;TSN;Progpedia56;TSN;18.796992481203006
gpt6-subm20;subm20;Plag-Original;TSN;Progpedia56;TSN;18.58974358974359
subm13;subm11;Original-Original;TSN;Progpedia56;TSN;18.502202643171806
subm55;subm67;Original-Original;TSN;Progpedia56;TSN;18.461538461538463
subm33;subm67;Original-Original;TSN;Progpedia56;TSN;18.421052631578945
subm38;subm67;Original-Original;TSN;Progpedia56;TSN;18.26086956521739
subm38;subm11;Original-Original;TSN;Progpedia56;TSN;18.181818181818183
subm55;subm25;Original-Original;TSN;Progpedia56;TSN;17.857142857142858
subm69;subm1;Original-Original;TSN;Progpedia56;TSN;17.741935483870968
subm38;subm7;Original-Original;TSN;Progpedia56;TSN;17.72151898734177
subm5;subm25;Original-Original;TSN;Progpedia56;TSN;17.1875
subm85;subm7;Original-Original;TSN;Progpedia56;TSN;17.117117117117118
subm34;subm69;Original-Original;TSN;Progpedia56;TSN;17.073170731707318
subm85;subm11;Original-Original;TSN;Progpedia56;TSN;16.80672268907563
subm26;subm16;Original-Original;TSN;Progpedia56;TSN;16.666666666666664
subm69;subm85;Original-Original;TSN;Progpedia56;TSN;16.580310880829018
subm7;subm58;Original-Original;TSN;Progpedia56;TSN;16.117216117216117
subm85;subm98;Original-Original;TSN;Progpedia56;TSN;15.929203539823009
subm74;subm1;Original-Original;TSN;Progpedia56;TSN;15.849056603773585
subm98;subm1;Original-Original;TSN;Progpedia56;TSN;15.658362989323843
subm26;subm11;Original-Original;TSN;Progpedia56;TSN;15.56420233463035
subm26;subm67;Original-Original;TSN;Progpedia56;TSN;15.384615384615385
subm58;subm1;Original-Original;TSN;Progpedia56;TSN;15.333333333333332
subm11;subm58;Original-Original;TSN;Progpedia56;TSN;15.22491349480969
subm67;subm16;Original-Original;TSN;Progpedia56;TSN;14.87603305785124
subm34;subm85;Original-Original;TSN;Progpedia56;TSN;14.545454545454545
subm40;subm38;Original-Original;TSN;Progpedia56;TSN;14.358974358974358
subm40;subm11;Original-Original;TSN;Progpedia56;TSN;14.285714285714285
gpt1-subm20;subm20;Plag-Original;TSN;Progpedia56;TSN;13.968253968253968
subm67;subm11;Original-Original;TSN;Progpedia56;TSN;13.8996138996139
subm34;subm38;Original-Original;TSN;Progpedia56;TSN;13.333333333333334
subm62;subm58;Original-Original;TSN;Progpedia56;TSN;13.240418118466899
subm13;subm85;Original-Original;TSN;Progpedia56;TSN;13.114754098360656
subm24;subm58;Original-Original;TSN;Progpedia56;TSN;12.76595744680851
subm34;subm1;Original-Original;TSN;Progpedia56;TSN;12.727272727272727
subm13;subm1;Original-Original;TSN;Progpedia56;TSN;12.605042016806722
subm56;subm67;Original-Original;TSN;Progpedia56;TSN;12.5
subm67;subm20;Original-Original;TSN;Progpedia56;TSN;12.297734627831716
subm38;subm9;Original-Original;TSN;Progpedia56;TSN;12.068965517241379
subm55;subm16;Original-Original;TSN;Progpedia56;TSN;11.940298507462686
subm40;subm1;Original-Original;TSN;Progpedia56;TSN;11.914893617021278
subm56;subm26;Original-Original;TSN;Progpedia56;TSN;11.650485436893204
subm34;subm63;Original-Original;TSN;Progpedia56;TSN;11.650485436893204
subm34;subm56;Original-Original;TSN;Progpedia56;TSN;11.39240506329114
subm13;subm56;Original-Original;TSN;Progpedia56;TSN;11.363636363636363
subm13;subm98;Original-Original;TSN;Progpedia56;TSN;11.162790697674419
subm38;subm62;Original-Original;TSN;Progpedia56;TSN;11.155378486055776
subm13;subm69;Original-Original;TSN;Progpedia56;TSN;10.989010989010989
subm16;subm24;Original-Original;TSN;Progpedia56;TSN;10.852713178294573
subm11;subm20;Original-Original;TSN;Progpedia56;TSN;10.843373493975903
subm55;subm48;Original-Original;TSN;Progpedia56;TSN;10.778443113772456
subm70;subm56;Original-Original;TSN;Progpedia56;TSN;10.714285714285714
subm33;subm26;Original-Original;TSN;Progpedia56;TSN;10.619469026548673
subm48;subm16;Original-Original;TSN;Progpedia56;TSN;10.2803738317757
subm16;subm98;Original-Original;TSN;Progpedia56;TSN;10.276679841897234
subm33;subm16;Original-Original;TSN;Progpedia56;TSN;10.256410256410255
subm69;subm63;Original-Original;TSN;Progpedia56;TSN;10.256410256410255
gpt0-subm63;subm63;Plag-Original;TSN;Progpedia56;TSN;10.236220472440944
subm13;subm33;Original-Original;TSN;Progpedia56;TSN;10.204081632653061
