first;second;tupleType;plagType;plagTypeGroup;tool;similarity
subm69;plag-subm69;Plag-Original;Base;Progpedia56;Base;53.78151260504202
subm13;plag-subm13;Plag-Original;Base;Progpedia56;Base;51.34328358208955
subm11;plag-subm11;Plag-Original;Base;Progpedia56;Base;50.799289520426285
subm1;plag-subm1;Plag-Original;Base;Progpedia56;Base;50.1639344262295
subm34;plag-subm34;Plag-Original;Base;Progpedia56;Base;48.92086330935252
subm62;plag-subm62;Plag-Original;Base;Progpedia56;Base;45.93023255813954
subm65;plag-subm65;Plag-Original;Base;Progpedia56;Base;35.24962178517398
subm33;subm11;Original-Original;Base;Progpedia56;Base;32.41106719367589
subm74;plag-subm74;Plag-Original;Base;Progpedia56;Base;29.53846153846154
subm56;subm33;Original-Original;Base;Progpedia56;Base;28.855721393034827
subm5;plag-subm5;Plag-Original;Base;Progpedia56;Base;27.439024390243905
subm85;subm63;Original-Original;Base;Progpedia56;Base;26.27118644067797
subm98;subm25;Original-Original;Base;Progpedia56;Base;26.08695652173913
subm20;plag-subm20;Plag-Original;Base;Progpedia56;Base;24.90566037735849
subm55;subm98;Original-Original;Base;Progpedia56;Base;24.271844660194176
subm56;subm85;Original-Original;Base;Progpedia56;Base;23.404255319148938
subm55;subm56;Original-Original;Base;Progpedia56;Base;22.61904761904762
subm98;plag-subm98;Plag-Original;Base;Progpedia56;Base;22.162162162162165
subm55;subm33;Original-Original;Base;Progpedia56;Base;21.390374331550802
subm11;subm58;Original-Original;Base;Progpedia56;Base;20.54794520547945
subm40;subm56;Original-Original;Base;Progpedia56;Base;20.454545454545457
subm16;plag-subm16;Plag-Original;Base;Progpedia56;Base;20.417633410672853
subm34;subm9;Original-Original;Base;Progpedia56;Base;20.212765957446805
subm40;subm74;Original-Original;Base;Progpedia56;Base;20.2020202020202
subm40;subm1;Original-Original;Base;Progpedia56;Base;20.168067226890756
subm25;plag-subm25;Plag-Original;Base;Progpedia56;Base;19.679633867276888
subm5;subm67;Original-Original;Base;Progpedia56;Base;19.383259911894275
subm74;subm98;Original-Original;Base;Progpedia56;Base;19.00826446280992
subm63;plag-subm63;Plag-Original;Base;Progpedia56;Base;18.79895561357702
subm7;subm11;Original-Original;Base;Progpedia56;Base;18.587360594795538
subm33;subm67;Original-Original;Base;Progpedia56;Base;18.421052631578945
subm13;subm11;Original-Original;Base;Progpedia56;Base;18.340611353711793
subm38;subm67;Original-Original;Base;Progpedia56;Base;18.26086956521739
subm38;subm11;Original-Original;Base;Progpedia56;Base;18.03921568627451
subm40;subm63;Original-Original;Base;Progpedia56;Base;17.857142857142858
subm55;subm25;Original-Original;Base;Progpedia56;Base;17.857142857142858
subm69;subm1;Original-Original;Base;Progpedia56;Base;17.670682730923694
subm38;subm7;Original-Original;Base;Progpedia56;Base;17.647058823529413
subm70;plag-subm70;Plag-Original;Base;Progpedia56;Base;17.599999999999998
subm55;subm67;Original-Original;Base;Progpedia56;Base;17.435897435897434
subm34;subm69;Original-Original;Base;Progpedia56;Base;17.073170731707318
subm85;subm11;Original-Original;Base;Progpedia56;Base;16.666666666666664
subm26;subm16;Original-Original;Base;Progpedia56;Base;16.666666666666664
subm69;subm85;Original-Original;Base;Progpedia56;Base;16.580310880829018
subm85;subm7;Original-Original;Base;Progpedia56;Base;16.143497757847534
subm33;subm7;Original-Original;Base;Progpedia56;Base;16.101694915254235
subm85;subm98;Original-Original;Base;Progpedia56;Base;15.929203539823009
subm74;subm1;Original-Original;Base;Progpedia56;Base;15.789473684210526
subm98;subm1;Original-Original;Base;Progpedia56;Base;15.602836879432624
subm26;subm11;Original-Original;Base;Progpedia56;Base;15.444015444015443
subm26;subm67;Original-Original;Base;Progpedia56;Base;15.384615384615385
subm58;subm1;Original-Original;Base;Progpedia56;Base;15.2317880794702
subm67;subm16;Original-Original;Base;Progpedia56;Base;14.87603305785124
subm34;subm85;Original-Original;Base;Progpedia56;Base;14.545454545454545
subm40;subm38;Original-Original;Base;Progpedia56;Base;14.213197969543149
subm40;subm11;Original-Original;Base;Progpedia56;Base;14.035087719298245
subm67;subm11;Original-Original;Base;Progpedia56;Base;13.793103448275861
subm34;subm38;Original-Original;Base;Progpedia56;Base;13.333333333333334
subm26;plag-subm26;Plag-Original;Base;Progpedia56;Base;13.267813267813267
subm13;subm85;Original-Original;Base;Progpedia56;Base;13.114754098360656
subm7;plag-subm7;Plag-Original;Base;Progpedia56;Base;12.72264631043257
subm24;subm58;Original-Original;Base;Progpedia56;Base;12.7208480565371
subm34;subm1;Original-Original;Base;Progpedia56;Base;12.669683257918551
subm13;subm1;Original-Original;Base;Progpedia56;Base;12.552301255230125
subm56;subm67;Original-Original;Base;Progpedia56;Base;12.440191387559809
subm1;subm20;Original-Original;Base;Progpedia56;Base;12.209302325581394
subm55;subm16;Original-Original;Base;Progpedia56;Base;11.940298507462686
subm67;subm20;Original-Original;Base;Progpedia56;Base;11.650485436893204
subm56;subm26;Original-Original;Base;Progpedia56;Base;11.594202898550725
subm34;subm63;Original-Original;Base;Progpedia56;Base;11.594202898550725
subm34;subm56;Original-Original;Base;Progpedia56;Base;11.320754716981133
subm56;subm63;Original-Original;Base;Progpedia56;Base;11.304347826086957
