first;second;tupleType;plagType;plagTypeGroup;tool;similarity
subm62;plag-subm62;Plag-Original;Both;Progpedia56;Both;74.68354430379746
subm5;plag-subm5;Plag-Original;Both;Progpedia56;Both;59.205776173285194
subm63;plag-subm63;Plag-Original;Both;Progpedia56;Both;54.769230769230774
subm69;plag-subm69;Plag-Original;Both;Progpedia56;Both;53.78151260504202
subm13;plag-subm13;Plag-Original;Both;Progpedia56;Both;51.651651651651655
subm11;plag-subm11;Plag-Original;Both;Progpedia56;Both;51.553930530164536
subm65;plag-subm65;Plag-Original;Both;Progpedia56;Both;51.09489051094891
subm1;plag-subm1;Plag-Original;Both;Progpedia56;Both;50.165016501650165
subm25;plag-subm25;Plag-Original;Both;Progpedia56;Both;49.171270718232044
subm34;plag-subm34;Plag-Original;Both;Progpedia56;Both;48.92086330935252
subm20;plag-subm20;Plag-Original;Both;Progpedia56;Both;47.63779527559055
subm55;subm56;Original-Original;Both;Progpedia56;Both;45.0
subm56;subm33;Original-Original;Both;Progpedia56;Both;43.386243386243386
subm98;plag-subm98;Plag-Original;Both;Progpedia56;Both;43.32344213649852
subm85;plag-subm85;Plag-Original;Both;Progpedia56;Both;43.16546762589928
subm70;plag-subm70;Plag-Original;Both;Progpedia56;Both;42.14876033057851
subm98;subm25;Original-Original;Both;Progpedia56;Both;41.947565543071164
subm55;subm48;Original-Original;Both;Progpedia56;Both;41.05960264900662
subm9;plag-subm9;Plag-Original;Both;Progpedia56;Both;40.49844236760124
subm38;subm67;Original-Original;Both;Progpedia56;Both;40.0
subm56;subm85;Original-Original;Both;Progpedia56;Both;39.10614525139665
subm34;subm40;Original-Original;Both;Progpedia56;Both;37.95620437956204
subm55;subm33;Original-Original;Both;Progpedia56;Both;37.77777777777778
subm74;plag-subm74;Plag-Original;Both;Progpedia56;Both;37.17948717948718
subm38;subm62;Original-Original;Both;Progpedia56;Both;35.4978354978355
subm67;plag-subm67;Plag-Original;Both;Progpedia56;Both;35.40372670807454
subm85;subm63;Original-Original;Both;Progpedia56;Both;35.24229074889868
subm16;plag-subm16;Plag-Original;Both;Progpedia56;Both;33.980582524271846
subm26;subm16;Original-Original;Both;Progpedia56;Both;33.62068965517241
subm5;subm74;Original-Original;Both;Progpedia56;Both;32.69230769230769
subm33;subm11;Original-Original;Both;Progpedia56;Both;32.669322709163346
subm74;subm98;Original-Original;Both;Progpedia56;Both;32.61802575107296
subm69;subm1;Original-Original;Both;Progpedia56;Both;31.40495867768595
subm34;subm38;Original-Original;Both;Progpedia56;Both;31.03448275862069
subm38;subm11;Original-Original;Both;Progpedia56;Both;30.89430894308943
subm55;subm25;Original-Original;Both;Progpedia56;Both;30.476190476190478
subm13;subm38;Original-Original;Both;Progpedia56;Both;30.337078651685395
subm56;subm7;Original-Original;Both;Progpedia56;Both;30.303030303030305
subm69;subm85;Original-Original;Both;Progpedia56;Both;30.16759776536313
subm55;subm67;Original-Original;Both;Progpedia56;Both;29.78723404255319
subm5;subm25;Original-Original;Both;Progpedia56;Both;29.629629629629626
subm7;plag-subm7;Plag-Original;Both;Progpedia56;Both;28.7292817679558
subm13;subm69;Original-Original;Both;Progpedia56;Both;28.24858757062147
subm55;subm62;Original-Original;Both;Progpedia56;Both;28.125
subm38;subm9;Original-Original;Both;Progpedia56;Both;27.947598253275107
