first;second;tupleType;plagType;plagTypeGroup;tool;similarity
subm62;plag-subm62;Plag-Original;SMM;Progpedia56;SMM;78.59424920127796
subm5;plag-subm5;Plag-Original;SMM;Progpedia56;SMM;59.205776173285194
subm65;plag-subm65;Plag-Original;SMM;Progpedia56;SMM;55.646481178396066
subm63;plag-subm63;Plag-Original;SMM;Progpedia56;SMM;54.59940652818991
subm69;plag-subm69;Plag-Original;SMM;Progpedia56;SMM;53.78151260504202
subm9;plag-subm9;Plag-Original;SMM;Progpedia56;SMM;52.20125786163522
subm13;plag-subm13;Plag-Original;SMM;Progpedia56;SMM;51.34328358208955
subm11;plag-subm11;Plag-Original;SMM;Progpedia56;SMM;50.799289520426285
subm1;plag-subm1;Plag-Original;SMM;Progpedia56;SMM;50.1639344262295
subm34;plag-subm34;Plag-Original;SMM;Progpedia56;SMM;48.92086330935252
subm25;plag-subm25;Plag-Original;SMM;Progpedia56;SMM;48.9010989010989
subm20;plag-subm20;Plag-Original;SMM;Progpedia56;SMM;47.45098039215686
subm34;subm38;Original-Original;SMM;Progpedia56;SMM;45.0
subm55;subm56;Original-Original;SMM;Progpedia56;SMM;44.72049689440994
subm98;plag-subm98;Plag-Original;SMM;Progpedia56;SMM;43.32344213649852
subm74;plag-subm74;Plag-Original;SMM;Progpedia56;SMM;43.08681672025724
subm56;subm33;Original-Original;SMM;Progpedia56;SMM;43.07692307692308
subm74;subm98;Original-Original;SMM;Progpedia56;SMM;42.152466367713004
subm70;plag-subm70;Plag-Original;SMM;Progpedia56;SMM;42.14876033057851
subm98;subm25;Original-Original;SMM;Progpedia56;SMM;41.947565543071164
subm5;subm25;Original-Original;SMM;Progpedia56;SMM;40.85106382978723
subm38;subm67;Original-Original;SMM;Progpedia56;SMM;40.0
subm13;subm38;Original-Original;SMM;Progpedia56;SMM;39.52095808383233
subm55;subm33;Original-Original;SMM;Progpedia56;SMM;37.988826815642454
subm34;subm40;Original-Original;SMM;Progpedia56;SMM;37.410071942446045
subm56;subm7;Original-Original;SMM;Progpedia56;SMM;34.78260869565217
subm16;plag-subm16;Plag-Original;SMM;Progpedia56;SMM;33.980582524271846
subm26;subm16;Original-Original;SMM;Progpedia56;SMM;33.62068965517241
subm33;subm11;Original-Original;SMM;Progpedia56;SMM;32.41106719367589
subm85;subm7;Original-Original;SMM;Progpedia56;SMM;32.19512195121951
subm7;plag-subm7;Plag-Original;SMM;Progpedia56;SMM;31.843575418994412
