first;second;tupleType;plagType;plagTypeGroup;tool;similarity
subm69;plag-subm69;Plag-Original;TSN;Progpedia56;TSN;53.78151260504202
subm13;plag-subm13;Plag-Original;TSN;Progpedia56;TSN;51.651651651651655
subm11;plag-subm11;Plag-Original;TSN;Progpedia56;TSN;51.553930530164536
subm1;plag-subm1;Plag-Original;TSN;Progpedia56;TSN;50.165016501650165
subm34;plag-subm34;Plag-Original;TSN;Progpedia56;TSN;48.92086330935252
subm62;plag-subm62;Plag-Original;TSN;Progpedia56;TSN;46.783625730994146
subm65;plag-subm65;Plag-Original;TSN;Progpedia56;TSN;35.51829268292683
subm33;subm11;Original-Original;TSN;Progpedia56;TSN;32.669322709163346
subm74;plag-subm74;Plag-Original;TSN;Progpedia56;TSN;29.629629629629626
subm56;subm33;Original-Original;TSN;Progpedia56;TSN;28.999999999999996
subm98;subm25;Original-Original;TSN;Progpedia56;TSN;26.08695652173913
subm20;plag-subm20;Plag-Original;TSN;Progpedia56;TSN;25.0
subm85;subm63;Original-Original;TSN;Progpedia56;TSN;24.680851063829788
subm55;subm98;Original-Original;TSN;Progpedia56;TSN;24.271844660194176
subm56;subm85;Original-Original;TSN;Progpedia56;TSN;23.52941176470588
subm40;subm56;Original-Original;TSN;Progpedia56;TSN;23.121387283236995
subm55;subm56;Original-Original;TSN;Progpedia56;TSN;22.75449101796407
subm98;plag-subm98;Plag-Original;TSN;Progpedia56;TSN;22.162162162162165
subm55;subm33;Original-Original;TSN;Progpedia56;TSN;21.390374331550802
subm5;plag-subm5;Plag-Original;TSN;Progpedia56;TSN;21.341463414634145
subm16;plag-subm16;Plag-Original;TSN;Progpedia56;TSN;20.417633410672853
subm25;plag-subm25;Plag-Original;TSN;Progpedia56;TSN;19.770114942528735
subm5;subm67;Original-Original;TSN;Progpedia56;TSN;19.383259911894275
subm74;subm98;Original-Original;TSN;Progpedia56;TSN;19.00826446280992
subm7;subm11;Original-Original;TSN;Progpedia56;TSN;18.796992481203006
subm13;subm11;Original-Original;TSN;Progpedia56;TSN;18.502202643171806
subm55;subm67;Original-Original;TSN;Progpedia56;TSN;18.461538461538463
subm33;subm67;Original-Original;TSN;Progpedia56;TSN;18.421052631578945
subm38;subm67;Original-Original;TSN;Progpedia56;TSN;18.26086956521739
subm38;subm11;Original-Original;TSN;Progpedia56;TSN;18.181818181818183
subm55;subm25;Original-Original;TSN;Progpedia56;TSN;17.857142857142858
subm69;subm1;Original-Original;TSN;Progpedia56;TSN;17.741935483870968
subm38;subm7;Original-Original;TSN;Progpedia56;TSN;17.72151898734177
subm70;plag-subm70;Plag-Original;TSN;Progpedia56;TSN;17.599999999999998
subm5;subm25;Original-Original;TSN;Progpedia56;TSN;17.1875
subm85;subm7;Original-Original;TSN;Progpedia56;TSN;17.117117117117118
subm34;subm69;Original-Original;TSN;Progpedia56;TSN;17.073170731707318
subm85;subm11;Original-Original;TSN;Progpedia56;TSN;16.80672268907563
subm26;subm16;Original-Original;TSN;Progpedia56;TSN;16.666666666666664
subm69;subm85;Original-Original;TSN;Progpedia56;TSN;16.580310880829018
subm7;subm58;Original-Original;TSN;Progpedia56;TSN;16.117216117216117
subm85;subm98;Original-Original;TSN;Progpedia56;TSN;15.929203539823009
subm74;subm1;Original-Original;TSN;Progpedia56;TSN;15.849056603773585
subm98;subm1;Original-Original;TSN;Progpedia56;TSN;15.658362989323843
subm26;subm11;Original-Original;TSN;Progpedia56;TSN;15.56420233463035
subm26;subm67;Original-Original;TSN;Progpedia56;TSN;15.384615384615385
subm58;subm1;Original-Original;TSN;Progpedia56;TSN;15.333333333333332
subm11;subm58;Original-Original;TSN;Progpedia56;TSN;15.22491349480969
subm67;subm16;Original-Original;TSN;Progpedia56;TSN;14.87603305785124
subm34;subm85;Original-Original;TSN;Progpedia56;TSN;14.545454545454545
subm40;subm38;Original-Original;TSN;Progpedia56;TSN;14.358974358974358
subm40;subm11;Original-Original;TSN;Progpedia56;TSN;14.285714285714285
subm67;subm11;Original-Original;TSN;Progpedia56;TSN;13.8996138996139
subm26;plag-subm26;Plag-Original;TSN;Progpedia56;TSN;13.333333333333334
subm34;subm38;Original-Original;TSN;Progpedia56;TSN;13.333333333333334
subm62;subm58;Original-Original;TSN;Progpedia56;TSN;13.240418118466899
subm13;subm85;Original-Original;TSN;Progpedia56;TSN;13.114754098360656
subm24;subm58;Original-Original;TSN;Progpedia56;TSN;12.76595744680851
subm34;subm1;Original-Original;TSN;Progpedia56;TSN;12.727272727272727
subm13;subm1;Original-Original;TSN;Progpedia56;TSN;12.605042016806722
subm56;subm67;Original-Original;TSN;Progpedia56;TSN;12.5
subm67;subm20;Original-Original;TSN;Progpedia56;TSN;12.297734627831716
subm7;plag-subm7;Plag-Original;TSN;Progpedia56;TSN;12.27621483375959
subm38;subm9;Original-Original;TSN;Progpedia56;TSN;12.068965517241379
subm55;subm16;Original-Original;TSN;Progpedia56;TSN;11.940298507462686
subm40;subm1;Original-Original;TSN;Progpedia56;TSN;11.914893617021278
subm56;subm26;Original-Original;TSN;Progpedia56;TSN;11.650485436893204
subm34;subm63;Original-Original;TSN;Progpedia56;TSN;11.650485436893204
subm34;subm56;Original-Original;TSN;Progpedia56;TSN;11.39240506329114
subm13;subm56;Original-Original;TSN;Progpedia56;TSN;11.363636363636363
subm33;plag-subm33;Plag-Original;TSN;Progpedia56;TSN;11.26005361930295
subm13;subm98;Original-Original;TSN;Progpedia56;TSN;11.162790697674419
subm38;subm62;Original-Original;TSN;Progpedia56;TSN;11.155378486055776
subm63;plag-subm63;Plag-Original;TSN;Progpedia56;TSN;11.023622047244094
subm13;subm69;Original-Original;TSN;Progpedia56;TSN;10.989010989010989
subm16;subm24;Original-Original;TSN;Progpedia56;TSN;10.852713178294573
subm11;subm20;Original-Original;TSN;Progpedia56;TSN;10.843373493975903
subm55;subm48;Original-Original;TSN;Progpedia56;TSN;10.778443113772456
subm70;subm56;Original-Original;TSN;Progpedia56;TSN;10.714285714285714
subm33;subm26;Original-Original;TSN;Progpedia56;TSN;10.619469026548673
subm67;plag-subm67;Plag-Original;TSN;Progpedia56;TSN;10.354223433242508
subm48;subm16;Original-Original;TSN;Progpedia56;TSN;10.2803738317757
subm16;subm98;Original-Original;TSN;Progpedia56;TSN;10.276679841897234
subm33;subm16;Original-Original;TSN;Progpedia56;TSN;10.256410256410255
subm69;subm63;Original-Original;TSN;Progpedia56;TSN;10.256410256410255
subm13;subm33;Original-Original;TSN;Progpedia56;TSN;10.204081632653061
subm9;subm62;Original-Original;TSN;Progpedia56;TSN;10.038610038610038
subm38;subm25;Original-Original;TSN;Progpedia56;TSN;10.038610038610038
subm48;subm56;Original-Original;TSN;Progpedia56;TSN;10.0
subm74;subm58;Original-Original;TSN;Progpedia56;TSN;9.961685823754788
subm56;subm38;Original-Original;TSN;Progpedia56;TSN;9.900990099009901
subm26;subm58;Original-Original;TSN;Progpedia56;TSN;9.848484848484848
subm63;subm20;Original-Original;TSN;Progpedia56;TSN;9.72644376899696
subm56;subm69;Original-Original;TSN;Progpedia56;TSN;9.67741935483871
subm85;subm33;Original-Original;TSN;Progpedia56;TSN;9.66183574879227
subm5;subm9;Original-Original;TSN;Progpedia56;TSN;9.606986899563319
subm38;subm63;Original-Original;TSN;Progpedia56;TSN;9.6
subm63;subm62;Original-Original;TSN;Progpedia56;TSN;9.386281588447654
subm40;subm33;Original-Original;TSN;Progpedia56;TSN;9.32642487046632
subm85;subm67;Original-Original;TSN;Progpedia56;TSN;9.30232558139535
subm9;subm63;Original-Original;TSN;Progpedia56;TSN;9.30232558139535
subm34;subm20;Original-Original;TSN;Progpedia56;TSN;9.266409266409266
subm40;subm74;Original-Original;TSN;Progpedia56;TSN;9.183673469387756
subm56;subm98;Original-Original;TSN;Progpedia56;TSN;9.1324200913242
subm67;subm25;Original-Original;TSN;Progpedia56;TSN;9.056603773584905
subm40;subm63;Original-Original;TSN;Progpedia56;TSN;9.049773755656108
subm85;subm58;Original-Original;TSN;Progpedia56;TSN;8.979591836734693
subm40;subm67;Original-Original;TSN;Progpedia56;TSN;8.955223880597014
subm70;subm58;Original-Original;TSN;Progpedia56;TSN;8.849557522123893
subm85;subm1;Original-Original;TSN;Progpedia56;TSN;8.835341365461847
subm26;subm24;Original-Original;TSN;Progpedia56;TSN;8.799999999999999
subm56;subm63;Original-Original;TSN;Progpedia56;TSN;8.771929824561402
subm38;subm26;Original-Original;TSN;Progpedia56;TSN;8.771929824561402
subm48;subm67;Original-Original;TSN;Progpedia56;TSN;8.653846153846153
subm85;subm38;Original-Original;TSN;Progpedia56;TSN;8.61244019138756
subm26;subm9;Original-Original;TSN;Progpedia56;TSN;8.47457627118644
subm85;subm26;Original-Original;TSN;Progpedia56;TSN;8.450704225352112
subm56;subm16;Original-Original;TSN;Progpedia56;TSN;8.411214953271028
subm56;subm7;Original-Original;TSN;Progpedia56;TSN;8.372093023255815
subm69;subm20;Original-Original;TSN;Progpedia56;TSN;8.362369337979095
subm55;subm62;Original-Original;TSN;Progpedia56;TSN;8.333333333333332
subm63;subm1;Original-Original;TSN;Progpedia56;TSN;8.275862068965518
subm69;subm25;Original-Original;TSN;Progpedia56;TSN;8.23045267489712
subm85;subm25;Original-Original;TSN;Progpedia56;TSN;8.19672131147541
subm85;subm16;Original-Original;TSN;Progpedia56;TSN;8.144796380090497
subm5;subm38;Original-Original;TSN;Progpedia56;TSN;8.144796380090497
subm67;subm98;Original-Original;TSN;Progpedia56;TSN;8.097165991902834
subm13;subm63;Original-Original;TSN;Progpedia56;TSN;8.035714285714286
subm5;subm26;Original-Original;TSN;Progpedia56;TSN;8.0
subm67;subm24;Original-Original;TSN;Progpedia56;TSN;7.936507936507936
subm40;subm25;Original-Original;TSN;Progpedia56;TSN;7.82608695652174
subm85;subm24;Original-Original;TSN;Progpedia56;TSN;7.792207792207792
subm74;subm67;Original-Original;TSN;Progpedia56;TSN;7.792207792207792
subm33;subm58;Original-Original;TSN;Progpedia56;TSN;7.751937984496124
subm9;plag-subm9;Plag-Original;TSN;Progpedia56;TSN;7.7134986225895315
subm13;subm58;Original-Original;TSN;Progpedia56;TSN;7.6923076923076925
subm38;subm58;Original-Original;TSN;Progpedia56;TSN;7.6923076923076925
subm33;subm7;Original-Original;TSN;Progpedia56;TSN;7.659574468085106
subm85;subm62;Original-Original;TSN;Progpedia56;TSN;7.627118644067797
subm11;subm1;Original-Original;TSN;Progpedia56;TSN;7.508532423208192
subm9;subm58;Original-Original;TSN;Progpedia56;TSN;7.462686567164178
subm56;subm1;Original-Original;TSN;Progpedia56;TSN;7.43801652892562
subm9;subm16;Original-Original;TSN;Progpedia56;TSN;7.377049180327869
subm25;subm1;Original-Original;TSN;Progpedia56;TSN;7.357859531772576
subm16;subm58;Original-Original;TSN;Progpedia56;TSN;7.352941176470589
subm33;subm62;Original-Original;TSN;Progpedia56;TSN;7.228915662650602
subm1;subm20;Original-Original;TSN;Progpedia56;TSN;6.997084548104956
subm85;subm20;Original-Original;TSN;Progpedia56;TSN;6.944444444444445
subm11;subm25;Original-Original;TSN;Progpedia56;TSN;6.944444444444445
subm5;subm1;Original-Original;TSN;Progpedia56;TSN;6.896551724137931
subm16;subm62;Original-Original;TSN;Progpedia56;TSN;6.844106463878327
subm26;subm25;Original-Original;TSN;Progpedia56;TSN;6.844106463878327
subm7;subm62;Original-Original;TSN;Progpedia56;TSN;6.8181818181818175
subm16;subm11;Original-Original;TSN;Progpedia56;TSN;6.7924528301886795
subm67;subm58;Original-Original;TSN;Progpedia56;TSN;6.7669172932330826
subm70;subm65;Original-Original;TSN;Progpedia56;TSN;6.756756756756757
subm98;subm11;Original-Original;TSN;Progpedia56;TSN;6.666666666666667
