id;dataset;tool;runtime;lines_before;lines_after
student3542;z5z1;Base;2346923;235;468
student2664;z5z1;Base;453453;58;117
student8089;z5z1;Base;46483;49;61
student7255;z5z1;Base;1287434;184;325
student6363;z5z1;Base;2407964;333;489
student8576;z5z5;Base;2841429;214;596
student9081;z5z5;Base;2898736;159;392
student5170;z5z5;Base;5565481;411;820
student6516;z5z5;Base;2851192;278;552
student4167;z5z5;Base;277738;96;157
student5829;z5z1;Base;1246774;46;186
student3485;z5z1;Base;1609337;155;306
student6410;z5z1;Base;2548381;333;565
student8288;z5z1;Base;2386315;225;443
student1547;z5z1;Base;928018;181;298
student4261;z5z5;Base;1035810;193;330
student2267;z5z5;Base;7812446;394;796
student1597;z5z5;Base;4337663;470;727
student7888;z5z5;Base;2825065;237;530
student8118;z5z5;Base;8512692;367;914
