id;dataset;tool;runtime;lines_before;lines_after
student3542;z5z1;Both;6572685;235;820
student2664;z5z1;Both;1314785;58;204
student8089;z5z1;Both;1347461;49;268
student7255;z5z1;Both;6569499;184;799
student6363;z5z1;Both;13784047;333;1170
student8576;z5z5;Both;13919933;214;2074
student9081;z5z5;Both;8340614;159;751
student5170;z5z5;Both;22458990;411;2009
student6516;z5z5;Both;7893042;278;1080
student4167;z5z5;Both;1391538;96;328
student5829;z5z1;Both;5526142;46;595
student3485;z5z1;Both;7007236;155;660
student6410;z5z1;Both;11775754;333;1359
student8288;z5z1;Both;14018301;225;1307
student1547;z5z1;Both;3367689;181;552
student4261;z5z5;Both;7163355;193;926
student2267;z5z5;Both;22499025;394;1521
student1597;z5z5;Both;21667540;470;1582
student7888;z5z5;Both;8841553;237;1060
student8118;z5z5;Both;14716471;367;1522

