id;dataset;tool;runtime;lines_before;lines_after
student3542;z5z1;TSN;5392535;235;693
student2664;z5z1;TSN;461934;58;113
student8089;z5z1;TSN;401943;49;135
student7255;z5z1;TSN;3379284;184;537
student6363;z5z1;TSN;7016611;333;777
student8576;z5z5;TSN;1174217;214;372
student9081;z5z5;TSN;3632077;159;453
student5170;z5z5;TSN;7971377;411;1137
student6516;z5z5;TSN;4802173;278;743
student4167;z5z5;TSN;888785;96;253
student5829;z5z1;TSN;305972;46;84
student3485;z5z1;TSN;5716366;155;570
student6410;z5z1;TSN;5732559;333;877
student8288;z5z1;TSN;5253741;225;663
student1547;z5z1;TSN;1885389;181;391
student4261;z5z5;TSN;3110212;193;522
student2267;z5z5;TSN;11731850;394;1040
student1597;z5z5;TSN;15104966;470;1277
student7888;z5z5;TSN;3807621;237;625
student8118;z5z5;TSN;11709851;367;1202
