first;second;tupleType;plagType;plagTypeGroup;tool;similarity
gpt10-student8886;student8886;Plag-Original;Both;z5z1;Both;100.0
gpt10-student4167;student4167;Plag-Original;Both;z5z1;Both;100.0
gpt5-student4167;student4167;Plag-Original;Both;z5z1;Both;100.0
gpt0-student4167;student4167;Plag-Original;Both;z5z1;Both;100.0
gpt4-student4167;student4167;Plag-Original;Both;z5z1;Both;100.0
gpt10-student9443;student9443;Plag-Original;Both;z5z1;Both;94.68690702087287
student4167;gpt8-student4167;Plag-Original;Both;z5z1;Both;94.21487603305785
gpt11-student4167;student4167;Plag-Original;Both;z5z1;Both;81.25
gpt10-student4011;student4011;Plag-Original;Both;z5z1;Both;73.02904564315352
student4167;gpt12-student4167;Plag-Original;Both;z5z1;Both;67.54385964912281
gpt6-student4167;student4167;Plag-Original;Both;z5z1;Both;66.32124352331607
student4167;gpt13-student4167;Plag-Original;Both;z5z1;Both;66.09442060085837
gpt3-student4167;student4167;Plag-Original;Both;z5z1;Both;63.44086021505376
gpt7-student4167;student4167;Plag-Original;Both;z5z1;Both;60.19417475728155
student4167;gpt14-student4167;Plag-Original;Both;z5z1;Both;57.26495726495726
student4167;gpt1-student4167;Plag-Original;Both;z5z1;Both;55.65217391304348
gpt10-student2664;student2664;Plag-Original;Both;z5z1;Both;51.61904761904762
gpt8-student4011;student4011;Plag-Original;Both;z5z1;Both;50.21520803443329
gpt9-student4011;student4011;Plag-Original;Both;z5z1;Both;49.22118380062305
gpt2-student4167;student4167;Plag-Original;Both;z5z1;Both;48.19277108433735
student1551;student8118;Original-Original;Both;z5z1;Both;47.35322425409047
gpt13-student4011;student4011;Plag-Original;Both;z5z1;Both;46.065808297567955
gpt12-student4011;student4011;Plag-Original;Both;z5z1;Both;45.821325648414984
student9451;student1547;Original-Original;Both;z5z1;Both;45.08816120906801
student6516;student4628;Original-Original;Both;z5z1;Both;44.33497536945813
gpt14-student4011;student4011;Plag-Original;Both;z5z1;Both;42.836041358936484
gpt11-student9443;student9443;Plag-Original;Both;z5z1;Both;42.42424242424242
student1583;student6267;Original-Original;Both;z5z1;Both;42.404371584699454
student8665;student4628;Original-Original;Both;z5z1;Both;42.2360248447205
student9451;student8789;Original-Original;Both;z5z1;Both;41.12903225806452
gpt9-student4167;student4167;Plag-Original;Both;z5z1;Both;39.59390862944163
gpt14-student8886;student8886;Plag-Original;Both;z5z1;Both;39.42766295707472
student8886;student9443;Original-Original;Both;z5z1;Both;39.23154701718908
student9160;student5829;Original-Original;Both;z5z1;Both;38.92857142857143
gpt7-student8886;student8886;Plag-Original;Both;z5z1;Both;37.558685446009385
student6516;student8412;Original-Original;Both;z5z1;Both;37.420986093552465
student7888;student6267;Original-Original;Both;z5z1;Both;36.65987780040733
student6516;student5154;Original-Original;Both;z5z1;Both;35.83815028901734
student1220;student1583;Original-Original;Both;z5z1;Both;35.48795944233207
student1583;student8886;Original-Original;Both;z5z1;Both;35.333333333333336
student6516;student6267;Original-Original;Both;z5z1;Both;34.763476347634764
student4100;student9443;Original-Original;Both;z5z1;Both;34.64399574920298
student8412;student9443;Original-Original;Both;z5z1;Both;34.55377574370709
student1583;student7888;Original-Original;Both;z5z1;Both;34.50704225352113
student3568;student2267;Original-Original;Both;z5z1;Both;34.44639718804921
student4628;student8560;Original-Original;Both;z5z1;Both;34.368932038834956
student1424;student2267;Original-Original;Both;z5z1;Both;34.15929203539823
student4100;student6267;Original-Original;Both;z5z1;Both;33.91304347826087
student9160;student4011;Original-Original;Both;z5z1;Both;33.80855397148676
student4011;student3568;Original-Original;Both;z5z1;Both;33.52272727272727
student1531;student4412;Original-Original;Both;z5z1;Both;33.449965010496854
student9160;student9443;Original-Original;Both;z5z1;Both;33.233830845771145
student8886;student4011;Original-Original;Both;z5z1;Both;33.029381965552176
student6516;student3568;Original-Original;Both;z5z1;Both;32.91925465838509
student1583;student1597;Original-Original;Both;z5z1;Both;32.81786941580756
gpt12-student8886;student8886;Plag-Original;Both;z5z1;Both;32.65940902021773
student6516;student8560;Original-Original;Both;z5z1;Both;32.4974924774323
student7255;student1583;Original-Original;Both;z5z1;Both;32.45492371705964
student8886;student2664;Original-Original;Both;z5z1;Both;32.292595896520965
student6516;student1531;Original-Original;Both;z5z1;Both;32.059645852749306
student3568;student1597;Original-Original;Both;z5z1;Both;31.93916349809886
student4011;student5829;Original-Original;Both;z5z1;Both;31.75438596491228
student1583;student8560;Original-Original;Both;z5z1;Both;31.721470019342355
student4011;student8118;Original-Original;Both;z5z1;Both;31.683168316831683
student1424;student5170;Original-Original;Both;z5z1;Both;31.663974151857836
student8412;student1551;Original-Original;Both;z5z1;Both;31.017369727047146
student6267;student9443;Original-Original;Both;z5z1;Both;30.994152046783626
student8665;student1220;Original-Original;Both;z5z1;Both;30.967741935483872
student8665;student8412;Original-Original;Both;z5z1;Both;30.909090909090907
student1583;student8789;Original-Original;Both;z5z1;Both;30.864197530864196
student6516;student1424;Original-Original;Both;z5z1;Both;30.81695966907963
student4011;student3485;Original-Original;Both;z5z1;Both;30.66079295154185
student4011;student5287;Original-Original;Both;z5z1;Both;30.599999999999998
student9451;student8886;Original-Original;Both;z5z1;Both;30.471584038694076
gpt13-student9443;student9443;Plag-Original;Both;z5z1;Both;30.129124820659968
student1424;student5154;Original-Original;Both;z5z1;Both;29.93421052631579
student8560;student8288;Original-Original;Both;z5z1;Both;29.842180774748922
student8412;student3867;Original-Original;Both;z5z1;Both;29.782608695652176
student1583;student5170;Original-Original;Both;z5z1;Both;29.677419354838708
student2664;student8288;Original-Original;Both;z5z1;Both;29.6242774566474
student1583;student9443;Original-Original;Both;z5z1;Both;29.621621621621625
student4100;student5287;Original-Original;Both;z5z1;Both;29.53311617806732
student8665;student8006;Original-Original;Both;z5z1;Both;29.494079655543597
student8412;student1424;Original-Original;Both;z5z1;Both;29.455709711846318
student9451;student6267;Original-Original;Both;z5z1;Both;29.38271604938272
student6516;student2267;Original-Original;Both;z5z1;Both;29.132231404958674
student9451;student8412;Original-Original;Both;z5z1;Both;29.080932784636488
