first;second;tupleType;plagType;plagTypeGroup;tool;similarity
student7956;plag-student7956;Plag-Original;SMM;z5z1;SMM;98.30508474576271
student3594;plag-student3594;Plag-Original;SMM;z5z1;SMM;84.31372549019608
student4110;plag-student4110;Plag-Original;SMM;z5z1;SMM;74.53416149068323
student8089;plag-student8089;Plag-Original;SMM;z5z1;SMM;66.1498708010336
student8006;plag-student8006;Plag-Original;SMM;z5z1;SMM;57.925925925925924
student8886;plag-student8886;Plag-Original;SMM;z5z1;SMM;54.17298937784521
student8085;plag-student8085;Plag-Original;SMM;z5z1;SMM;52.412150089338894
student6410;plag-student6410;Plag-Original;SMM;z5z1;SMM;51.497769279796046
student6516;student4628;Original-Original;SMM;z5z1;SMM;51.368421052631575
student8665;student4628;Original-Original;SMM;z5z1;SMM;50.81788440567067
student1551;student8118;Original-Original;SMM;z5z1;SMM;49.621530698065605
student5287;plag-student5287;Plag-Original;SMM;z5z1;SMM;48.17749603803487
student3350;plag-student3350;Plag-Original;SMM;z5z1;SMM;47.783251231527096
student6774;plag-student6774;Plag-Original;SMM;z5z1;SMM;47.39336492890995
student1424;plag-student1424;Plag-Original;SMM;z5z1;SMM;47.04336399474376
student5381;plag-student5381;Plag-Original;SMM;z5z1;SMM;46.56488549618321
student4011;student3568;Original-Original;SMM;z5z1;SMM;45.608380338436746
student8055;plag-student8055;Plag-Original;SMM;z5z1;SMM;44.83870967741935
student3594;student2421;Original-Original;SMM;z5z1;SMM;44.680851063829785
student9451;student1547;Original-Original;SMM;z5z1;SMM;44.636251541307026
student1531;plag-student1531;Plag-Original;SMM;z5z1;SMM;43.68059227921734
student8789;plag-student8789;Plag-Original;SMM;z5z1;SMM;43.58311800172265
student9160;student4011;Original-Original;SMM;z5z1;SMM;43.327556325823224
student2664;plag-student2664;Plag-Original;SMM;z5z1;SMM;42.8125
student5170;plag-student5170;Plag-Original;SMM;z5z1;SMM;42.67326732673267
student9160;student5829;Original-Original;SMM;z5z1;SMM;42.67274107820805
student6363;plag-student6363;Plag-Original;SMM;z5z1;SMM;42.670537010159656
student4100;plag-student4100;Plag-Original;SMM;z5z1;SMM;42.24899598393574
