first;second;tupleType;plagType;plagTypeGroup;tool;similarity
student2421;plag-student2421;Plag-Original;TSN;z5z1;TSN;73.19587628865979
student8006;plag-student8006;Plag-Original;TSN;z5z1;TSN;64.73807662236122
student5536;plag-student5536;Plag-Original;TSN;z5z1;TSN;60.62176165803109
student8886;plag-student8886;Plag-Original;TSN;z5z1;TSN;59.75308641975309
student8085;plag-student8085;Plag-Original;TSN;z5z1;TSN;59.31972789115646
student3594;plag-student3594;Plag-Original;TSN;z5z1;TSN;56.52173913043478
student1531;plag-student1531;Plag-Original;TSN;z5z1;TSN;56.50118203309693
student6774;plag-student6774;Plag-Original;TSN;z5z1;TSN;56.14035087719298
student6267;plag-student6267;Plag-Original;TSN;z5z1;TSN;55.98731165741475
student4110;plag-student4110;Plag-Original;TSN;z5z1;TSN;51.73116089613035
student7165;plag-student7165;Plag-Original;TSN;z5z1;TSN;50.90909090909091
student8288;plag-student8288;Plag-Original;TSN;z5z1;TSN;50.88161209068011
student6410;plag-student6410;Plag-Original;TSN;z5z1;TSN;50.481430536451164
student1220;plag-student1220;Plag-Original;TSN;z5z1;TSN;50.204918032786885
student9451;plag-student9451;Plag-Original;TSN;z5z1;TSN;50.06045949214026
student5287;plag-student5287;Plag-Original;TSN;z5z1;TSN;49.62406015037594
student3350;plag-student3350;Plag-Original;TSN;z5z1;TSN;49.222065063649225
student1424;plag-student1424;Plag-Original;TSN;z5z1;TSN;48.08110065170166
student7956;plag-student7956;Plag-Original;TSN;z5z1;TSN;46.875
student5961;plag-student5961;Plag-Original;TSN;z5z1;TSN;46.21468926553673
student5170;plag-student5170;Plag-Original;TSN;z5z1;TSN;46.080760095011875
student5829;plag-student5829;Plag-Original;TSN;z5z1;TSN;46.06946983546618
student5154;plag-student5154;Plag-Original;TSN;z5z1;TSN;44.88330341113106
student9443;plag-student9443;Plag-Original;TSN;z5z1;TSN;44.802342606149345
student1597;plag-student1597;Plag-Original;TSN;z5z1;TSN;44.76342371079213
student6363;plag-student6363;Plag-Original;TSN;z5z1;TSN;44.40706476030278
student3485;plag-student3485;Plag-Original;TSN;z5z1;TSN;44.37763078773301
student1579;plag-student1579;Plag-Original;TSN;z5z1;TSN;44.18604651162791
student1551;plag-student1551;Plag-Original;TSN;z5z1;TSN;43.39457567804024
student2664;plag-student2664;Plag-Original;TSN;z5z1;TSN;42.830769230769235
student6790;plag-student6790;Plag-Original;TSN;z5z1;TSN;42.8235294117647
student7090;plag-student7090;Plag-Original;TSN;z5z1;TSN;41.94285714285714
student4100;plag-student4100;Plag-Original;TSN;z5z1;TSN;41.58964879852125
student1547;plag-student1547;Plag-Original;TSN;z5z1;TSN;41.40290846877674
student7255;plag-student7255;Plag-Original;TSN;z5z1;TSN;40.74505238649593
student2371;plag-student2371;Plag-Original;TSN;z5z1;TSN;40.587902769926515
student1583;student6267;Original-Original;TSN;z5z1;TSN;39.82777179763186
