first;second;tupleType;plagType;plagTypeGroup;tool;similarity
gpt9-student5829;student5829;Plag-Original;Base;z5z5;Base;100.0
gpt10-student8288;student8288;Plag-Original;Base;z5z5;Base;100.0
gpt10-student9081;student9081;Plag-Original;Base;z5z5;Base;99.05956112852664
gpt10-student8412;student8412;Plag-Original;Base;z5z5;Base;97.82608695652173
gpt11-student5829;student5829;Plag-Original;Base;z5z5;Base;94.73684210526315
gpt1-student5829;student5829;Plag-Original;Base;z5z5;Base;94.67455621301775
gpt5-student9081;student9081;Plag-Original;Base;z5z5;Base;94.19152276295134
gpt5-student5829;student5829;Plag-Original;Base;z5z5;Base;94.11764705882352
gpt10-student5829;student5829;Plag-Original;Base;z5z5;Base;91.86046511627907
student5829;gpt12-student5829;Plag-Original;Base;z5z5;Base;90.3954802259887
student8288;gpt14-student8288;Plag-Original;Base;z5z5;Base;90.1639344262295
gpt0-student5829;student5829;Plag-Original;Base;z5z5;Base;87.95180722891565
student5829;gpt3-student5829;Plag-Original;Base;z5z5;Base;86.85714285714286
student9081;gpt14-student9081;Plag-Original;Base;z5z5;Base;84.09785932721712
student8412;gpt7-student8412;Plag-Original;Base;z5z5;Base;83.20802005012531
student8412;gpt13-student8412;Plag-Original;Base;z5z5;Base;81.23393316195373
student5829;gpt13-student5829;Plag-Original;Base;z5z5;Base;81.1881188118812
student5829;gpt8-student5829;Plag-Original;Base;z5z5;Base;79.18781725888326
gpt8-student9081;student9081;Plag-Original;Base;z5z5;Base;77.85234899328859
student8412;gpt14-student8412;Plag-Original;Base;z5z5;Base;77.720207253886
gpt12-student9081;student9081;Plag-Original;Base;z5z5;Base;75.23629489603024
student5829;gpt7-student5829;Plag-Original;Base;z5z5;Base;72.27722772277228
student8412;gpt8-student8412;Plag-Original;Base;z5z5;Base;71.88264058679707
student1649;student2371;Original-Original;Base;z5z5;Base;71.00175746924428
gpt10-student3542;student3542;Plag-Original;Base;z5z5;Base;70.89783281733746
student8412;gpt12-student8412;Plag-Original;Base;z5z5;Base;69.85645933014354
gpt2-student5829;student5829;Plag-Original;Base;z5z5;Base;66.66666666666666
gpt11-student8288;student8288;Plag-Original;Base;z5z5;Base;64.5925925925926
gpt14-student3542;student3542;Plag-Original;Base;z5z5;Base;56.278366111951584
student5829;gpt14-student5829;Plag-Original;Base;z5z5;Base;54.14364640883977
