first;second;tupleType;plagType;plagTypeGroup;tool;similarity
gpt9-student5829;student5829;Plag-Original;SMM;z5z5;SMM;100.0
gpt10-student8288;student8288;Plag-Original;SMM;z5z5;SMM;100.0
gpt1-student5829;student5829;Plag-Original;SMM;z5z5;SMM;100.0
gpt5-student5829;student5829;Plag-Original;SMM;z5z5;SMM;100.0
gpt0-student5829;student5829;Plag-Original;SMM;z5z5;SMM;100.0
student5829;gpt3-student5829;Plag-Original;SMM;z5z5;SMM;100.0
student8412;gpt8-student8412;Plag-Original;SMM;z5z5;SMM;100.0
gpt10-student9081;student9081;Plag-Original;SMM;z5z5;SMM;99.05956112852664
gpt10-student8412;student8412;Plag-Original;SMM;z5z5;SMM;97.82608695652173
student8412;gpt7-student8412;Plag-Original;SMM;z5z5;SMM;96.37305699481865
student8412;gpt13-student8412;Plag-Original;SMM;z5z5;SMM;95.67567567567568
gpt11-student5829;student5829;Plag-Original;SMM;z5z5;SMM;94.73684210526315
gpt5-student9081;student9081;Plag-Original;SMM;z5z5;SMM;94.19152276295134
student8412;gpt14-student8412;Plag-Original;SMM;z5z5;SMM;93.36870026525199
gpt10-student5829;student5829;Plag-Original;SMM;z5z5;SMM;91.86046511627907
student5829;gpt14-student5829;Plag-Original;SMM;z5z5;SMM;90.58823529411765
student5829;gpt12-student5829;Plag-Original;SMM;z5z5;SMM;90.3954802259887
student8288;gpt14-student8288;Plag-Original;SMM;z5z5;SMM;90.1639344262295
student9081;gpt14-student9081;Plag-Original;SMM;z5z5;SMM;89.95363214837712
student5829;gpt8-student5829;Plag-Original;SMM;z5z5;SMM;88.52459016393442
student5829;gpt7-student5829;Plag-Original;SMM;z5z5;SMM;87.5
student1649;student2371;Original-Original;SMM;z5z5;SMM;84.65804066543437
gpt2-student5829;student5829;Plag-Original;SMM;z5z5;SMM;83.01886792452831
student5829;gpt13-student5829;Plag-Original;SMM;z5z5;SMM;81.1881188118812
student8412;gpt12-student8412;Plag-Original;SMM;z5z5;SMM;78.43137254901961
gpt8-student9081;student9081;Plag-Original;SMM;z5z5;SMM;77.85234899328859
gpt11-student8288;student8288;Plag-Original;SMM;z5z5;SMM;76.94656488549619
gpt12-student9081;student9081;Plag-Original;SMM;z5z5;SMM;75.23629489603024
gpt10-student3542;student3542;Plag-Original;SMM;z5z5;SMM;74.92163009404389
gpt4-student8412;student8412;Plag-Original;SMM;z5z5;SMM;74.2671009771987
gpt4-student5829;student5829;Plag-Original;SMM;z5z5;SMM;71.94244604316546
gpt3-student8412;student8412;Plag-Original;SMM;z5z5;SMM;71.7948717948718
gpt2-student8412;student8412;Plag-Original;SMM;z5z5;SMM;64.3598615916955
student8576;student3485;Original-Original;SMM;z5z5;SMM;63.08243727598566
student8412;student6363;Original-Original;SMM;z5z5;SMM;63.05418719211823
gpt14-student3542;student3542;Plag-Original;SMM;z5z5;SMM;60.62499999999999
gpt9-student8412;student8412;Plag-Original;SMM;z5z5;SMM;53.822629969418955
student8576;student2267;Original-Original;SMM;z5z5;SMM;53.60443622920518
gpt0-student8412;student8412;Plag-Original;SMM;z5z5;SMM;52.99684542586751
gpt11-student9081;student9081;Plag-Original;SMM;z5z5;SMM;52.56198347107438
gpt11-student8412;student8412;Plag-Original;SMM;z5z5;SMM;52.20125786163522
gpt9-student9081;student9081;Plag-Original;SMM;z5z5;SMM;50.678733031674206
gpt1-student8412;student8412;Plag-Original;SMM;z5z5;SMM;49.056603773584904
gpt7-student9081;student9081;Plag-Original;SMM;z5z5;SMM;48.261758691206545
student8412;student8576;Original-Original;SMM;z5z5;SMM;45.72748267898383
student8576;student9081;Original-Original;SMM;z5z5;SMM;44.75524475524475
gpt4-student3542;student3542;Plag-Original;SMM;z5z5;SMM;44.07484407484408
gpt0-student9081;student9081;Plag-Original;SMM;z5z5;SMM;43.68600682593857
gpt2-student9081;student9081;Plag-Original;SMM;z5z5;SMM;43.37811900191939
student2267;student9081;Original-Original;SMM;z5z5;SMM;42.07011686143572
gpt8-student3542;student3542;Plag-Original;SMM;z5z5;SMM;41.61616161616162
