first;second;tupleType;plagType;plagTypeGroup;tool;similarity
gpt10-student8288;student8288;Plag-Original;TSN;z5z5;TSN;100.0
gpt10-student9081;student9081;Plag-Original;TSN;z5z5;TSN;99.6078431372549
gpt10-student8412;student8412;Plag-Original;TSN;z5z5;TSN;97.82608695652173
gpt9-student5829;student5829;Plag-Original;TSN;z5z5;TSN;97.3913043478261
student9081;gpt14-student9081;Plag-Original;TSN;z5z5;TSN;95.90643274853801
gpt14-student8412;student8412;Plag-Original;TSN;z5z5;TSN;95.18716577540107
student5829;gpt12-student5829;Plag-Original;TSN;z5z5;TSN;95.0
gpt5-student9081;student9081;Plag-Original;TSN;z5z5;TSN;93.1237721021611
gpt3-student5829;student5829;Plag-Original;TSN;z5z5;TSN;93.10344827586206
gpt11-student5829;student5829;Plag-Original;TSN;z5z5;TSN;93.10344827586206
student5829;gpt13-student5829;Plag-Original;TSN;z5z5;TSN;88.70967741935483
gpt14-student8288;student8288;Plag-Original;TSN;z5z5;TSN;88.1542699724518
gpt10-student5829;student5829;Plag-Original;TSN;z5z5;TSN;88.13559322033898
student8412;gpt8-student8412;Plag-Original;TSN;z5z5;TSN;87.59493670886076
student8412;gpt7-student8412;Plag-Original;TSN;z5z5;TSN;83.6272040302267
student8412;gpt13-student8412;Plag-Original;TSN;z5z5;TSN;83.37730870712402
gpt14-student5829;student5829;Plag-Original;TSN;z5z5;TSN;80.34188034188034
gpt5-student5829;student5829;Plag-Original;TSN;z5z5;TSN;74.13793103448276
gpt0-student5829;student5829;Plag-Original;TSN;z5z5;TSN;73.68421052631578
gpt1-student5829;student5829;Plag-Original;TSN;z5z5;TSN;73.68421052631578
gpt12-student9081;student9081;Plag-Original;TSN;z5z5;TSN;72.09876543209876
student5829;gpt7-student5829;Plag-Original;TSN;z5z5;TSN;71.83098591549296
gpt8-student9081;student9081;Plag-Original;TSN;z5z5;TSN;71.72995780590718
student5829;gpt8-student5829;Plag-Original;TSN;z5z5;TSN;71.32867132867133
student8412;gpt12-student8412;Plag-Original;TSN;z5z5;TSN;69.85645933014354
student1649;student2371;Original-Original;TSN;z5z5;TSN;68.35443037974683
gpt11-student8288;student8288;Plag-Original;TSN;z5z5;TSN;64.5925925925926
gpt10-student3542;student3542;Plag-Original;TSN;z5z5;TSN;64.28571428571429
gpt14-student3542;student3542;Plag-Original;TSN;z5z5;TSN;51.40388768898488
gpt3-student8412;student8412;Plag-Original;TSN;z5z5;TSN;50.920245398773
student5829;gpt4-student5829;Plag-Original;TSN;z5z5;TSN;50.40650406504065
gpt11-student8412;student8412;Plag-Original;TSN;z5z5;TSN;46.2962962962963
gpt2-student5829;student5829;Plag-Original;TSN;z5z5;TSN;45.21739130434783
gpt4-student8412;student8412;Plag-Original;TSN;z5z5;TSN;45.1219512195122
gpt11-student9081;student9081;Plag-Original;TSN;z5z5;TSN;41.32231404958678
gpt0-student8412;student8412;Plag-Original;TSN;z5z5;TSN;41.104294478527606
gpt12-student8288;student8288;Plag-Original;TSN;z5z5;TSN;39.5112016293279
gpt9-student8412;student8412;Plag-Original;TSN;z5z5;TSN;38.57566765578635
gpt7-student9081;student9081;Plag-Original;TSN;z5z5;TSN;36.26373626373626
gpt9-student9081;student9081;Plag-Original;TSN;z5z5;TSN;33.9622641509434
student8576;student3485;Original-Original;TSN;z5z5;TSN;32.80898876404494
gpt2-student8412;student8412;Plag-Original;TSN;z5z5;TSN;32.61538461538461
gpt8-student3542;student3542;Plag-Original;TSN;z5z5;TSN;32.25806451612903
gpt0-student9081;student9081;Plag-Original;TSN;z5z5;TSN;30.669546436285096
student8576;student2267;Original-Original;TSN;z5z5;TSN;30.62645011600928
gpt1-student8412;student8412;Plag-Original;TSN;z5z5;TSN;30.340557275541798
student3485;student2371;Original-Original;TSN;z5z5;TSN;30.181818181818183
student8412;student6363;Original-Original;TSN;z5z5;TSN;28.440366972477065
student3485;student1649;Original-Original;TSN;z5z5;TSN;27.76659959758551
gpt7-student8288;student8288;Plag-Original;TSN;z5z5;TSN;27.765726681127983
gpt7-student3542;student3542;Plag-Original;TSN;z5z5;TSN;27.450980392156865
student8576;student9081;Original-Original;TSN;z5z5;TSN;26.93156732891832
student6363;student4261;Original-Original;TSN;z5z5;TSN;26.641651031894938
gpt0-student8288;student8288;Plag-Original;TSN;z5z5;TSN;26.277372262773724
gpt5-student3542;student3542;Plag-Original;TSN;z5z5;TSN;25.806451612903224
student1547;student4261;Original-Original;TSN;z5z5;TSN;25.089605734767023
gpt8-student8288;student8288;Plag-Original;TSN;z5z5;TSN;25.0
gpt2-student3542;student3542;Plag-Original;TSN;z5z5;TSN;24.867724867724867
student8412;student8705;Original-Original;TSN;z5z5;TSN;24.203821656050955
student8412;student2371;Original-Original;TSN;z5z5;TSN;24.081632653061224
student9081;student2371;Original-Original;TSN;z5z5;TSN;24.014336917562723
student8412;student8576;Original-Original;TSN;z5z5;TSN;23.896103896103895
gpt5-student8412;student8412;Plag-Original;TSN;z5z5;TSN;23.809523809523807
gpt6-student3542;student3542;Plag-Original;TSN;z5z5;TSN;23.15270935960591
student8412;student1649;Original-Original;TSN;z5z5;TSN;22.42562929061785
gpt3-student9081;student9081;Plag-Original;TSN;z5z5;TSN;21.875
student8412;student3485;Original-Original;TSN;z5z5;TSN;21.658986175115206
student8576;student1547;Original-Original;TSN;z5z5;TSN;21.610169491525426
student8412;student2267;Original-Original;TSN;z5z5;TSN;21.428571428571427
student1547;student5536;Original-Original;TSN;z5z5;TSN;21.27659574468085
student8412;student1547;Original-Original;TSN;z5z5;TSN;21.25813449023861
gpt1-student9081;student9081;Plag-Original;TSN;z5z5;TSN;21.247113163972287
gpt2-student8288;student8288;Plag-Original;TSN;z5z5;TSN;20.754716981132077
gpt4-student8288;student8288;Plag-Original;TSN;z5z5;TSN;20.18018018018018
gpt3-student8288;student8288;Plag-Original;TSN;z5z5;TSN;20.17094017094017
student2267;student6363;Original-Original;TSN;z5z5;TSN;19.91701244813278
gpt4-student9081;student9081;Plag-Original;TSN;z5z5;TSN;19.886363636363637
student6363;student1547;Original-Original;TSN;z5z5;TSN;19.88527724665392
student8789;student4261;Original-Original;TSN;z5z5;TSN;19.734345351043643
gpt6-student8412;student8412;Plag-Original;TSN;z5z5;TSN;19.631901840490798
student8412;student4261;Original-Original;TSN;z5z5;TSN;19.53290870488323
gpt3-student3542;student3542;Plag-Original;TSN;z5z5;TSN;19.196428571428573
student8576;student8705;Original-Original;TSN;z5z5;TSN;19.08713692946058
gpt0-student3542;student3542;Plag-Original;TSN;z5z5;TSN;18.932038834951456
student8789;student9081;Original-Original;TSN;z5z5;TSN;18.87550200803213
student8576;student2371;Original-Original;TSN;z5z5;TSN;18.36327345309381
gpt1-student8288;student8288;Plag-Original;TSN;z5z5;TSN;18.21493624772313
student3485;student8705;Original-Original;TSN;z5z5;TSN;18.07909604519774
student2267;student9081;Original-Original;TSN;z5z5;TSN;18.0327868852459
gpt4-student3542;student3542;Plag-Original;TSN;z5z5;TSN;17.86743515850144
student2267;student8705;Original-Original;TSN;z5z5;TSN;17.408123791102515
student2267;student1547;Original-Original;TSN;z5z5;TSN;17.357001972386588
student6363;student8705;Original-Original;TSN;z5z5;TSN;17.26078799249531
student4261;student5536;Original-Original;TSN;z5z5;TSN;17.073170731707318
student5829;gpt6-student5829;Plag-Original;TSN;z5z5;TSN;17.02127659574468
student9081;student1547;Original-Original;TSN;z5z5;TSN;17.01323251417769
student9081;student5536;Original-Original;TSN;z5z5;TSN;16.88073394495413
student8705;student8288;Original-Original;TSN;z5z5;TSN;16.69242658423493
student8789;student1547;Original-Original;TSN;z5z5;TSN;16.634429400386846
student2371;student8288;Original-Original;TSN;z5z5;TSN;16.516516516516518
student8705;student5536;Original-Original;TSN;z5z5;TSN;16.02787456445993
student4261;student8705;Original-Original;TSN;z5z5;TSN;15.845070422535212
student3542;student4261;Original-Original;TSN;z5z5;TSN;15.837937384898712
student8576;student1649;Original-Original;TSN;z5z5;TSN;15.625
student6363;student5536;Original-Original;TSN;z5z5;TSN;15.584415584415584
student9081;student8288;Original-Original;TSN;z5z5;TSN;15.53398058252427
gpt2-student9081;student9081;Plag-Original;TSN;z5z5;TSN;15.49636803874092
student8789;student6363;Original-Original;TSN;z5z5;TSN;15.447154471544716
student8576;student6363;Original-Original;TSN;z5z5;TSN;15.212527964205815
student8412;student5536;Original-Original;TSN;z5z5;TSN;14.675052410901468
student8576;student8789;Original-Original;TSN;z5z5;TSN;14.512471655328799
student8412;student9081;Original-Original;TSN;z5z5;TSN;14.479638009049776
student8412;student3542;Original-Original;TSN;z5z5;TSN;14.349775784753364
student1649;student9081;Original-Original;TSN;z5z5;TSN;14.257425742574256
student8576;student3542;Original-Original;TSN;z5z5;TSN;14.00437636761488
student8576;student5536;Original-Original;TSN;z5z5;TSN;13.934426229508196
