first;second;tupleType;plagType;plagTypeGroup;tool;similarity
student1649;student2371;Original-Original;Base;z5z5;Base;71.00175746924428
student8576;student2267;Original-Original;Base;z5z5;Base;47.122302158273385
student8576;student3485;Original-Original;Base;z5z5;Base;43.826086956521735
student8576;student9081;Original-Original;Base;z5z5;Base;38.96551724137931
student8576;student8705;Original-Original;Base;z5z5;Base;32.172470978441126
student2267;student8705;Original-Original;Base;z5z5;Base;32.025117739403456
student2267;student9081;Original-Original;Base;z5z5;Base;31.27035830618892
student9081;student5536;Original-Original;Base;z5z5;Base;29.275808936825886
student3485;student9081;Original-Original;Base;z5z5;Base;29.067930489731435
student8412;student6363;Original-Original;Base;z5z5;Base;28.440366972477065
student8576;student5536;Original-Original;Base;z5z5;Base;28.426395939086298
student2267;student3485;Original-Original;Base;z5z5;Base;28.24302134646962
student5829;student8576;Original-Original;Base;z5z5;Base;28.24207492795389
student8576;student3542;Original-Original;Base;z5z5;Base;28.05872756933116
student3485;student8705;Original-Original;Base;z5z5;Base;28.04878048780488
student2267;student5536;Original-Original;Base;z5z5;Base;27.839999999999996
student9081;student8705;Original-Original;Base;z5z5;Base;27.23146747352496
student6363;student4261;Original-Original;Base;z5z5;Base;26.443202979515828
student3485;student3542;Original-Original;Base;z5z5;Base;26.426426426426424
student3485;student5536;Original-Original;Base;z5z5;Base;26.39751552795031
student2267;student3542;Original-Original;Base;z5z5;Base;26.275115919629055
student8705;student3542;Original-Original;Base;z5z5;Base;25.936599423631122
student5536;student8705;Original-Original;Base;z5z5;Base;25.892857142857146
student5536;student3542;Original-Original;Base;z5z5;Base;25.806451612903224
student9081;student3542;Original-Original;Base;z5z5;Base;25.335320417287633
student1547;student4261;Original-Original;Base;z5z5;Base;24.866785079928952
student1649;student3485;Original-Original;Base;z5z5;Base;24.125874125874127
student8412;student2371;Original-Original;Base;z5z5;Base;23.694779116465863
student2371;student3485;Original-Original;Base;z5z5;Base;23.68
student8789;student4261;Original-Original;Base;z5z5;Base;23.146473779385172
student5829;student3485;Original-Original;Base;z5z5;Base;22.5
student8412;student1649;Original-Original;Base;z5z5;Base;22.02247191011236
student8412;student8576;Original-Original;Base;z5z5;Base;21.875
student8412;student1547;Original-Original;Base;z5z5;Base;21.21212121212121
student8576;student1547;Original-Original;Base;z5z5;Base;20.522388059701495
student5829;student2267;Original-Original;Base;z5z5;Base;20.47244094488189
student5829;student9081;Original-Original;Base;z5z5;Base;20.246913580246915
student3542;plag-student3542;Plag-Original;Base;z5z5;Base;19.982920580700256
student3485;plag-student3485;Plag-Original;Base;z5z5;Base;19.960079840319363
student8412;plag-student8412;Plag-Original;Base;z5z5;Base;19.95841995841996
student9081;plag-student9081;Plag-Original;Base;z5z5;Base;19.946571682991987
student2664;plag-student2664;Plag-Original;Base;z5z5;Base;19.913419913419915
student5829;plag-student5829;Plag-Original;Base;z5z5;Base;19.913419913419915
student6363;student1547;Original-Original;Base;z5z5;Base;19.84732824427481
student1547;student5536;Original-Original;Base;z5z5;Base;19.834710743801654
student5829;student8705;Original-Original;Base;z5z5;Base;19.626168224299064
student8412;student3485;Original-Original;Base;z5z5;Base;19.560878243512974
student2371;plag-student2371;Plag-Original;Base;z5z5;Base;19.51219512195122
student6363;plag-student6363;Plag-Original;Base;z5z5;Base;19.484240687679083
student8412;student4261;Original-Original;Base;z5z5;Base;19.36842105263158
student8705;plag-student8705;Plag-Original;Base;z5z5;Base;19.27888153053716
student1649;student8576;Original-Original;Base;z5z5;Base;19.26782273603083
student5829;student5536;Original-Original;Base;z5z5;Base;19.230769230769234
student1547;plag-student1547;Plag-Original;Base;z5z5;Base;19.210526315789473
student5536;plag-student5536;Plag-Original;Base;z5z5;Base;19.196428571428573
student4261;plag-student4261;Plag-Original;Base;z5z5;Base;19.174757281553397
student1649;plag-student1649;Plag-Original;Base;z5z5;Base;19.130434782608695
student8412;student2267;Original-Original;Base;z5z5;Base;19.08713692946058
student8789;plag-student8789;Plag-Original;Base;z5z5;Base;18.992805755395683
student2267;plag-student2267;Plag-Original;Base;z5z5;Base;18.9873417721519
student8089;plag-student8089;Plag-Original;Base;z5z5;Base;18.867924528301888
student8288;plag-student8288;Plag-Original;Base;z5z5;Base;18.828049951969263
student8576;plag-student8576;Plag-Original;Base;z5z5;Base;18.586387434554975
student2371;student9081;Original-Original;Base;z5z5;Base;18.412698412698415
student5829;student3542;Original-Original;Base;z5z5;Base;17.80821917808219
student8576;student2371;Original-Original;Base;z5z5;Base;17.482517482517483
student6363;student2267;Original-Original;Base;z5z5;Base;16.911764705882355
student2371;student8288;Original-Original;Base;z5z5;Base;16.320474777448073
student8789;student9081;Original-Original;Base;z5z5;Base;16.095890410958905
student8789;student1547;Original-Original;Base;z5z5;Base;15.925925925925927
student4261;student5536;Original-Original;Base;z5z5;Base;15.857605177993527
student1547;student2267;Original-Original;Base;z5z5;Base;15.789473684210526
student6363;student5536;Original-Original;Base;z5z5;Base;15.544041450777202
student8705;student8288;Original-Original;Base;z5z5;Base;15.319148936170212
student1547;student9081;Original-Original;Base;z5z5;Base;15.151515151515152
student6363;student8789;Original-Original;Base;z5z5;Base;14.785992217898833
student8789;student2267;Original-Original;Base;z5z5;Base;14.642857142857144
student3485;student8288;Original-Original;Base;z5z5;Base;14.47562776957164
student8412;student8705;Original-Original;Base;z5z5;Base;13.988657844990549
student8412;student5536;Original-Original;Base;z5z5;Base;13.539651837524177
student1649;student1547;Original-Original;Base;z5z5;Base;13.50844277673546
student8412;student8288;Original-Original;Base;z5z5;Base;13.454545454545455
student4261;student3542;Original-Original;Base;z5z5;Base;13.4375
student6363;student8576;Original-Original;Base;z5z5;Base;13.333333333333334
student1547;student3485;Original-Original;Base;z5z5;Base;13.242784380305602
student1547;student2371;Original-Original;Base;z5z5;Base;12.969283276450511
student6363;student2371;Original-Original;Base;z5z5;Base;12.857142857142856
student8412;student9081;Original-Original;Base;z5z5;Base;12.648221343873518
student8576;student8288;Original-Original;Base;z5z5;Base;12.5
student1649;student9081;Original-Original;Base;z5z5;Base;12.478336221837088
student6363;student8288;Original-Original;Base;z5z5;Base;12.418300653594772
student4261;student2267;Original-Original;Base;z5z5;Base;12.34991423670669
student1649;student2267;Original-Original;Base;z5z5;Base;12.296564195298371
student8576;student8789;Original-Original;Base;z5z5;Base;12.167300380228136
student6363;student3485;Original-Original;Base;z5z5;Base;12.078152753108348
student1649;student8288;Original-Original;Base;z5z5;Base;11.916264090177133
student1547;student8288;Original-Original;Base;z5z5;Base;11.912225705329153
student8412;student3542;Original-Original;Base;z5z5;Base;11.873840445269018
student8576;student4261;Original-Original;Base;z5z5;Base;11.657559198542804
student5829;student8288;Original-Original;Base;z5z5;Base;11.58129175946548
student1547;student8705;Original-Original;Base;z5z5;Base;11.345218800648297
student1649;student8705;Original-Original;Base;z5z5;Base;11.333333333333332
student6363;student3542;Original-Original;Base;z5z5;Base;11.314475873544092
student6363;student9081;Original-Original;Base;z5z5;Base;11.267605633802818
student2267;student2371;Original-Original;Base;z5z5;Base;11.221122112211221
student6363;student8705;Original-Original;Base;z5z5;Base;11.16751269035533
student1649;student8789;Original-Original;Base;z5z5;Base;11.089866156787762
student2371;student5536;Original-Original;Base;z5z5;Base;10.9204368174727
student2371;student8705;Original-Original;Base;z5z5;Base;10.719754977029096
student4261;student2371;Original-Original;Base;z5z5;Base;10.684474123539232
student4261;student3485;Original-Original;Base;z5z5;Base;10.631229235880399
student4261;student9081;Original-Original;Base;z5z5;Base;10.543657331136739
student8789;student5536;Original-Original;Base;z5z5;Base;10.420168067226891
student5536;student8288;Original-Original;Base;z5z5;Base;10.38961038961039
student8789;student3485;Original-Original;Base;z5z5;Base;10.362694300518134
student1547;student3542;Original-Original;Base;z5z5;Base;10.207336523125997
student4261;student8705;Original-Original;Base;z5z5;Base;10.158730158730158
student8789;student2371;Original-Original;Base;z5z5;Base;10.069444444444445
student2267;student8288;Original-Original;Base;z5z5;Base;10.030395136778116
student4261;student8288;Original-Original;Base;z5z5;Base;9.831029185867896
student2371;student3542;Original-Original;Base;z5z5;Base;9.653092006033184
student8789;student8288;Original-Original;Base;z5z5;Base;9.554140127388536
student5829;student8412;Original-Original;Base;z5z5;Base;9.523809523809524
student9081;student8288;Original-Original;Base;z5z5;Base;9.3841642228739
student3542;student8288;Original-Original;Base;z5z5;Base;8.951048951048952
student2664;student4261;Original-Original;Base;z5z5;Base;8.356545961002785
student5829;student1547;Original-Original;Base;z5z5;Base;8.310249307479225
student6363;student1649;Original-Original;Base;z5z5;Base;8.284023668639055
student2664;student8576;Original-Original;Base;z5z5;Base;7.83132530120482
student8412;student8789;Original-Original;Base;z5z5;Base;7.52212389380531
student1649;student4261;Original-Original;Base;z5z5;Base;7.326007326007327
student2664;student1649;Original-Original;Base;z5z5;Base;7.29483282674772
student5829;student6363;Original-Original;Base;z5z5;Base;7.164179104477612
student1649;student5536;Original-Original;Base;z5z5;Base;7.142857142857142
student2664;student2267;Original-Original;Base;z5z5;Base;7.103825136612022
student5829;student1649;Original-Original;Base;z5z5;Base;6.976744186046512
student8789;student3542;Original-Original;Base;z5z5;Base;6.807131280388978
student1649;student3542;Original-Original;Base;z5z5;Base;6.557377049180328
student5829;student2371;Original-Original;Base;z5z5;Base;6.54911838790932
student5829;student4261;Original-Original;Base;z5z5;Base;6.417112299465241
student8789;student8705;Original-Original;Base;z5z5;Base;5.601317957166392
student2664;student5536;Original-Original;Base;z5z5;Base;0.0
student8089;student5536;Original-Original;Base;z5z5;Base;0.0
student8089;student2267;Original-Original;Base;z5z5;Base;0.0
student2664;student8705;Original-Original;Base;z5z5;Base;0.0
student8089;student8705;Original-Original;Base;z5z5;Base;0.0
student2664;student6363;Original-Original;Base;z5z5;Base;0.0
student8089;student6363;Original-Original;Base;z5z5;Base;0.0
student2664;student8288;Original-Original;Base;z5z5;Base;0.0
student8089;student8288;Original-Original;Base;z5z5;Base;0.0
student2664;student8789;Original-Original;Base;z5z5;Base;0.0
student2664;student9081;Original-Original;Base;z5z5;Base;0.0
student2664;student3485;Original-Original;Base;z5z5;Base;0.0
student2664;student3542;Original-Original;Base;z5z5;Base;0.0
student2664;student2371;Original-Original;Base;z5z5;Base;0.0
student2664;student1547;Original-Original;Base;z5z5;Base;0.0
student2664;student8412;Original-Original;Base;z5z5;Base;0.0
student8089;student2664;Original-Original;Base;z5z5;Base;0.0
student2664;student5829;Original-Original;Base;z5z5;Base;0.0
student8089;student8789;Original-Original;Base;z5z5;Base;0.0
student5829;student8789;Original-Original;Base;z5z5;Base;0.0
student8089;student9081;Original-Original;Base;z5z5;Base;0.0
student8089;student3485;Original-Original;Base;z5z5;Base;0.0
student8089;student3542;Original-Original;Base;z5z5;Base;0.0
student8089;student2371;Original-Original;Base;z5z5;Base;0.0
student8089;student1547;Original-Original;Base;z5z5;Base;0.0
student8089;student8412;Original-Original;Base;z5z5;Base;0.0
student8089;student8576;Original-Original;Base;z5z5;Base;0.0
student8089;student4261;Original-Original;Base;z5z5;Base;0.0
student8089;student1649;Original-Original;Base;z5z5;Base;0.0
student8089;student5829;Original-Original;Base;z5z5;Base;0.0
