first;second;tupleType;plagType;plagTypeGroup;tool;similarity
student2371;plag-student2371;Plag-Original;Both;z5z5;Both;98.69281045751634
student8412;plag-student8412;Plag-Original;Both;z5z5;Both;98.66666666666667
student8089;plag-student8089;Plag-Original;Both;z5z5;Both;98.4375
student8789;plag-student8789;Plag-Original;Both;z5z5;Both;96.9939879759519
student8288;plag-student8288;Plag-Original;Both;z5z5;Both;94.00798934753661
student5536;plag-student5536;Plag-Original;Both;z5z5;Both;91.81969949916528
student1547;plag-student1547;Plag-Original;Both;z5z5;Both;85.76449912126537
student1649;plag-student1649;Plag-Original;Both;z5z5;Both;85.0828729281768
student4261;plag-student4261;Plag-Original;Both;z5z5;Both;82.8150572831424
student1649;student2371;Original-Original;Both;z5z5;Both;80.90737240075615
student3485;plag-student3485;Plag-Original;Both;z5z5;Both;66.32478632478632
student6363;plag-student6363;Plag-Original;Both;z5z5;Both;65.42372881355932
student9081;plag-student9081;Plag-Original;Both;z5z5;Both;63.622047244094496
student8705;plag-student8705;Plag-Original;Both;z5z5;Both;62.78145695364239
student8412;student6363;Original-Original;Both;z5z5;Both;62.254901960784316
student3542;plag-student3542;Plag-Original;Both;z5z5;Both;59.05044510385756
student2664;plag-student2664;Plag-Original;Both;z5z5;Both;55.172413793103445
student8576;student3485;Original-Original;Both;z5z5;Both;54.50346420323326
student8412;student8576;Original-Original;Both;z5z5;Both;53.908355795148246
student5829;plag-student5829;Plag-Original;Both;z5z5;Both;53.0
student8576;plag-student8576;Plag-Original;Both;z5z5;Both;52.26781857451404
student8412;student3485;Original-Original;Both;z5z5;Both;44.70588235294118
student8576;student6363;Original-Original;Both;z5z5;Both;44.18604651162791
student2267;plag-student2267;Plag-Original;Both;z5z5;Both;43.925233644859816
student8576;student2267;Original-Original;Both;z5z5;Both;38.91625615763547
student6363;student1547;Original-Original;Both;z5z5;Both;38.20662768031189
student8412;student8705;Original-Original;Both;z5z5;Both;33.5483870967742
student8576;student1547;Original-Original;Both;z5z5;Both;30.237580993520517
student3485;student2371;Original-Original;Both;z5z5;Both;30.181818181818183
student3485;student1649;Original-Original;Both;z5z5;Both;29.098360655737704
student9081;student2371;Original-Original;Both;z5z5;Both;29.038112522686028
student8576;student2371;Original-Original;Both;z5z5;Both;28.92561983471074
student8412;student9081;Original-Original;Both;z5z5;Both;27.699530516431924
student8576;student9081;Original-Original;Both;z5z5;Both;26.93156732891832
student6363;student4261;Original-Original;Both;z5z5;Both;26.641651031894938
student8789;student4261;Original-Original;Both;z5z5;Both;26.407766990291265
student2267;student9081;Original-Original;Both;z5z5;Both;26.359832635983267
student1547;student4261;Original-Original;Both;z5z5;Both;26.3254113345521
student8789;student1547;Original-Original;Both;z5z5;Both;26.24254473161034
student8705;student5536;Original-Original;Both;z5z5;Both;25.4416961130742
student8412;student8789;Original-Original;Both;z5z5;Both;25.17814726840855
student4261;student8705;Original-Original;Both;z5z5;Both;25.0
student8412;student2371;Original-Original;Both;z5z5;Both;24.081632653061224
student3485;student8705;Original-Original;Both;z5z5;Both;23.61904761904762
student8789;student6363;Original-Original;Both;z5z5;Both;23.140495867768596
student1547;student5536;Original-Original;Both;z5z5;Both;22.898032200357783
student8412;student1649;Original-Original;Both;z5z5;Both;22.42562929061785
student2267;student3485;Original-Original;Both;z5z5;Both;22.127659574468083
student8576;student5536;Original-Original;Both;z5z5;Both;22.03742203742204
student8789;student8705;Original-Original;Both;z5z5;Both;21.956087824351297
student8412;student2267;Original-Original;Both;z5z5;Both;21.428571428571427
student8412;student1547;Original-Original;Both;z5z5;Both;21.25813449023861
student2267;student1547;Original-Original;Both;z5z5;Both;20.606060606060606
student9081;student4261;Original-Original;Both;z5z5;Both;20.26768642447419
student2267;student2371;Original-Original;Both;z5z5;Both;20.19417475728155
student2267;student6363;Original-Original;Both;z5z5;Both;19.91701244813278
student8576;student8288;Original-Original;Both;z5z5;Both;19.748653500897667
student8412;student4261;Original-Original;Both;z5z5;Both;19.53290870488323
student8576;student8705;Original-Original;Both;z5z5;Both;19.08713692946058
student8789;student9081;Original-Original;Both;z5z5;Both;18.87550200803213
student4261;student8288;Original-Original;Both;z5z5;Both;18.75
student3485;student5536;Original-Original;Both;z5z5;Both;18.28793774319066
student8412;student5536;Original-Original;Both;z5z5;Both;18.220338983050848
student3485;student3542;Original-Original;Both;z5z5;Both;18.181818181818183
student8705;student2371;Original-Original;Both;z5z5;Both;17.543859649122805
student2267;student8705;Original-Original;Both;z5z5;Both;17.408123791102515
student6363;student8705;Original-Original;Both;z5z5;Both;17.26078799249531
student4261;student5536;Original-Original;Both;z5z5;Both;17.253521126760564
student6363;student8288;Original-Original;Both;z5z5;Both;17.1900826446281
student9081;student1547;Original-Original;Both;z5z5;Both;17.01323251417769
student9081;student5536;Original-Original;Both;z5z5;Both;16.88073394495413
student6363;student9081;Original-Original;Both;z5z5;Both;16.766467065868262
student8705;student8288;Original-Original;Both;z5z5;Both;16.69242658423493
student2664;student8789;Original-Original;Both;z5z5;Both;16.611295681063122
student1547;student8288;Original-Original;Both;z5z5;Both;16.560509554140125
student2371;student8288;Original-Original;Both;z5z5;Both;16.516516516516518
student2664;student1649;Original-Original;Both;z5z5;Both;16.0
student3542;student4261;Original-Original;Both;z5z5;Both;15.837937384898712
student8576;student1649;Original-Original;Both;z5z5;Both;15.625
student8576;student8789;Original-Original;Both;z5z5;Both;15.59633027522936
student6363;student5536;Original-Original;Both;z5z5;Both;15.584415584415584
student9081;student8288;Original-Original;Both;z5z5;Both;15.53398058252427
student8412;student3542;Original-Original;Both;z5z5;Both;14.349775784753364
student8576;student3542;Original-Original;Both;z5z5;Both;14.349775784753364
student1649;student9081;Original-Original;Both;z5z5;Both;14.257425742574256
student6363;student3542;Original-Original;Both;z5z5;Both;13.934426229508196
student2267;student4261;Original-Original;Both;z5z5;Both;13.926499032882012
student2267;student3542;Original-Original;Both;z5z5;Both;13.821138211382115
student3485;student1547;Original-Original;Both;z5z5;Both;13.81957773512476
student2267;student5536;Original-Original;Both;z5z5;Both;13.766730401529637
student1649;student1547;Original-Original;Both;z5z5;Both;13.740458015267176
student3485;student6363;Original-Original;Both;z5z5;Both;13.709677419354838
student2267;student1649;Original-Original;Both;z5z5;Both;13.664596273291925
student8412;student8288;Original-Original;Both;z5z5;Both;13.454545454545455
student6363;student1649;Original-Original;Both;z5z5;Both;13.387423935091277
student3485;student4261;Original-Original;Both;z5z5;Both;13.307984790874524
student3542;student8705;Original-Original;Both;z5z5;Both;13.307984790874524
student8576;student4261;Original-Original;Both;z5z5;Both;13.278008298755188
student1547;student2371;Original-Original;Both;z5z5;Both;13.171577123050259
student3485;student9081;Original-Original;Both;z5z5;Both;13.147410358565736
student6363;student2371;Original-Original;Both;z5z5;Both;13.043478260869565
student2267;student8789;Original-Original;Both;z5z5;Both;13.025210084033615
student1649;student8288;Original-Original;Both;z5z5;Both;13.02170283806344
student9081;student3542;Original-Original;Both;z5z5;Both;12.749003984063744
student1649;student8705;Original-Original;Both;z5z5;Both;12.734082397003746
student1547;student8705;Original-Original;Both;z5z5;Both;12.544802867383511
student3542;student1547;Original-Original;Both;z5z5;Both;12.524461839530332
student3542;student5536;Original-Original;Both;z5z5;Both;12.386156648451731
student9081;student8705;Original-Original;Both;z5z5;Both;12.244897959183673
student8789;student3485;Original-Original;Both;z5z5;Both;12.244897959183673
student2664;student8412;Original-Original;Both;z5z5;Both;12.096774193548388
student5536;student2371;Original-Original;Both;z5z5;Both;11.804384485666104
student3485;student8288;Original-Original;Both;z5z5;Both;11.804384485666104
student8789;student1649;Original-Original;Both;z5z5;Both;11.76470588235294
student8789;student5536;Original-Original;Both;z5z5;Both;11.632270168855536
student3542;student2371;Original-Original;Both;z5z5;Both;11.387900355871885
student5536;student8288;Original-Original;Both;z5z5;Both;11.0260336906585
student4261;student2371;Original-Original;Both;z5z5;Both;10.90289608177172
student2267;student8288;Original-Original;Both;z5z5;Both;10.738255033557047
student8789;student2371;Original-Original;Both;z5z5;Both;10.622710622710622
student5829;student8412;Original-Original;Both;z5z5;Both;10.569105691056912
student3542;student8288;Original-Original;Both;z5z5;Both;10.289389067524116
